,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,lgEk3Niie1E,GRiNGO x 6IX9INE - ZKITTLEZ |GIGI| (PROD.GOLDFINGER) [Official Music Video],2018-08-02T18:30:27.000Z,UCxIc_NmsGMv4AsTo-mV4Hdg,"► ""SKITTLEZ"" Kaufen & Streamen: https://slsmusic.lnk.to/Gringo_6ix9ine_Zkittlez
► Spotify: https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

Abonniert den Kanal um nichts zu verpassen und folgt uns auf:  

Folgt Gringo: 
► https://facebook.com/44Gringo 
► http://instagram.com/44gringo
► https://twitter.com/GRiNGO030
► https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

6IX9INE:
► https://www.instagram.com/6ix9ine

Folgt SLS Music: 
► http://instagram.com/sls030
► https://twitter.com/SLSMUSIC1

Goldfinger:
► http://instagram.com/goldfinger030 
► https://www.facebook.com/Goldfinger030/

► Musicprod.: SLS
► Recording Studio: @truebusyness Studios Berlin (Saschabusy)
► Master: Volker IDR Gebhardt
► Video: www.fati.tv
► Regie: SLS & MOMO.CH
► Creative Directors & Videoproduktion: Nader Hijazi von 5BROTHERS: https://www.instagram.com/5ivebrothers & 
Allan Anders: https://www.instagram.com/alld1fferent
► Drohnen Operator: Traviez The Director
► Kamera Assistenten: @mircorosik,@dieserbobby
► VideoFX: mdepict/@themmg & www.fati.tv
► Cover: mdepict / @themmg
► SLS 3D Animation: @Sinedgfx

Dank an: 5BROTHERS,SOF BERLIN,ADIDAS,WEGA PERFORMANCE,CLEANORADDICTED,UND AN GANZ NEUKÖLLN BERLIN...

ANFRAGEN, BOOKING, PRESSE: slsmusic@outlook.de

SLS © 2018",SLS MUSIC,10,3409796,181775,10622,0,17031,AT,8/6/2018
1,qKvCP_3xCIE,Capital Bra feat. Juju - Melodien (prod. The Cratez),2018-08-02T22:00:06.000Z,UCMHWpfahk3Kt8Us28Jg51nw,"►Bushido Channel abonnieren:  http://ytb.li/Bushido
►""Melodien"" streamen: http://capitalbra.fty.li/Melodien
►""Mythos"" vorbestellen:  http://bushido.fty.li/Mythos
►Capital Bra Social Media: http://capitalbra.fty.li/social
►Juju Social Media: http://juju.fty.li/social

Hier das Video zur neuen Single von Capital Bra und Juju - Melodien!
Teilt das Video, kommentiert es und gebt einen Daumen hoch. Um nichts zu verpassen, checkt http://www.kingbushido.tv und Bushidos YouTube-Kanal, den ihr hier abonnieren könnt: http://ytb.li/Bushido

Folgt, liked und besucht Bushido, Samra & Capital Bra außerdem in allen gängigen Sozialen Netzwerken:

► Bushido:
http://bushido.fty.li/social

► Samra:
http://samra.fty.li/social

► Capital Bra:
http://capitalbra.fty.li/social

Wenn euch das Video gefallen hat, gebt einen Daumen hoch dafür, teilt es mit euren Freunden und schreibt eure Meinung in die Kommentare.",BUSHIDO,10,5918097,317599,23637,0,32679,AT,8/6/2018
2,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,44103187,2087553,72426,0,194385,AT,8/6/2018
3,Hz844QaYWqU,CAPITAL BRA Ausbildung bestanden!,2018-08-03T18:37:46.000Z,UCBPtNZktpVZ9Mp-PFGylKaA,"Song von Capital Bra : https://youtu.be/qKvCP_3xCIE

✘ Folgt mir auf:
► Instagram : https://www.Instagram.com/bodyformus

Teil 1 : https://www.youtube.com/watch?v=qKvCP_3xCIE&t=3s

✘ Tour Ticketlinks:
► DE https://www.ticketmaster.de/artist/bodyformus-tickets/983477
► AT https://www.ticketmaster.at/artist/bodyformus-tickets/983477
► CH https://www.ticketmaster.ch/artist/bodyformus-tickets/983477


► Facebook: https://www.facebook.com/Bodyformus


 ✘ Anfragen:
► business@st4rsmedia.com",Bodyformus,23,1309712,88800,1246,0,3042,AT,8/6/2018
4,S1dZia539WI,DAGI B. - DISS ( feat. Julien Bam ),2018-08-05T13:44:06.000Z,UCpZ_DI-ZugwMzXcqccaTVsg,"🤓

Vor ca. 2 Jahren wurde Ich zur ROAST YOURSELF Challenge nominiert & habe es nun endlich in Angriff genommen & tue das was schon lange überfällig war ...

CHALLENGE ACCEPTED.  💪🏼



Regie: Eugen Kazakov x Dagmara Kazakov
Kamera: Manfred Baulig
1ac: Niklas Zschenderlein
Oberbeleuchter: Christian Grösgen
Schnitt: Eugen Kazakov
Maske: Dagmara Kazakov


Die Inspiration war des Videos & des Songs war -- Finesse -- von Bruno Mars feat. Cardi B.



-- WERBUNG -- 

🌈 Tickets für die POP UP TOUR : http://dagipopuptour.ticket.io

NEUE Kollektion HIER : https://www.dagi-shop.de",Dagi Bee,26,3026155,290947,67580,0,43167,AT,8/6/2018
5,TxnJoF9qmkA,Leon Machère - Copacabana 🌴☀️ (Official Video),2018-07-27T10:01:43.000Z,UCk-ERvn9_tUjg7e8Bn921gA,"Song überall erhältlich!
Spotify: http://goo.gl/Lgzc31
iTunes, Google Play, Amazon: http://hyperurl.co/ro4pwl

Booking: business@st4rsmedia.com

Music produced by Stard Ova 
http://www.instagram.com/stard_ova
Co-Produced by Kaluma

Leon Instagram:  https://instagram.com/LeonMachere
Snapchat:             Leonmachere01
Facebook:            https://fb.com/LeonMachere1


Wenn euch das Video gefallen hat, gebt einen Daumen hoch dafür und Teilt es gerne mit euren Freunden. 
Ich würde mich über Eure Meinung in den Kommis freuen.  
Für mehr einfach abonnieren, Danke! 
https://www.youtube.com/LeonMachere",Leon Machère,10,3860375,176688,55671,0,37585,AT,8/6/2018
6,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,50370684,1464233,91549,0,123348,AT,8/6/2018
7,dWbIah0m4X0,105 YOUTUBER VEREINT | Julien Bam,2018-08-03T14:00:10.000Z,UCTXeJ33DzXI2veQpKfrvaYw,"Dagi Bee, Paluten, Melina Sophie, Unge - 105 YouTuber, alle in einem Video.

LETZTES Video: https://www.youtube.com/watch?v=wTgRxojj3ds

Danke an alle die mitgemacht haben: 

Luca: https://www.youtube.com/ConCrafter
Dagi: https://www.youtube.com/Dagibeee
Rezo: https://www.youtube.com/rezomusik
Melina: https://www.youtube.com/LifeWithMelina
Cengiz: https://www.youtube.com/user/ApeCrimeTV 
Rewi: https://www.youtube.com/rewinside
Julia: https://www.youtube.com/JuliaBeautx
Felix Dner: https://www.youtube.com/DnerMC
Dennis & Benni: https://www.youtube.com/TwinTVChannel1
Kelly: https://www.youtube.com/user/MissesVlog 
Sami: https://www.youtube.com/samislimani
Marmeladenoma: https://www.youtube.com/marmeladenoma
Uwe: https://www.youtube.com/user/flyinguwe
Jay: https://www.youtube.com/LeegendaryaFilms
Dima: https://www.youtube.com/user/Dima 
Joyce: https://www.youtube.com/JoyceIlg
Paluten: https://www.youtube.com/Paluten
Desi: https://www.youtube.com/c/desireeflore
Unge: https://www.youtube.com/ungespielt 
Freshtorge: https://www.youtube.com/freshaltefolie
Toni: https://www.youtube.com/T0niLovesMusic
Nia: https://www.youtube.com/Niacavaon
Anni: https://www.youtube.com/Annitheduck
Alexander: https://www.youtube.com/AlexanderStraubMagic
Oskar: https://www.youtube.com/OGGtvComedy
Brammen & Peter: https://www.youtube.com/user/PietSmittie
Dillan: https://www.youtube.com/DillanInn
Zeo: https://www.youtube.com/ZeoSIte
Cheng: https://www.youtube.com/Chengloew
Joey: https://www.youtube.com/skaterboy3001
Kati: https://www.youtube.com/DominoKati
Marvyn: https://www.youtube.com/user/marvynmacnificent 
Shanti: https://www.youtube.com/user/TheMsMania 
Melissa (breedingunicorns): https://www.youtube.com/breedingunicorns
Simon Will: https://www.youtube.com/junggesellen
Ultralativ: https://www.youtube.com/c/ultralativ 
Bodyformus: https://www.youtube.com/user/Bodyformus 
MrWissen2Go: https://www.youtube.com/MrWissen2go
Nadine: https://www.youtube.com/kupferfuchs
Bao: https://www.youtube.com/GongBao
HerrNewstime: https://www.youtube.com/user/HerrNewstime 
Pusch Art: https://www.youtube.com/puschart
MiiMii: https://www.youtube.com/miimeedeutsch
Abdel: https://www.youtube.com/abdel 
Clixoom: https://www.youtube.com/Clixoom
Emrah: https://www.youtube.com/CrazyEmri2
Falco: https://www.youtube.com/falcofalcrow
Younes Jones: https://www.youtube.com/c/younesjones
Heider: https://www.youtube.com/derheider
MrMore: https://www.youtube.com/user/MrMoregame 
Jodie: https://www.youtube.com/jodiecalussi
Avive: https://www.youtube.com/AviveHD
Abigail: https://www.youtube.com/user/TheAbigail97 
Mooo: https://www.youtube.com/user/mooospielt 
Nela: https://www.youtube.com/user/NelaLeeOfficial 
MaximNoise: https://www.youtube.com/user/maximnoise 
Josef: https://www.youtube.com/dechangeman
Aaron: https://www.youtube.com/user/heyaaronkanal 
Nihan: https://www.youtube.com/user/Nihan0311 
xLeata: https://www.youtube.com/user/xLaeta 
Anna Maria Damm: https://www.youtube.com/user/AnnnnnaMaria753 
Flexiba: https://www.youtube.com/felixba94
Joon Kim: https://www.youtube.com/JoonyKim91
Simon Open Mind: https://www.youtube.com/OpenMind3000
TC: https://www.youtube.com/TCnator
Diana: https://www.youtube.com/user/dfashion100germany
Sally: https://www.youtube.com/user/sallystortenwelt 
Klengan: https://www.youtube.com/Kl3ngan
Jokah: https://www.youtube.com/user/thespaceboyzTV 
Stephan: https://www.youtube.com/stephanGerick
Lidiro: https://www.youtube.com/c/lidiro 
Danergy: https://www.youtube.com/Powerbrozs
Nhitastic: https://www.youtube.com/Nhitastic
Strawbelly: https://www.youtube.com/user/StrawbelIyCake 
Phil: https://www.youtube.com/user/MrTrashpack
Lars und Dan: https://www.youtube.com/user/SceneTakeTV
HelloChrissy: https://www.youtube.com/user/ChrissyCosmetic 
Hannah: https://www.youtube.com/kleinaberhannah
Izzi: https://www.youtube.com/izzi
Broady: https://www.youtube.com/user/BroadyTV 
Niloofar: https://www.youtube.com/Niloofarirani
Filmlounge: https://www.youtube.com/filmlounge
Ally: https://www.youtube.com/AlyciaMariie
Ah Nice: https://www.youtube.com/c/ahnice
Lisa: https://www.youtube.com/ItsColeslaw
Flo: https://www.youtube.com/c/floderflo 
Rotpilz: https://www.youtube.com/Rotpilz
Petrit: https://www.youtube.com/channel/UCCtKhpgEqDgmpFyeT9L9COA 
Kiko: https://www.youtube.com/jessabellekiko
Heiko & Roman: https://www.youtube.com/user/DieLochis 
Steve: https://www.youtube.com/user/steveqdesign85 
Valle: https://www.youtube.com/user/SarazarLP 
Hicham: https://www.youtube.com/HichaemYT
Jarow: https://www.youtube.com/user/SchizophrenicBlog 
Kuro: https://www.youtube.com/user/ThKurono 
Myci: https://www.youtube.com/channel/UCkm2sCI24fqfklJj8AsBQZg
Yasin: https://www.youtube.com/channel/UCCQKYh5Gb3JZYC7Wy7LdrMA/ 
Sturmi: https://www.youtube.com/SturmwaffelLP

Mein Team: 
MARIUS: http://www.youtube.com/AngeschrienMC
PASSI: http://www.instagram.com/typischpassi
VINCE: http://www.instagram.com/VincentLeeMusic
THOMAS: https://www.instagram.com/thomas_soepper/",Julien Bam,24,1578159,196172,2869,0,23615,AT,8/6/2018
8,LpSVy2IdmGE,SEVERINA feat. JALA BRAT - M.A.G.I.J.A. (OFFICIAL VIDEO),2018-08-02T09:55:14.000Z,UC_vH8DvvkrMB3D69NBdjLnQ,"☆ Subscribe Severina YouTube channel ► https://goo.gl/QNLWsB ↩︎


➤ Instagram: https://instagram.com/severina

➤ Facebook: https://facebook.com/severina/

➤ Twitter: https://twitter.com/severina____

➤ Site: http://www.severina.com

➤ Shop: *soon*
--------------------

➤Download:

iTunes: *soon*

Google play: https://goo.gl/77n5t5

Amazon: *soon*


➤Listen:

Deezer: https://goo.gl/AXMNDj

Tidal: https://goo.gl/cqTH2z

Spotify: https://goo.gl/fn4QWU
--------------------

SEVERINA feat. JALA BRAT - MAGIJA

➣Glazba: Jala brat, Buba Corelli
➣Tekst: Jala brat, Buba Corelli
➣Aranžman: RimDa
➣Mix & Mastering: KC Blaze


DIRECTOR & CHOREOGRAPHER
Anže Škrube

DIRECTOR OF PHOTOGRAPHY
Miloš Srdić

EDITOR 
Colby Cote

PRODUCTION COMPANY
Supermarket Production 

PRODUCER
Ven Jemersic

CO-PRODUCER
Maestro Creatives 

ASSISTANT DIRECTOR
Nina Tratnik

ASSISTANT CHOREOGRAPHER
Armel Ngungunanga

PRODUCTION ASSISTANT
Polona Natlačen

ASSISTANT EDITOR
Jared Barrel

CAMERA ASSISTANT
Luka Podobnikar

GAFFER/GRIP
Luka Stopar

2nd CAMERA OPERATOR
Boško Timotijević

STEADY CAMERA OPERATOR
Aljoša Korenčan

SET DESIGN
Luka Slavic

COSTUME DESIGN FOR SEVERINA
Petar Trbović

MAKE UP & HAIR FOR SEVERINA
Dajana Pajkić
Martin Posavec

COSTUME DESIGN 
Erik Maj Potočnik 
Matjaž Plošinjak 


COSTUME DESIGN ASSISTANTS 
Maja Lempl Nukič
Urban Haber


MAKE UP 
Tanja Vojnovic for MUD 

MAKE UP ASSISTANTS
Zoja Prokopovic
Kristina Klemenčič
Katja Duh
Tanita Seifert

STUDIO & TECH
Studio Arkadena

COLOR & VFX
Scissor Films 

_____


DANCERS

Jordan Likiyo
Mamadou Bathily
Marko Stamenkovic
Miha Furlan
Armel Ngungunanga
Johnny Vongratsavai
Maria Laura Savio
Martina Vuletić
Tina Walme
Jeannette Gonzalez
Leja Mesec
Eva Mauricio
Tjaša Leban 
Reya Rosalie 

MODELS
Patricija Bernjak for IMMORTAL
Gašper Gmajner
Martina Vuletić

SPECIAL GUEST
Simon Bandog for SRCE ZA BULLE
--------------------

TEKST:

Gledam, k'o da sam sama
Do znanja mu dajem
Da smo jedno k'o mrak i tama
I da sam na sve spremna

A ja bi' da se napijem 
'ajde samo sipaj mali
Na vratu mu Cartier
Iza leđa vandali

On, ne nije naivan, naime sve je gluma
Vrelina Kaira, skrenut ću s uma
Tijelo bi savila kao ni jedna druga
Tebi za ljubav i kraljica i sluga


ref.
I nije da se boji ali nema kontrole
Da odoli kad obline sakrijem pod tole (*pantalone)
Ma koga to folira, on je komiran
I sve emocije donira samo da ne bole

A to mora da je magija bebo
A to mora da je magija bebo
Magija bebo


Otvori prozor na kant(e)
Na tebi se sve topi kao na lavi santa
Koga ne bi opilo, ubilo kao blunt
Tvoja pozadina malo reci interesantna

A ti nikad skulirana naa naa
Pun gas kao da  si tjunirana naa naa

A ti nikad skulirana naa naa
Pun gas kao da  si tjunirana naa naa

I hajde reci gdje’š stim očima zelenim k'o lovor
U noći blještim i dalje nisam dobar sa zorom
Radi me prestiž radim joj ono što ne bi mor'o
K'o da je fetiš ti skinem novi model Diorov

Leti visoko a njen novi moto je YOLO 
pete visoke svaki novi model Manolov 
Ouu baby it's okay we ballin' like Tony Manolo 
We be ballin'

ref.
I nije da se boji al nema kontrola
Da odoli kad obline sakrijem pod tole
Ma koga folira, on je komiran
I sve emocije donira samo da ne bole

A to mora da je magija bebo
A to mora da je magija bebo
Magija bebo

A ja bi' da se napijem 
'ajde samo sipaj mali
Na vratu mu Cartier
Iza leđa vandali

Ja bi' da se napijem, napijem, napijem
Ja bi' da se napijem, napijem, napijem
 
------------------

Zabranjeno je svako kopiranje video i/ili audio snimaka i postavljanje na druge kanale! 
Copying, re-uploading and illegally distributing this copyrighted work is strictly prohibited! ©",Severina,10,2265007,57763,5255,0,4134,AT,8/6/2018
9,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,129994548,2679430,357790,0,304768,AT,8/6/2018
