,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,50636919,2227265,80113,0,201683,BE,8/8/2018
1,CRPNcrBAiOc,L'Algérino - Adios ft. Soolking [Clip officiel],2018-07-31T17:00:01.000Z,UCp8Lmjx1i93YVokA4fNAs1g,"Nouvel album ""International"" disponible partout : https://lalgerino.lnk.to/International

En concert le 31 octobre à l’Olympia de Paris et le 03 novembre au Dôme de Marseille
Infos et résas https://bit.ly/2rRzywB 

Réseaux sociaux:
Facebook
https://www.facebook.com/lalgerinopag...
Twitter
https://twitter.com/ALGERINO_OFF
Instagram : 
https://www.instagram.com/algerino_off/
Snapchat : 
Algerinolevrai",L'Algerino,10,12901821,286348,10430,0,27649,BE,8/8/2018
2,6JmrZDZGVH0,Rim'K - Air Max ft. Ninho,2018-07-25T14:00:01.000Z,UCmfHNhKwopCTBX53Ud3kwLw,"Rim’K, nouveau single ‘’Air Max’’ feat. Ninho, disponible ici : http://rimk.lnk.to/AirMax 

Projet « MUTANT » sortie le 21 septembre 2018

Album Fantôme toujours disponible : http://rimk.lnk.to/FantomeAlbum 

Shop : https://rimshop.fr/ 

Retrouvez Rim’K sur: 
Facebook: https://www.facebook.com/rimkofficiel 
Twitter: https://twitter.com/rimkofficiel 
Instagram: https://instagram.com/rimkofficiel",RimKVEVO,10,12496284,148986,7002,0,4802,BE,8/8/2018
3,qJZy8zy0Uy0,Moha La Squale - Luna,2018-07-29T16:00:08.000Z,UCVkQ-P3Oh2cH7SYX104U8OQ,"1er album ""Bendero"" disponible ici : https://mohalasquale.lnk.to/benderoAY
-
Écoute tous les titres de Moha La Squale ici : https://mohalasquale.lnk.to/playlistAY
-
Abonne-toi à la chaine: https://WMF.lnk.to/MohaAY
-
Facebook: https://www.facebook.com/mohalasquale 
Instagram: https://www.instagram.com/mohalasquale 
Snapchat 👻 : mohalasquale",Moha La Squale,10,5982979,143639,5620,0,5304,BE,8/8/2018
4,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,140510446,2768380,370891,0,313366,BE,8/8/2018
5,_Bymc0x6bLA,WIPEOUT CHALLENGE MET BROERTJE EN GIO!,2018-08-08T15:00:03.000Z,UCJx1izJJh2GSQnn9Rmh3mAQ,"M'n lichaam doet nog steeds pijn...


Check hier Gio’s kanaal: https://m.youtube.com/user/GameplayWorldXL
Check hier Steven’s kanaal: https://m.youtube.com/channel/UCHieYtshdgwHenAFu7hRXww


►Instagram: https://instagram.com/hanwe
►Merchandise:
http://www.hanwechang.com
►Twitter: Twitter: https://twitter.com/HanweChang


Dikke thanks naar Wipeout!
Youtube: www.youtube.com/wipeoutzoelen
Website: www.wipeout.nl
Instagram: @wipeoutnederland
Facebook: www.facebook.com/wipeoutnederland
Twitter: @wipeoutnl


WIPEOUT CHALLENGE MET BROERTJE EN GIO!",Hanwe,24,100388,9623,67,0,811,BE,8/8/2018
6,d-VE9Kba3GY,"Bigflo & Oli, Petit Biscuit - Demain",2018-07-27T09:00:06.000Z,UCKuN5Ub9Nd2_Vcv8vDQAD4Q,"Découvrez ""Demain"" notre nouveau son avec Petit Biscuit 👉 https://bigfloetoli.lnk.to/DemainxPetitBiscuit

Faites péter le son à fond dans la voiture, au bord de la piscine, sur la plage, faites le écouter aux étrangers dans les campings !
On a rencontré Petit Biscuit sur les festivals et on s'est invité à nos concerts respectifs ! C'est devenu notre frèro donc on s'est dit qu'on allait faire un son ensemble
Trop heureux de notre collab ! Allez tous écouter ses sons et le soutenir : http://petitbiscu.it/YouTubeSubscribe 



Merci à tous ceux qu'on a croisé en festival et qui ont participé au clip
Désolé pour ceux qui n'y sont finalement pas, on a pas pu mettre tout le monde :/ Merci aux potes de notre équipe d'avoir joué le jeu aussi

Le clip est réalisé pars Jeremie Levypon, Boby et nous.
2D Animation by @dalkhafine
Images additionnelles : Baptiste Cornu & Jonathan Bertin

Si tu lis les descriptions jusqu'au bout commente un emoji en rapport avec les vacances et l'été

Music video by Bigflo & Oli, Petit Biscuit performing Demain. © 2018 Polydor (France)

http://vevo.ly/bUGeeI",BigfloetoliVEVO,10,3588258,99386,3606,0,6848,BE,8/8/2018
7,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,56942625,1517403,96428,0,126465,BE,8/8/2018
8,ygHkJmTnmvo,Saad Lamjarred - CASABLANCA (EXCLUSIVE Music Video) |  (فيديو كليب حصري) CASABLANCA - سعد لمجرد,2018-07-31T19:01:28.000Z,UC9hJ5XcjHXYjwDOqrlQUuow,"Subscribe to Saad Lamjarred Official Channel: http://bit.ly/LamjarredYT

Listen to Casablanca on Apple Music: https://apple.co/2M7YD2d


Saad Lamjarred - CASABLANCA (EXCLUSIVE Music Video) | 2018
2018 | (فيديو كليب حصري) CASABLANCA - سعد لمجرد


Written by : Leslie Bourgouin
Music Produced by : Dj Kore
Directed by : Alexandre Da Silva
Art Director : Hamidi Ayoub

Digital Distribution: Qanawat

Lyrics CASABLANCA :

Elle est quelque part 
Je la trouverai 
Il n’est jamais trop tard 
Comme un diamant noir 
Pour le monde entier 
Elle sera à part 
M’en aller à Punta cana
M’en aller à Casablanca 
M’en aller à Barcelona 
M’en aller à ... 

Ma chérie si tu savais 
Ma vie c’est la Bohême
Pars avec moi si tu m’aimes 
Je dois m’en aller 
Te dire au revoir 
Mais sans te faire de la peine 

Ah ah ah 
On verra bien où la vie nous mène 
Si oui ou non tu seras ma reine 

Pourquoi tu es si belle 
Pourquoi tu m’ensorcelles 
Avant de me brûler les ailes 
Mais dis moi comment tu t’appelles 
Mais pourquoi tu es si belle 
Pourquoi tu m’ensorcelles 
Avant de me brûler les ailes
au moins dis moi comment tu t’appelles 

Je ne sais pas qui tu es 
mais les étoiles 
M’ont mené à toi 
et je dois mettre les voiles 
Je suis désolé
ne m’en veux pas 
Je ne suis qu’un homme
qui jamais ne se dévoile 

On verra bien où la vie nous mène 
Si oui ou non tu seras ma reine 
    
Oh ma Bella
Ne m’attends pas 
Oh ma Bella 
Tu as le choix 
Oh ma Bella 
Ne m’attends pas 
Oh ma Bella 
ne m’en veux pas 
ـــــــــــــ 
Like on Facebook:
https://www.facebook.com/SaadLamjarred.Official/
Follow on Twitter: https://twitter.com/SaadLamjarred1
Follow on Instagram: http://instagram.com/SaadLamjarred1 
Follow on Google+: https://plus.google.com/+SaadLamjarred
Official YouTube: https://youtube.com/SaadLamjarredTV
Official iTunes: http://apple.co/1WNX8nm",Saad Lamjarred | سعد لمجرد,10,24299265,640843,50582,0,92126,BE,8/8/2018
9,_G-k6TQYUek,"Kygo, Imagine Dragons - Born To Be Yours",2018-07-27T07:00:06.000Z,UCYpVqLSvfseUqb2URAkexlw,"Listen to ""Born To Be Yours,’ out now: http://lnk.to/Kygo_BornToBeYours
Directed by: Matt Eastin & Aaron Hymes

Kygo
http://www.soundcloud.com/kygo 
https://www.facebook.com/kygoofficial/
http://www.instagram.com/kygomusic 
http://www.twitter.com/kygomusic 
https://www.youtube.com/user/KygoOfficialVEVO
http://kygomusic.com

Imagine Dragons
Shop Imagine Dragons: http://smarturl.it/ImagineDragonsShop
Catch Imagine Dragons on tour: http://imaginedragonsmusic.com/tour
Follow Imagine Dragons on Facebook: https://www.facebook.com/ImagineDragons/
Twitter: https://twitter.com/Imaginedragons
Instagram: https://www.instagram.com/imaginedragons

Enjoy more videos by Kygo:
Kids in Love Tour Europe: www.youtube.com/channel/UCCFJeI-2sT_cWgz-QJRgbCw
Here for You feat. Ella Henderson: https://www.youtube.com/watch?v=b8PPap4dJog
Firestone feat. Conrad Sewell: https://www.youtube.com/watch?v=9Sc-ir2UwGU",KygoOfficialVEVO,10,14240357,189012,5110,0,4460,BE,8/8/2018
