,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,19557705,1257379,34644,0,136640,CN,8/3/2018
1,d-JBBNg8YKs,Travis Scott - SICKO MODE (Audio),2018-08-03T04:01:00.000Z,UClRx3MMyYUyqOxyEqA5F2nQ,"ASTROWORLD available at  http://smarturl.it/ASTROWORLD 

Travis Scott online: 
https://twitter.com/trvisXX 
https://www.instagram.com/travisscott/ 
https://soundcloud.com/travisscott-2 
https://www.facebook.com/travisscottlaflame 
https://travisscott.com/ 

(C) 2018 Epic Records, a division of Sony Music Entertainment

http://vevo.ly/qaYjdY",TravisScottVEVO,10,2531618,119060,3131,0,8866,CN,8/3/2018
2,P4jTXLT_HoY,Fortnite At Lollapalooza!! Gaming With Alex Gaskarth! - Fortnite Battle Royale Gameplay,2018-08-03T04:41:29.000Z,UCAW-NpUFkMyCNrvRSSGIvDQ,"LIKE and SUBSCRIBE if you enjoyed this video!
WATCH ME LIVE ON TWITCH! https://twitch.tv/Ninja
Join my Notification Squad: click the 🔔Bell & on Twitch click the 💜Heart

LIVE ON TWITCH:
For more Fortnite Battle Royale action watch me live at
https://twitch.tv/Ninja
You will see highlights, funny moments, impressions, and how to play info that might not make the YouTube channel.
Morning Stream - 9am CST
Night Stream - 7pm CST
If you would like to further support Ninja click here https://goo.gl/y7g2gx OR
Subscribe for FREE, try the free trial or connect an Amazon Prime account
https://twitch.amazon.com/prime

SOCIAL:
Twitter- http://twitter.com/Ninja
Instagram- http://instagram.com/Ninja
Facebook- https://facebook.com/NinjaTB

MERCH:
https://metathreads.com/collections/ninja
http://tee.pub/lic/ninja

▶  Edited by: https://twitter.com/RSMisto
▶  Outro song: https://youtube.com/watch?v=zbq9dfW69Zs
▶  Intro: https://twitter.com/CGHarbor

THANKS FOR WATCHING!!!",Ninja,20,1120681,50673,897,0,6144,CN,8/3/2018
3,XHb7g6yuGgE,Moving 10 Pounds Using ONLY Sound,2018-08-02T21:09:00.000Z,UCX6OQ3DkcsbYNE6H8uQQuVA,"I USED SOUND TO MOVE A 10 POUND DUMBBELL 

New Merch - https://shopmrbeast.com/

SUBSCRIBE OR I TAKE YOUR DOG


----------------------------------------------------------------
► FOLLOW BOTH THESE AND I WILL HAVE YOUR KIDS!
• Twitter - https://twitter.com/MrBeastYT
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",MrBeast,24,2146371,117305,4171,0,19898,CN,8/3/2018
4,OcPKfwk_3E8,CAN DRY ICE COOK AN EGG??,2018-08-02T18:26:15.000Z,UCtNBFUsxj2YVbEc5HquzFqg,"WHAT HAPPENS WHEN YOU CRACK AN EDD ON DRY ICE?? TODAY WE TRY DRY ICE SCIENCE EXPERIMENT!! LOOK WHAT WE MADE!!

In this vlog Carter Sharer and Lizzy Sharer create science experiments with dry ice and different food! Dry ice is a super cold form of ice that is negative 100 degrees! Carter and Liz added dry ice to fanta soda and coca cola and it started to bubble and overflow! This dry ice experiment was super cool! Carter and Liz also taste tested the soda! Carter tried to mix dry ice with milk. They also created a dry ice cereal experiment and a dry ice vs egg test!! What happens if you put dry ice on an egg. Can you cook an egg with dry ice? Comment #DryIce  if this video was extremely fun!

Comment #ICE and tell us what you would do with dry ice!!!

❇️ OTHER EPIC VLOGS ❇️
▶︎SMASHING WATERMELON WITH TANK!! https://youtu.be/BpB1vHWvNuc
▶︎OOBLECK SWIMMING POOL!! (GONE WRONG) https://youtu.be/WzrWsvYHCy8
▶︎FOUND SAFE IN ABANDONED TOWN!!
https://youtu.be/_Mw8StoCGhs
----------------------------------------------------------------------------------------------------------
WANT A PERSONALIZED SHOUTOUT?!
Carter https://www.bookcameo.com/cartersharer 
Liz https://www.bookcameo.com/lizzysharer
----------------------------------------------------------------------------------------------------------
📦 FAN MAIL ADDRESS 📦
Carter Sharer Youtube #633 
2961 A Hunter Mill Rd
Oakton, VA 22124
-----------------------------------------------------------------------------------------------------------
Follow Us For a Chance to WIN Some Epic Stuff!
📷INSTAGRAM → @CarterSharer https://goo.gl/DkjB5J
📘FACEBOOK → CARTER SHARER OFFICIAL https://goo.gl/WM7mBu
📷INSTAGRAM → @LizzySharer https://goo.gl/jALBqj
📘FACEBOOK → LIZZY SHARER https://goo.gl/AX1d4t
📷INSTAGRAM → @OtterSharer https://goo.gl/PX9J43
📘FACEBOOK → OTTER SHARER https://goo.gl/Z8vyat

Become a Sharer and Subscribe to my channel! https://goo.gl/XjjCA8
-----------------------------------------------------------------------------------------------------------
Business Inquiries: Cartersharerbiz@gmail.com

WARNING: 
This video is only for entertainment purposes. Do not attempt to recreate any of the acts in this video, as they may be dangerous if not done correctly, and could result in serious injury. If you rely on the information portrayed in this video, you assume the responsibility for the results. Have fun, but always think ahead, and remember that every project you try is at YOUR OWN RISK.

This footage is property of Dream Team Studios LLC and is not allowed to be repurposed without written consent from Dream Team Studios LLC. For any requests from media contact us at Cartersharerbiz@gmail.com",Carter Sharer,24,719527,10958,2078,0,7913,CN,8/3/2018
5,I6NmeWU9QDk,DRIFT VS TOMATO HEAD - *SEASON 5* FORTNITE SHORT FILMS,2018-08-03T00:00:01.000Z,UCa_xHe7N8h1kFQsOIFWSCbQ,"DRIFT VS TOMATO HEAD - *SEASON 5* FORTNITE SHORT FILMS
NEW CHANNEL : http://bit.ly/FortniteNoobs

+LITTLE LIZARD BONUS :http://bit.ly/LittleLizardBonusYT
+RAPTOR'S NEW CHANNEL : http://bit.ly/RaptorsChannel

+BUY MERCH - https://www.littleclubmerch.com/fortnite

+INSTAGRAM : https://www.instagram.com/ryan_littlelizard

Here we go for another installment of the Fortnite series, leave a thumbs up for more!

SUBSCRIBE HERE : http://bit.ly/LittleLizardSubscribe",Little Lizard - Fortnite,20,504729,9830,1758,0,4104,CN,8/3/2018
6,ibJSWodlmyo,How To SURVIVE A Nuclear Fallout! | The SCIENCE... of Fallout,2018-08-02T20:05:41.000Z,UCo_IB5145EVNcf8hw1Kku7w,"SUBSCRIBE to Catch all the Theories! ► https://goo.gl/kQWHkJ
Why the Fallout Society is DOOMED ► https://bit.ly/2H9iBF3
How STRONG is Smash Bros' Bat? ► https://bit.ly/2ALtJZp

Fallout paints a picture of a desolate world, populated by the sparse remains of humanity. Today, Austin is going to figure out how ACCURATE the world of Fallout REALLY is. Would humanity be gone? Are we DOOMED? Let's find out!


Music: 
Day by Dave - https://www.youtube.com/channel/UCwIxsvoZdE976J4hyRiRI5A
Rouvan - http://www.facebook.com/rouvanmusic

Game Theories:
Super Mario BETRAYED?! ►► http://bit.ly/2zCM6v4
Mario's LUNAR APOCALYPSE!! ►► https://bit.ly/2FRgd4Y
WARNING! Pokemon May Cause DEATH! ►► http://bit.ly/2FnHjRl
How DEADLY Is Mario's Bob-Omb? ►► https://bit.ly/2GnkRLK
What is a Kirby? The SCIENTIFIC PROOF! ► https://bit.ly/2GnPP6t
Super Mario...BETRAYED!► https://bit.ly/2zCM6v4

More The SCIENCE!
MONIKA: Google's Newest Creation!  ►► https://bit.ly/2G3uifh
The INSANE SCIENCE of Getting Over It ► https://bit.ly/2mzWWNe
Minecraft Diamonds DECODED! ►► https://bit.ly/2IHqk0n
Minecraft’s Enderman, SOLVED! ►►https://bit.ly/2G1w40k
Super Mario Galaxy's DEADLY Physics ► http://bit.ly/2o8Gztp

Check out some more of our awesome video game content:

Game Theory ►► http://bit.ly/1zz3t7E
Culture Shock ►► http://bit.ly/1sw7aZ8
The SCIENCE! ►► https://bit.ly/2GAYCgW",The Game Theorists,20,1328423,58369,3065,0,11938,CN,8/3/2018
7,5HSHgjaYxm4,Dave Grohl Gives Jimmy Kimmel a Very Disturbing Gift,2018-08-03T09:00:01.000Z,UCa6vGFO9ty8v5KZJXQxdhaw,"Dave talks about his love of ABBA, guest hosting our show, and he gives Jimmy a very disturbing gift.

Donald Trump Can't Spell https://youtu.be/Bn65PcASeSY 
 
SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe
 
Watch Mean Tweets: http://bit.ly/KimmelMT10
 
Connect with Jimmy Kimmel Live Online:
 
Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFB
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTW
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram
 
About Jimmy Kimmel Live:
 
Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.

""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.
Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.
Now in its sixteenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.

Dave Grohl Gives Jimmy Kimmel a Very Disturbing Gift
https://youtu.be/5HSHgjaYxm4",Jimmy Kimmel Live,24,195338,2485,60,0,220,CN,8/3/2018
8,akmHPb2qzo0,Bears vs. Ravens | NFL 2018 Hall of Fame Game Highlights,2018-08-03T03:34:13.000Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,"The Chicago Bears face off against the Baltimore Ravens during the 2018 Hall of Fame game.

Subscribe to NFL: http://j.mp/1L0bVBu

Check out our other channels:
NFL Vault http://www.youtube.com/nflvault
NFL Network http://www.youtube.com/nflnetwork
NFL Films http://www.youtube.com/nflfilms
NFL Rush http://www.youtube.com/nflrush

#NFL #Football #Ravens #Bears",NFL,17,658630,7911,232,0,2303,CN,8/3/2018
9,vo_390Rmdvo,Life is Strange 2 - Official Teaser,2018-08-02T15:01:32.000Z,UCauc5htSi2hbA0vkqLZAQyA,"A new journey begins.

All will be revealed August 20, 2018. #LifeisStrange2

Episode 1 of Life is Strange 2 will release on September 27th 2018.

Follow us on:
Facebook: https://www.facebook.com/LifeIsStrangeGame
Twitter: https://twitter.com/LifeIsStrange
Instagram: https://www.instagram.com/lifeisstrangegame
Tumblr: http://lifeisstrange-blog.tumblr.com
VK: https://vk.com/lifeisstrange
Discord: http://discord.gg/lifeisstrange
Spotify: https://open.spotify.com/user/officiallifeisstrange
Flickr: https://www.flickr.com/people/156942661@N04/",Life is Strange,20,534143,25801,742,0,4286,CN,8/3/2018
