,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,44103187,2087565,72427,0,194385,DK,8/6/2018
1,7UAWbPp6S_4,Albert Dyrlund - Venner For Livet [Official Video],2018-08-03T12:03:03.000Z,UCznHpvvkhi2QxAJnMRU-0jg,"Husk at sætte sangen på jeres playlister på Spotify:  https://albertdyrlund.lnk.to/VennerForLivet


►INSTAGRAM: AlbertDyrlund
►SNAPCHAT: AlbertDyr

Kontakt: 
►MAIL: Albertbusiness@splay.tv
►FACEBOOK: https://www.facebook.com/albert.dyrlundjensen

Mest efterspurgte spørgsmål:

Hvor gammel er du? 
- 19 år, har fødselsdag d. 10/10

Lever du af YouTube?
- Ja jeg laver Youtube på fuldtid. Så ville blive mega glad hvis du ville tjekke nogle af mine videoer ud! 

Hvilket kamera bruger du? 
- Sony a6500",Albert Dyrlund,24,147405,3727,1241,0,824,DK,8/6/2018
2,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,50370684,1464238,91549,0,123348,DK,8/6/2018
3,OsAU02RiFac,Top 10 Convicts Who Freaked Out After Given A Life Sentence,2018-07-20T20:00:04.000Z,UCBINYCmwE29fBXCpUI8DgTA,"Top 10 Convicts Who Freaked Out After Given A Life Sentence
Subscribe To MostAmazingTop10: http://bit.ly/2Ibyk6i

**Watch Part 2 Here** - 
https://www.youtube.com/watch?v=Paf-iSf2Mr4

Become A Most Amazing Top 10 Member: https://bit.ly/2OgwCmN

There are a lot of criminals who commit horrible and evil crimes. So, when it is time to face their verdicts, a lot of these criminals have different intense reactions to their sentencing. So here are the top 10 convicts who freak out after given a life sentence. 

For Business Inquiries Contact: mostamazingtop10@gmail.com

Check Out Our Recent Videos- 
https://www.youtube.com/watch?v=LWjWEg6PXeI&list=PL532nVurngGurLZQ8vUjfybxIrwZRNGnC

Most Popular Videos- 
https://www.youtube.com/watch?v=ViI45BjBug8&list=PL532nVurngGsDmfoDM3dj-O3hWlkLNCud

FOLLOW US ON SOCIAL MEDIA

Facebook Fan Page- 
https://www.facebook.com/MostAmazingTop10Videos/

Instagram-
http://instagram.com/landonproductions

CHANNEL PRODUCER: 
Landon Dowlatsingh- https://www.instagram.com/landonproductions/

VIDEO EDITED BY:
Lucy McPhee @LucyMcPhee

PRODUCED BY: 
Liam Collens

POST PRODUCTION:
Theresa Morozovitch",MostAmazingTop10,27,11681123,82652,33446,0,26153,DK,8/6/2018
4,MKtAjUau36U,KAN KÆRESTEPAR SPILLE FODBOLD?,2018-08-06T08:00:02.000Z,UC0fYrApbPm4VQPHnkJqVSfg,"Så har jeg YouTuber kæresteparret med ude at spille fodbold!
►Niklas YouTube: https://bit.ly/2M9Hu8m
►Isabel YouTube: https://bit.ly/2Kr1YEU
►Snapchat: Brianmengel
►Instagram: https://www.instagram.com/brianbrizze/
►YouTube: https://www.youtube.com/user/BrianMengel
►Facebook: https://www.facebook.com/brianmengelbrizze/",Brian Mengel Brizze,17,35920,1051,22,0,95,DK,8/6/2018
5,linB7C5TmCs,25 Tattoo Artists Reveal Their Craziest Client Stories | INKED Talk,2018-07-27T16:15:00.000Z,UC-AqLLFKh8QoCsXaPAg4aRQ,"25 top tattoo artists share their craziest client stories from SWAT team busts to strange tattoos in strange places.

#TattooArtist #MeganMassacre #Storytime

WEBSITE: http://www.inkedmag.com/
FACEBOOK: https://www.facebook.com/inkedmag
TWITTER: https://twitter.com/inkedmag
INSTAGRAM: https://www.instagram.com/inkedmag/",Inked,22,3861066,70847,1958,0,3268,DK,8/6/2018
6,M-P4QBt-FWw,Alan Walker - Darkside (feat. Au/Ra and Tomine Harket),2018-07-27T07:00:04.000Z,UCJrOtniJ0-NWz37R30urifQ,"Walkers, it's time to finally share the second chapter of the World Of Walker trilogy with you guys. ""Darkside"" is the sequel to ""All Falls Down"" and features the amazing and talented Au/Ra and Tomine Harket. Hope you enjoy the music as well as the music video! Let me know what you think - like, share and leave a comment in the section below! (you can find lyrics at the end of the description)
- Alan

Listen to the single here: https://AlanWalker.lnk.to/Darkside
#WorldOfWalker

Check out the other videos in the trilogy:
Tired (Prologue) - https://www.youtube.com/watch?v=g4hGRvs6HHU
All Falls Down (Episode 1) - https://www.youtube.com/watch?v=6RLLOEzdxsM

-

Credits:
Director: Kristian Berg (http://www.kristianberg.com)
Concept: Kristian Berg & MER (http://www.mer.as)

Produced by: Synne Seltveit - Viper Film (http://www.viperfilm.com)
Produced by: Niklas Røseth - iProduksjon (http://www.iproduksjon.com)
Produced by: Ana Sikavica - Red Production (http://www.redproduction.tv)

D.O.P: Jakob Ingimundarson (http://www.jakobingimundarson.com)
Editor: Kristian Berg & Jonas Aarø
VFX: Wirat Johannessen (Knowit Experience)
Grade: Julien Alary

Costume Designer: Elise N. Nystad
Set Designer: Krešo Glavinić
Gaffer: Vladimir Slijepčević 
1st AC: Espen Olsen
Drone Operator: Roger Fosaas

Shot on location in Croatia, Montenegro and Bosnia & Herzegovina.

A special thanks to everyone involved!

-

Lyrics:

[Verse 1 - Tomine Harket]:
We're not in love
We share no stories
Just something in your eyes
Don't be afraid
The shadows know me
Let's leave the world behind

[Chorus]:
Take me through the night
Fall into the dark side
We don't need the light
We'll live on the dark side
I see it
Let's feel it
While we're still young and fearless
Let go of the light
Fall in to the dark side
Fall in to the dark side
Give into the dark side
Let go of the light
Fall in to the dark side

[Verse 2 - Au/Ra]:
Beneath the sky
As black as diamonds
We're running out of time
Don't wait for truth
To come and blind us
Let's just believe their lies

[Pre-chorus - Au/Ra]:
Believe it, I see it
I know that you can feel
No secrets worth keeping
So fool me like I'm dreaming

[Chorus]:
Take me through the night
Fall in to the dark side
We don't need the light
We'll live on the dark side
I see it
Let's feel it
While we're still young and fearless
Let go of the light
Fall in to the dark side
Fall in to the dark side
Give into the dark side
Let go of the light
Fall in to the dark side

[Chorus]:
Take me through the night
Fall into the dark side
We don't need the light
We'll live on the dark side
I see it
Let's feel it
While we're still young and fearless
Let go of the light
Fall in to the dark side
Fall in to the dark side
Give into the dark side
Let go of the light
Fall in to the dark side",Alan Walker,10,20499227,712516,10924,0,58907,DK,8/6/2018
7,q1TPazkaAZw,Hvem skal være med i Klassen? | Del 3 | Ultra,2018-07-30T04:00:01.000Z,UCKE8HAIVrpixOsQsAqQ_PZQ,"Hvis du kunne lide videoen, så giv den meget gerne et like. Det hjælper os rigtig meget! :)

Du kan abonnere på Ultras YouTube-kanal ved at trykke her: http://www.youtube.com/channel/UCKE8HAIVrpixOsQsAqQ_PZQ?sub_confirmation=1

Her på kanalen kan du finde en helt masse videoer, klip og bidder fra Ultra, men husk at du altid kan kigge forbi www.dr.dk/ultra/tv og se en masse af programmerne i fuld længde! 

Husk at tale pænt. Profilen her modereres efter DRs regler for god opførsel på DRs sociale profiler. Du kan læse dem her: http://www.dr.dk/om-dr/regler-god-opfoersel-paa-drs-sociale-profiler.",DR Ultra,24,145677,1099,92,0,71,DK,8/6/2018
8,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,129994548,2679441,357792,0,304768,DK,8/6/2018
9,ZueDfpfWc_c,Jeg kan sagtens smage forskel! (Blindsmagning),2018-08-04T08:00:01.000Z,UCVNSyYuNQUwJiD0TVst9Szg,"Som stor cola-elsker kan jeg selvfølgelig sagtens smage forskel på de forskellige colaer! Eller kan jeg?

Topgaard merch ► https://shop.spreadshirt.dk/niki-topgaard/

--------------------------------------------------------------------------------
Kontakt:

Instagram ► nikitopgaard
Snapchat ► nikitopgaard

--------------------------------------------------------------------------------
Mit YouTube setup:

Kamera:

Sony FDR-AX53
Sony a5100
Gopro Hero 5 Black
DJI Mavic Pro

Lyd:

Sennheiser wireless EW100 G3, med MKE 2-ew GOLD mikrofon
Røde NT1-A
Røde NTG-2
Røde VideoMicro

Lys:

2x 135W Soft Box lys

Computer:

Windows 7 Professional 64-bit
Intel i7-2700K
16 GB ram
Nvidia GeForce GTX 1060 6GB

Tilbehør:

Blackmagic Intensity Shuttle
Sirui 3T-35K

Software:

Avid Media Composer
Adobe After Effects
Adobe Photoshop
Cubase",Niki Topgaard,23,67814,2437,50,0,193,DK,8/6/2018
