,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,twRCfhGskrs,J'OFFRE À MA COPINE LA VOITURE DE SES RÊVES !,2018-08-05T08:00:03.000Z,UCeqsLJGWhZXEerY5JWvwLkg,"Téléchargez le jeu : https://qwikmatch.app.link/fJMCAPqqQO

Un IMMENSE merci à Qwikmatch pour avoir sponsorisé cette vidéo ! Allez télécharger l’application elle est super cool en vrai !

🐦 TWITTER : LMLEvideo
🌅 INSTAGRAM : valentin_jean & jenny_letellier
👻 SNAPCHAT : valentin_jean & groscroutard
🎬 FACEBOOK : Le Monde à L'Envers

Les placements de produits servent à produire nos vidéos. Sans ces placements, vous ne pourriez pas avoir de vidéo comme ""Nexte"", ""Recherche Maison ou Appartement"" ou encore ""1 Mariage Pour 1 Lune de Miel"". Encore merci à QwikMatch de nous faire confiance. Et merci à vous de comprendre cela. Allez télécharger cette appli les potes, en vrai, on y joue tous les jours !

On est 1 585 750. Merci les potes.",Le Monde à L'Envers,23,879001,73103,2523,0,3967,FR,8/5/2018
1,ZYTuDfm_n2U,TU PRÉFÈRES EXTRÊME (ft. MASTU & NEOXI),2018-08-04T15:00:08.000Z,UCExLbK-vl-4kRV-2cScRtPw,"Les pires tu préfères de l'extrême de la mort qui tue feat Mastu Neoxi et Artishow à la RedBox

Chaîne de Neoxi : 
https://www.youtube.com/user/Ne0xi

Chaîne de Mastu : https://www.youtube.com/channel/UCAhaFPP6v3WCfK5Tjao0B7A

Abonne-toi et met la cloche :  http://bit.ly/TeamArtishow

Suis nous sur Twitter : https://twitter.com/Artishow_A et https://twitter.com/Artishow_T

Instagram : https://www.instagram.com/artishow_a/

Outro : 
Jorm - Let's go skiing : https://youtu.be/0T0hsiE17c8
Jorm : https://soundcloud.com/iamjorm",Artishow,23,213771,15307,705,0,830,FR,8/5/2018
2,g38vUu1lg7s,combattre sa FLEMME,2018-08-05T13:35:22.000Z,UCBK2DclO34h6BDqqrh-drPw,"Si vous aussi vous êtes une feignasse, mettez vous au dessin !

MUSIQUES:
– Joakim Karud - Loudness Clarity
– Jazzaddicts Intro - Cosimo Fogg

↓SOUTENEZ LA CHAÎNE SUR TIPEEE↓
( ﾉ^ω^)ﾉ https://www.tipeee.com/ayeah ◝(・ω・)◟

↓VENEZ RIGOLER↓
TWITCH : https://www.twitch.tv/colas_bim
TWITTER : https://twitter.com/colas_bim
FACEBOOK : https://www.facebook.com/colas.bim
INSTAGRAM : https://www.instagram.com/colas_bim",COLAS BIM,24,95178,17650,62,0,1029,FR,8/5/2018
3,A7QaYgbtDho,CE PÈRE ET SON FILS ONT UN INCROYABLE TALENT !,2018-08-05T16:00:00.000Z,UCLI5qZqBkuMkZ54EK6Zi6AA,"Achètes ta Speen Ball: https://speenstyle.com

Mon Instagram : http://bit.ly/2i3oWbj
Facebook : http://bit.ly/1mJwJ5I 
Snapchat: WASSFREESTYLE
Twitter : http://bit.ly/1po0Z9B

Issa Baby : https://www.instagram.com/issababy_officiel
Yashiro: https://www.instagram.com/yashiro_fa

Contact Pro : wassfreestyle@hotmail.fr",Wass Freestyle,17,91603,7483,96,0,602,FR,8/5/2018
4,dh6yW0ZrDqY,TOP 10 des VIDÉOS YOUTUBE qui ont MAL TOURNÉ !,2018-08-05T15:00:05.000Z,UCRk_DB5ZQQcREqsWTeqqzLg,"Top 10 des vidéos YouTube qui ont mal tourné !
Abonnez-vous ! https://www.youtube.com/user/watchmojofr


YouTube est parfois impitoyable ! Même avec la possibilité d'effacer les problèmes au montage ou de faire plusieurs prises. Quels ont été les pires imprévus de la plateforme de partage de vidéos ? Joignez-vous à nous pour le décompte de cette liste des 10 vidéos YouTube qui ne se sont pas passées comme prévu !

Facebook►►https://www.facebook.com/watchmojofrancais/
Twitter►► https://twitter.com/WMFrancais 
Outil de suggestion►► http://watchmojo.com/suggestion
Page de la chaîne►► https://www.youtube.com/user/watchmojofr 

Proposez vos idées de vidéos ici:
http://watchmojo.com/suggestion

WatchMojo Français produit 8 listes par semaine sur les sujets qui vous intéressent le plus: jeux vidéos, musique, célébrité, sport, cinéma, télévision, histoire et bien plus !",WatchMojo Français,24,88798,2688,279,0,220,FR,8/5/2018
5,e-mfZtEPsjw,Corée du Nord : Dictature Tour - L’Effet Papillon – CANAL+,2018-08-05T16:00:04.000Z,UChRE-mEteKamJvcRIB2Seag,"• S’abonner à L’Effet Papillon ► http://www.youtube.com/subscription_center?add_user=leffetpapilloncanal
 
Direction Pyongyang, dans l’un des régimes totalitaires les plus féroces et les plus fermés au monde. Depuis 10 ans, le pays entrebâille sa porte à une poignée de touristes étrangers, essentiellement chinois ou de l’ex-bloc soviétique.
Tourner en Corée du Nord est plus que difficile, c’est même très dangereux sans autorisation. Les étrangers n’ont pas le droit de communiquer avec les nord-coréens, sauf si c’est un guide officiel. Ces voyages organisés sont très strictement encadrés.

► Première diffusion le 8 mai 2016 sur CANAL+.
 
Tout l’univers de L’Effet Papillon :
• Sur le site de CANAL+ ► https://www.mycanal.fr/theme/emissions/pid1284-l-effet-papillon.html
• Sur Facebook ► https://www.facebook.com/EffetPap
• Sur Twitter ► https://www.twitter.com/EffetPap
• Sur Instagram ► https://www.instagram.com/effetpap/",L'Effet Papillon,24,62831,2285,119,0,665,FR,8/5/2018
6,pjo-opqmrO8,CRASH TEST : glace à la mayonnaise,2018-08-05T17:00:22.000Z,UCNehq3bxue5OeUy2X_YQd5Q,"Cette semaine de nombreux médias ont parlé de la fameuse Glace à la Mayonnaise qu'a sorti un glacier écossais. J'ai donc décidé de la tester et je vous propose de découvrir le résultat dans ce nouveau CRASH TEST.

ǝɔɐʅƃ : ʇsǝ ǝuıɐɯǝs ǝʇʇǝɔ ɹǝɔɐld à ʇoɯ ǝl

N'hésite pas à laisser un pouce vers le haut si tu as apprécié cette vidéo et un pouce vers le bas si ce n'est pas le cas ! Tu peux également activer les notifications pour ma chaîne en cliquant sur la cloche. Bonne journée :)

📌 ʀᴇssᴏᴜʀᴄᴇs
L'article de BFMTV : https://decouvre.net/2LQUNLL
Le glacier écossais : https://www.instagram.com/ice_falkirk/

Ingrédients : 1 cup de crème épaisse, 1/2 cup de mayonnaise, 3 œufs, 1/2 cc de vanille, 1 cornet

📌 ᴍᴇ ʀᴇᴛʀᴏᴜᴠᴇʀ
Rejoins-moi sur Twitter et Insta : @alexandrecalvez

📌 ᴄʀᴀsʜ ᴛᴇsᴛ
Nous sommes nombreux à tomber quotidiennement sur le web ou à la télévision sur des jeux pour enfants, des recettes inventives, des produits révolutionnaires ou tout un tas d'objets bizarres. Seulement voilà, ils sont généralement présentés par des professionnels, le résultat est toujours magnifique et le gadget fonctionne toujours à merveille. Mais est-ce vraiment pareil lorsqu'on les essaye dans la réalité ? C'est ce que je vous propose de découvrir sur ma chaîne chaque dimanche dans un nouveau CRASH TEST.

Cette vidéo n'est pas sponsorisée, je ne suis pas affilié aux marques citées dans cette vidéo test et les points de vue exprimés sont les miens.",Alexandre Calvez,26,155862,10529,311,0,1348,FR,8/5/2018
7,p2O1N04AhsE,PORT DU CASQUE DÉCONSEILLÉ ♪,2018-08-05T08:30:02.000Z,UCGHroYa9lFfbr1m1XHS-b_w,"Je suis dotée de multiples talents. Port de lunettes de soleil fortement conseillé pour éviter d'être éblouis.

Twitter ➔ https://twitter.com/KaraL_YT
Insta ➔ https://www.instagram.com/karal_yt/
S'abonner ➔ http://bit.ly/subkaral


Pour vos fanarts, fangames et fanfictions, une seule adresse -  karal.fanmail@gmail.com 

------------------------
One hand clapping",KaraL,20,50870,5793,186,0,1029,FR,8/5/2018
8,CeBW0S5njiI,Rilès - !LOST! (Prod. Rilès + Rvssian),2018-08-05T15:59:21.000Z,UC-NwsBEyZqZnPc9OaCFJSsw,"Song : Produced/Written/Recorded/Mixed/Mastered by me in my bedroom (Lyrics below)
Sample: Tarik 'Rvssian' Johnston, Beach front riddim
Soon on Spotify & Apple music

Twitter: http://twitter.com/0riles
Facebook: http://facebook.com/0riles
Instagram: http://instagram.com/0riles
Soundcloud: http://soundcloud.com/0riles
👻 @rilesrilesbitch

_______________________________

I would like to give you all my time
I would like to tell you how much I love you
Since I can’t do none as I’m a liar
Let me spend the rest of my days all alone
Yeah you like to dance, all over my sins
And I make love to you like imma hurt you more
Yeah you like to pray, for all of my sins
When they made me aware of what I’m just for sure, yea

I’m so lost
Lost
Lost
Lost

I try to step back from the 3ein all on me
I got one foot in the grave, my fist in her punani
Living like it didn’t happen ‘till it fires back at me
I know I’ll probably end up in Cubana sleeping by the beach
But all I wanted was some peaches, marijuana and a casa para mom
All I wanted was the simple truth, no lie
All it did just hurt me more
Now I ain’t got time for your pussy
Time for them hoes
Time for the simple things I turned down before
No time for your pussy, 
Time only knows
Time never runs
But homie time never stops to dance
All over my sins
And I make love to you like imma hurt you more
Yeah you like to pray, for all of my sins
When they made me aware of what I’m just for sure, yea

I’m so lost
So Lost
So Lost
So Lost
So Lost
So Lost

You can sleep on the problem
You can search on my way
It’s buried in the mind, don’t try to read my face
You do not understand, it’s better anyway
Writing for the cure, need stacks and a ceiling
And since you want me to stay,
And now want me to play with your feelings
Doomed to be ‘lone again
As long as I got my TLM

I would like to give you all my time
I would like to tell you how much I love you
Since I can’t do none as I’m a liar
Let me spend the rest of my days all alone

Baila",Rilès,10,181160,21164,220,0,1870,FR,8/5/2018
9,lHkiYDYuYhA,Biwai - Loco (Clip Officiel),2018-08-05T16:00:09.000Z,UC9-oGtd0tbekVtdoKh8QCLQ,"Biwai - Loco (Clip Officiel)
Mixtape ""Remontada"" toujours disponible 🔜 https://biwai.lnk.to/Remontada
Abonne-toi ici : http://bit.ly/BiwaïYT

Retrouvez ce titre sur toutes les plateformes de téléchargement légal

Prod by Fabyan & Juanmi
https://www.instagram.com/fabyan.music
https://www.instagram.com/juanmimusica

- Clip réalisé par Jerome Maure 
https://www.youtube.com/channel/UCEyJtdh-J7dfOJC2lZaV7vQ?view_as=subscriber

- Partenaire pour ce clip https://hiphopsunglass.com -50% de réduction et livraison offerte sur le modèle ""Biwai""

Rejoins Biwai sur ses réseaux sociaux :
⤀ FB: Biwai
⤀ Snap : Biwai_snap
⤀ IG : Biwai_gb
⤀ Twitter : BiwaiOfficiel

**
Contact Managment/Booking : cahuetenapalm@gmail.com
Facebook Manager : Cahuete napalm

Label Napalm Prod",Biwaï Officiel,10,79581,8184,250,0,1218,FR,8/5/2018
