,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,mAepyxKJGMQ,【大食い】究極の晩ご飯 総重量約5.0㎏～鰆のおにぎり茶漬け＆究極のお味噌汁～,2018-08-04T11:00:02.000Z,UC1-4AnMxkLXLNL3-7UJ4KTQ,"ついに実現した夢のコラボ！
こんなに緊張したのもこんなに笑ったのも初めてっていうくら本当に楽しいコラボ撮影でした(#^^#)
↓(前編)かねこさんのちゃんねる↓
https://www.youtube.com/channel/UCaak9sggUeIBPOd8iK_BXcQ

今回、分量とかもとくにないので
こちらの概要欄の詳しいレシピはお休みさせていただきます(#^^#)

動画の中でどういった感じで作っているのかご確認いただければ幸いです(^^)

これまではファンとしてかねこさんの動画を見ていただけの僕が今回こうして僭越ながらコラボできたのも
ずっとこのチャンネルを見てくださった皆さんのおかげです！
いつも本当にありがとうございます(´；ω；`)

皆さんのおかげでかねこさんとお会いしたことで
僕自身の甘さであったり弱さであったり色んなことに気づかされました。
多くの刺激をうけて今回の愛知遠征から帰ってまいりましたので
今回の経験を無駄にすることなく心機一転精進してまいります！

今後とも応援していただければ大変嬉しいです！
まだまだ暑い日が続きますのでくれぐれもお身体は壊されぬよう水分補給、室内温度の管理されてくださいね(#^^#)

それでは本日も動画をご視聴いただきありがとうございます！


★盛り付け時の音楽★
楽曲制作：ヌビア(@nubiahistoria)


本日もご視聴いただきありがとうございました(#^^#)
TV、イベント出演その他仕事のご依頼は
 『(株)キューブエンターテイメント　マネジメント事業部』 まで
『アドレス』
info@cube-entertainment.co.jp
『リンク』
http://www.cube-entertainment.co.jp/

↓↓お手紙・その他全てのお荷物はこちらまでお願い致します!!↓↓
『宛先』
(株)キューブエンターテイメントマネジメント事業部　谷崎宛
『住所』
〒810-0001
福岡市中央区天神5-7-3福岡天神北ビル7階",/谷やん谷崎鷹人,24,285408,8781,333,0,1474,JP,8/4/2018
1,h1h9eWk3jzw,【1000万円】てつやの新しい車をじゃんけんで決めた結果...,2018-08-04T12:31:34.000Z,UCutJqz56653xV2wwSvut_hQ,"昨日この動画を編集しながら
個人チャンネルで生放送をしていました。
その時のことを書いてくれと言われたので
今日は昨日の生放送について書きたいと思います。
なるべく派手で奇抜でおもしろいことをしたいメインチャンネル。
日常的なメンバー同士の会話をお届けするサブチャンネル。
そして何にも縛られないフリーダムな聖域、個人チャンネル。
そんな聖域だからこそ無言で編集してるだけの生放送も
何も気にせずできてしまうわけなのですが
僕が思ってるよりもかなり多くの人が観に来てくれてて
夜の０時代から朝の６時ごろまでやっていたのに
3,000人以上の人が観ていてくれたみたいです。
企画の内容とかじゃなくただただ僕を観に来てくれる人が
こんなにもいるのか、と改めて感じた夜でした。
まあ適当にダラダラゆるすぎる雰囲気でこれからも
運営していくチャンネルになると思うので
今の僕のコアなファンの方々が最終的に行き着く
オアシス的な場所にしていけたらなと思いますので
ぜひコメント等でこういう動画見たいですとリクエストください。
メインのようになんのプレッシャーもハードルもないので
バンバンやっていきたいと思います。
とりあえず車紹介でも撮ろうと思います。
ツーわけで見にきてくれやまじで卍
(編集：てつや)

どうも、東海オンエアです。
ぜひチャンネル登録お願いします！

サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！
https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2A

グッズ購入はこちらから！！
https://goo.gl/YtauZW

お仕事の依頼はこちらから
https://www.uuum.co.jp/inquiry_promotion

ファンレターはこちらへ
〒106-6137 東京都港区六本木 6-10-1 六本木ヒルズ森タワー 37階UUUM株式会社　東海オンエア宛

【Twitterアカウント】
てつや→https://twitter.com/TO_TETSUYA
としみつ→https://twitter.com/TO_TOSHIMITSU
しばゆー→https://twitter.com/TOKAI_ONAIR
りょう→https://twitter.com/TO_RYOO
ゆめまる→https://twitter.com/TO_yumemarucas
虫眼鏡→https://twitter.com/TO_ZAWAKUN",東海オンエア,23,1272003,37352,716,0,8073,JP,8/4/2018
2,U-zdERKh18w,【緊急事態】遂に警察沙汰に…日韓カップルYouTuber、脅迫事件…【ゆりみん】,2018-08-04T13:54:45.000Z,UCgOfjIl0I_oG7VxIoaKaRsw,"急展開…遂に逃亡…

【今までの流れ】
深夜に大喧嘩で号泣…不倫相手も登場
https://www.youtube.com/watch?v=ULWVkP3k1qg
↓
ゆりにゃ遂に保護…直接本人と電話し引退発表…
https://www.youtube.com/watch?v=K3Xi8201ZqM

【チャンネル登録はこちら】
http://www.youtube.com/channel/UCgOfjIl0I_oG7VxIoaKaRsw?sub_confirmation=1

【サブチャンネル登録はこちら】
https://www.youtube.com/channel/UCPHChzs3MP7X5BXa1eBaz0g?sub_confirmation=1

【ツイッター　気軽にフォローしてね☆】
https://twitter.com/korekore19

【インスタグラム】
https://www.instagram.com/korekoretan/

-----------------------------
陰キャYouTuberコレコレです！
・主に生放送をメインに活動しています。
・可愛い女と炎上中のYouTuberには飛び付きます。
・あと勢いで入ったはじめしゃちょーファンクラブの解約方法が分からない…
-----------------------------

女子高生のスマホ検索履歴を見せてもらった結果やばすぎるｗｗ
https://www.youtube.com/watch?v=wn9GHjxzPuM

架空請求業者にわざと騙されコンビニまで振り込みに行ってみた
https://www.youtube.com/watch?v=H30MEuL1EFE&t=4s

タバコポイ捨て注意シリーズ
https://www.youtube.com/playlist?list=PLI94cgSdrxnbuI7wBQqBkRmbd17P-D_6h

音楽：魔王魂
効果音素材：ポケットサウンド",コレコレチャンネル KoreTube,24,402745,14878,468,0,3819,JP,8/4/2018
3,BgRU14pRskk,姫路の親父が勢揃い？ラーメン屋で視聴者さんに10万円奢り切るまで帰れません,2018-08-04T09:38:19.000Z,UCaminwG9MTO4sLYeC3s6udA,"今回協力してくださったラーメン屋
・べんてん屋（味噌）
兵庫県姫路市花田町上原田2-9

・麺 dining だいふく（とんこつ）
兵庫県姫路市辻井１丁目１２−２８

・鷹多花（とんこつ）
兵庫県加古川市野口町長砂997-5

・丸髙家（醤油）
兵庫県加古川市平岡町一色西2-204 ぷらーざきくや 1F

2ndチャンネルはこちら（グループ感強め）
https://www.youtube.com/channel/UCvc33FeURfaIN5M8x9wGVjQ

★チャンネル登録はこちら
https://www.youtube.com/channel/UCaminwG9MTO4sLYeC3s6udA?sub_confirmation=1

★ファンクラブできました！
https://yukichi.fc.vaz.tokyo

★ヒカルのゲーム実況チャンネル
https://www.youtube.com/user/kinnpatuhikaru

★ヒカルのTwitter
https://twitter.com/kinnpatuhikaru

★ヒカルまえす名人3人の共有Twitterはこちら
https://twitter.com/hikaru2nd1031

★ヒカルのインスタグラム
https://www.instagram.com/tadanokarisuma/

・VAZ公式HP
http://vaz.tokyo/",ヒカル（Hikaru）,24,357338,13443,1386,0,984,JP,8/4/2018
4,VwAK1kelVx8,【#7】ナスD大ピンチ顔面5ヶ所ハチに刺される！編,2018-08-04T11:00:18.000Z,UCDPFIRDYR3hOVQGK50btVIQ,"部族に知り合いの部族を紹介してもらい
ぐるっと地球一周を目指す、ナスDの大冒険
滞在していたシピボ部族の集落を出発し…
ジャングルの密集船ヘンリー号に潜入した一行は
南米アマゾンのさらに奥地を目指すのだが…
乗船２日目、立ち寄った先住民の集落で
破天荒のナスDが大ピンチ
顔面５ヶ所ハチに刺される！編をお届けします。

次回は８月１１日（土）夜８時に配信予定です。

■ナスDが真っ黒に染まった
「プエルトフィルメーサ村編」はコチラ↓
① https://youtu.be/yYyK93AJlYQ
② https://youtu.be/pMXWf0IrcMs
③ https://youtu.be/Hhw_j5K7e20
④ https://youtu.be/3XOCxDVk97k

■番組公式Instagram ＜部族アース＞ 
https://www.instagram.com/chikyu_buzoku/

■番組公式Twitter
https://twitter.com/chikyu_seifuku_

■番組HP
http://www.tv-asahi.co.jp/chikyu_seifuku/

#Amazon #tribe #adventure #SouthAmerica #jungle #japan #survival #Journey",ナスDの大冒険YouTube版【番組公式】,24,98284,2000,80,0,286,JP,8/4/2018
5,zIefYCHTzOA,日本無しでは立ち直れない・・ラオス救済に世界から賞賛の声【海外の反応】,2018-08-04T06:46:55.000Z,UC_zKWHvBQOzORp0NXpR77sA,"はじめまして神崎まどか です！ 普段 はOLをしていて
日々思う事 感じた事を帰宅後に
YOU tubeにアップしてみなさんとコミュニケーション
出来ればいいなと思っていますのでコメントなど頂ければ嬉しいです。
毎日 定時 動画をお届けいたします。
のでチャンネル登録よろしくお願い致します。




本日の動画紹介
↓↓

日本無しでは立ち直れない・・ラオス救済に世界から賞賛の声【海外の反応】


チャンネル登録の方もお忘れなく！
     ↓↓↓
zen nippon
https://www.youtube.com/channel/UC_zKWHvBQOzORp0NXpR77sA?sub_confirmation=1

【関連の動画をもっと見たい方にはこちらをオススメしております】
↓↓↓                                                                                    ↓↓↓

【海外の反応】新幹線に乗ったポーランド人が思わす口に出した言葉とは？
https://youtu.be/kj2Ky_q-GWA
【海外の反応】引きこもりの子供が親子で日本に滞在した結果・・
https://youtu.be/P1hQ5esiKNc

【海外の反応】ド肝を抜く日本の軽自動車の技術に外国の驚きの声

https://youtu.be/l4zLcP7PW64

【海外の反応】イギリス観光客が日本初来日ショックのあまり出た言葉が・・https://youtu.be/n4d17NKVLtg


人気の再生リストはコチラから
↓↓
海外の反応
https://www.youtube.com/playlist?list=PLm3eCItIlaKUVntrQTMFpRrpj_nuGiqbr



情報引用元様 URL        ：http://kaigainohannoublog.blog55.fc2.com/blog-entry-2772.html

音楽引用元様
Youtube Audio libray    
https://www.youtube.com/audiolibrary/music
画像引用元様 URL    
ｇｏｏｇｌｅ                 ： https://www.google.co.jp                                      
ＧＡＴＡＧ                     ： http://www.gatag.net/page/7
ｐｉｘａｂａｙ             ： https://pixabay.com/ja/
ぱくたそ                         ： https://www.pakutaso.com/
ＧＡＨＡＧ                     ： http://gahag.net/
ｔａｄａｐｉｃ             ： http://www.tadapic.com/",zen nippon,25,92228,680,182,0,167,JP,8/4/2018
6,1siPsPazZo4,猫用自動給水器を買ってみた！,2018-08-04T10:00:00.000Z,UC40WOv47nwHrpugwPiKcrcw,"活発に動くようになってお水のお皿をひっくり返してしまうことの増えた子猫のぽてとに猫用自動給水器をプレゼント！
流れるお水を不思議そうに見つめるぽてとだが、果たして飲んでくれるのか？！

可愛い子猫の成長記録動画。

Twitter : https://twitter.com/takiartworks
Instagram : https://www.instagram.com/takiartworks/",ぽてとチャンネル,15,68930,2071,48,0,238,JP,8/4/2018
7,_4XGUWBng80,『コードギアス 復活のルルーシュ』2019年2月公開　特報,2018-08-03T11:00:02.000Z,UCQ5URCSs1f5Cz9rh-cDGxNQ,"完全新作劇場版『コードギアス 復活のルルーシュ』劇場特報です。

2019年2月、全国約120館にて公開！

[公式サイト] http://www.geass.jp　[公式Twitter] @GEASSPROJECT",BANDAI NAMCO Arts Channel,1,742316,10702,332,0,0,JP,8/4/2018
8,j2Bapg_xf14,【怪奇現象】電車に飛び込んだ人が『消えていた』とかいう事例まとめてみた,2018-08-04T12:00:03.000Z,UCkkxn2ldlFUMupTlXU8meAw,"ご視聴ありがとうございます『たっくーTV』と申します
主にネットの話題、炎上記事・速報などをお届け
土日は
都市伝説・一週間分のニュース速報を行っております
是非チャンネル登録お願いします

コラボ動画
コレコレさんコラボ
https://youtu.be/wqX14iwRB6E
ブンジンさんコラボ
https://youtu.be/BGlSY4lcT0E
メインブンジンさんコラボ
https://youtu.be/35JcpYD41eI

是非コラボのお誘いお待ちしております

Twitter応募専用アカウント（DMにて24時間受付中）
『たっくーTV【ラジオ応募専用垢】』で検索

応募専用フリーメール
takku191955@gmail.com

沢山の応募ありがとうございます新しい動画リクエスト専用Twitter垢
『たっくーTV 動画リクエスト専用』 で検索

Twitter本垢
『たっくーTVれいでぃお』 で検索

30秒紹介応募メールアドレス
詳細はお気軽にお問い合わせください。
colorful-connect@colorful-connect.jp

詳しい内容は応募時にお話し致します。
コラボやお仕事依頼も上記アドレスにて承ります。

話題の動画【30万人突破記念】
https://www.youtube.com/watch?v=LpgJFeJKnEU

人気動画
野獣先輩まとめ
https://youtu.be/zW4IKNxeRQg
水溜りボンドさんそれ危険です
https://youtu.be/OUYAqn_QnsM
ローガンポール炎上『logan paul』
https://youtu.be/SITaU0HvYxI
ヒカキンさんプチ炎上動画
https://youtu.be/-KHGP6yDJgE
炎上キッズ【コルバルト・肉まん】
https://youtu.be/gbEyiXaFoHc
ブンジンさん
https://youtu.be/35JcpYD41eI
都市伝説
https://youtu.be/SRQReFLGjKY
関暁夫さんネタ
https://youtu.be/p-3mTyt98Ko
音楽
フリーBGM（音楽素材）Losstime Life
効果音ラボ
どんどこすたこらさっさ工房",たっくーTVれいでぃお,24,205177,6153,142,0,3877,JP,8/4/2018
9,Eyk7KQnw4xA,ついに柴犬に戦いを挑んだ黒猫 Kung Fu Cat vs Shiba Inu,2018-08-04T12:52:38.000Z,UCroloVlHKUnvOMn5MtuvyDg,"天「アタタタタタタタァ！」
もも「わぁ～✨ﾊﾟﾁﾊﾟﾁﾊﾟﾁ」
天「ハッ！ホッ！ヤア！」
もも「かっこいいー💕」
天「今日はこれくらいにしとくかニャ」
もも「じゃあ次はいよいよ本番だね（≧∀≦）」
天「何言ってる。毎日が本番だ(｀･ω･´)ｷﾘｯ」
もも「え、、、じゃあさっき毛玉と戦ってたのも本気だったの？」
天「ああ(｀･ω･´)ｷﾘｯ」
もも「（か、かわいすぎだよてーん💕💕💕）


インスタグラム ♦︎Instagram ♦︎
http://instagram.com/momo_and_ten

LINEスタンプ ♦︎ LINE Sticker ♦︎
https://line.me/S/sticker/3803910

♦︎BGM♦︎
音楽の卵 (http://ontama-m.com)",Momo and Tenももと天,15,55511,2125,19,0,200,JP,8/4/2018
