,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,7JUalc5gH7k,세상 모든 괴물들을 조종하는 지하조직,2018-08-03T07:30:00.000Z,UCBHXCaw_W6sxfgAB7rC-BYw,"영화 [캐빈인더우즈] 스토리텔링 리뷰영상입니다.
스포일러 및 결말이 포함된 영상이니 시청하실 때 주의해주시길 바랍니다.
감사합니다.

#영화 #캐빈인더우즈",소개해주는 남자,1,369199,2408,189,0,844,KR,8/3/2018
1,rnC49MLIbUY,"도박중독 성형중독 ""아이셋 버겁다"" 폭풍오열... 치료 시급해 보이는 슈의 정신 상태",2018-08-03T05:13:52.000Z,UC3J4Xfo5S2dz4OyymYC_AoQ,단순히 도박문제가 아니어 보이는 슈의 환경...,활력소TV,24,811243,1520,728,0,2201,KR,8/3/2018
2,Iqq_LRKcw9s,🍜대한민국에서 가장 인기있는 라면은?? 🔥고민폭발 라면월드컵,2018-08-03T09:37:25.000Z,UChQ-VMvdGrYZxviQVMTJOHg,"----------------------------------------­­-----------
- 도티의 사생활 인스타 팔로우: https://goo.gl/gbwHli
- 구독하기 링크클릭!!: http://goo.gl/WwJshS
- 공식 팬카페 바로가기: http://cafe.ddotty.com
- 샌드박스 스토어 바로가기: https://goo.gl/zQGkvh
----------------------------------------­­-----------

* With Sandbox Network *

＊라면 월드컵 - 도티가 제일 좋아하는 라면은?

▶구독하기 & 영상 좋아요 버튼을 꼭꼭 눌러주세요 :D

▷게임 하러가기 : [http://www.piku.co.kr/w/1g7aqr]

----------------------------------------­­-----------
Hello Everyone!
Welcome to DDotty’s channel and just call me “DDotty”!
I’m recording and editing many gameplay videos by myself & my team,
like Minecraft, Clash Royale and other mobile games that I love to play.
Please have fun with my videos and if you like, subscribe my channel.
Every day is so special because of you and me!
Thank you!
----------------------------------------­­-----------
COPYRIGHT ⓒ 2018 DDOTTY ALL RIGHTS RESERVED.
----------------------------------------­­-----------",도티 TV,20,219253,7973,537,0,6208,KR,8/3/2018
3,l5-3vOESkK8,과거에 제가 폭행했다고 주장하는 여자분을만나서 이야기해봤습니다..(슈인싸),2018-08-03T12:00:09.000Z,UCd4HNaFOZOkyipCoaoP9PvQ,"광고 문의 이메일: hwanshop93@naver.com
인스타: https://www.instagram.com/2_djae/    팔로우는 맞팔!
페이스북: https://www.facebook.com/leedjs2  팔로우는 친추검!
구독과 좋아요부탁드립니다!!
구독(알람 받아보실수있습니다)",이환,22,391927,0,0,0,5812,KR,8/3/2018
4,dXnBw6THJfU,"BRITISH PRIEST Reacts to ""GOD IS A WOMAN"" by Ariana Grande",2018-08-03T11:28:34.000Z,UCOgGAfSUy5LvEyVS_LF5kdw,"Father Chris sits down and watches the ""God is a woman"" music video by Ariana Grande 😳🙄

크리스 신부님이 아리아나 그란데의 ""하느님은 여자다"" 뮤직비디오를 보시게 됩니다...! 😳🙄


Written and Directed by Josh and Ollie
Producer/Editor: Grace Park
Producer/Editor/Translator: Hyemin Lim
Technical Director/Editor: Mike Kim
Editor/Translator: Sejun Lee",JOLLY,23,201595,8743,1120,0,3576,KR,8/3/2018
5,X5zndb4xq9o,헤어졌습니다.,2018-08-01T10:09:46.000Z,UCem8l1w4OWhkqpoOg1SB4_w,.,재넌,24,2831841,56641,7660,0,0,KR,8/3/2018
6,oode4PFfhG4,THE MASKED SINGER | Official Trailer | FOX BROADCASTING,2018-08-02T23:21:36.000Z,UCDiPds0v60wueil5B8w3fPQ,"Don't miss out on the new weekly singing competition show that will keep everyone guessing! See who's behind the mask coming soon on FOX!

Subscribe now for more FOX clips: http://fox.tv/SubscribeFOX

Like FOX on Facebook: ‪http://fox.tv/FOXTV_FB‬‬
Follow FOX on Twitter: ‪http://fox.tv/FOXTV_Twitter‬‬
Add FOX on Google+: ‪http://fox.tv/FOXPlus‬‬

THE MASKED SINGER | Official Trailer | FOX BROADCASTING
http://www.youtube.com/user/FoxBroadcasting",FOX,24,235525,1945,62,0,674,KR,8/3/2018
7,7NCu8op6abQ,"봐...봤어? 힝.., 시간  순삭해주는 재밌는 영상 모음",2018-08-01T03:32:53.000Z,UCJibQyqSyaTAkZA2rxURViQ,"안녕하세요.  Awesome TV 입니다.
매일매일 구독자님들을 위한 재밌고 핫한 영상으로 모시도록 하겠습니다.
영상이 즐거우셨다면 좋아요와  구독하기 버튼을 꾸~욱 눌러주세요

감사합니다.",Awesome TV,22,1682804,3835,1667,0,2333,KR,8/3/2018
8,pXE4Of4TnBg,더위엔 서울 탈출! 죽은 문어도 살리는 강릉 주문진에서 대게 파티해썹~ | 와썹맨 ep.23 | god 박준형,2018-08-03T08:00:03.000Z,UCYgUhR7EGKauFXgJS0pckGg,"요오우~ 오느른 여러부늬 추천해준 강릉에 와썹~
도깨비쓰도 따라하고 게딱지에 문어도 다 먹어쓰 매애앤
요즘 너무 더우니까 바다 무조껀 가야 돼 먼지 알쥐?!!

#와썹맨 #박준형 #god #JoonPark #스튜디오룰루랄라
#강릉 #주문진 #도깨비 #수산시장 #문어 #대게 #먹방 

[와썹맨] 1화 보러가기 ▶ http://bit.ly/2LvyvyV
[와썹맨] 2017년 ver. [사서고생_왓써맨] ▶ http://bit.ly/2AjbsSG
[스튜디오룰루랄라] 유튜브▶ https://www.youtube.com/studiolululala",와썹맨-Wassup Man,24,451843,17162,123,0,3967,KR,8/3/2018
9,pSM0Ua5bZxw,외제차 자랑하며 여자 직원 무시하던 그 남자가 받은 사진 한장,2018-08-03T08:09:07.000Z,UCcGejtT5M_ui3SNo1hT8Hbw,"#톡튀카
#드라마",톡톡 튀는 카톡2,24,165095,581,129,0,446,KR,8/3/2018
10,Ha4VBSO0wOU,"5개월만 나온 정봉주, ""노회찬과 이재명에 대해 이 이야기는 꼭 해야겠어요""",2018-08-03T07:19:04.000Z,UC4xrrbEbpjhvS6CB-KNOgWg,"정치와 사회이슈를 가장 빠르게 전달하는 채널 '다이슈'입니다. 
'좋아요'와 '구독' 꼬옥 부탁드려요^^ 

채널 주소: https://www.youtube.com/channel/UC4xrrbEbpjhvS6CB-KNOgWg",다이슈,25,79667,923,149,0,247,KR,8/3/2018
11,6nJBp7sCVCE,무정자증인데 2명의 여자가 임신한 역대급 반전 ㄷㄷㄷ,2018-08-03T07:26:15.000Z,UCVrjcxLYqzqPHiSgofU5KTw,"진짜 대박 반전이네요

2편 후기 보기 http://pf.kakao.com/_nCrqC

본 영상은 제보후 수정 및 편집 작업이 이루어집니다",그 톡이 알고싶다,24,366160,2209,430,0,1326,KR,8/3/2018
12,XQL3iNN5WJU,새벽 여친의 실수로 온 의문의 사진한장으로 참교육,2018-08-02T03:00:04.000Z,UCiiWTch5kweyoXsvTv16bGQ,"📢 전주 이요한님 제보로 만들어진것임을 알립니다
📯 제보자의 원본카톡을 재편집한것임을 알립니다

📌 여러분의 이야기를 옴니버스 채널에 추억하세요
📩 카톡 제보 1seoung@naver.com

----------------------------------------­­­-----------
COPYRIGHT ⓒ 옴니버스 ALL RIGHTS RESERVED
----------------------------------------­­­-----------",옴니버스,24,481676,1463,247,0,634,KR,8/3/2018
13,TqgoCIeqO4Q,어떤 물건이든 무기로 만들어버리는 역대 최강의 스파이,2018-08-01T11:21:06.000Z,UCJfthTE-ACoZJPVgwyw_hsw,,필름에빠지다,1,386522,1732,144,0,308,KR,8/3/2018
