,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,48043427,2174416,77382,0,199391,NZ,8/7/2018
1,Eh2IMZ5Na7o,Sidhu Moose Wala : DOLLAR | Byg Byrd | Dakuaan Da Munda | New Punjabi Songs 2018 | White Hill Music,2018-08-05T04:30:06.000Z,UCopY0NAzASqmD6eVaRj2TFQ,"Sidhu Moose Wala new song Dollar from movie Dakuaan Da Munda releasing on 10th Aug music only on White Hill Music. Hit Like comment & share this Punjabi song if you enjoy this video.also don't forget to subscribe White Hill Music youtube channel for more latest Punjabi songs.

#SidhuMoosewala #BygByrd #Dollar #DakuaanDaMunda #PunjabiSong

Song Credits : 

Song : Dollar
Singer & Lyricist : Sidhu Moosewala
Music : Byg Byrd
Tdot Films 
Director : Rahul Chahal
Dop , Editor : Sagar Kanda
Asst Director : Jaskamal saini Taran Bali
Team : Sukaran Pathak , Vishal Bangar , Luckee Bains

Also Available on :- 

►iTunes : https://geo.itunes.apple.com/us/album/id1421688868?at=1l3v9Tx&app=itunes
►Apple Music : https://geo.itunes.apple.com/us/album/id1421688868
►Saavn : https://www.saavn.com/s/album/punjabi/Dollar-From-Dakuaan-Da-Munda-2018/-FrjgdOibr4_
►Gaana : https://gaana.com/song/dollar-54
►Wynk : 
►Jio : 
►idea :
►Hungama : http://www.hungama.com/song/dollar-from-dakuaan-da-munda/38473328/
►Amazon Prime Music : 
►Amazon : https://www.amazon.com/Dollar-Dakuaan-Munda-Sidhu-Moosewala/dp/B07G5GKFKY/ref=sr_1_2?ie=UTF8&qid=1533542915&sr=8-2&keywords=dollar+sidhu
►Google Play : https://play.google.com/store/music/album/Sidhu_Moosewala_Dollar_From_Dakuaan_Da_Munda?id=Bkqux22vrv34cdivgxgulkeq2fi
►Spotify : http://open.spotify.com/album/2keQd2w6kV8FJD2ZSGPlp7
►Deezer : http://www.deezer.com/album/69876402

Operator Codes : 

● Airtel : 
● Airtel Hellotune Link : 
● Vodafone : 
● Idea : 
● BSNL (N & W) Direct Dial : 
● BSNL (E & S) Direct Dial : 

Movie Credits :

Movie Title : Dakuaan Da Munda
Directed By : Mandeep Benipal 
Producers : Ravneet Kaur Chahal & Rajesh Kumar Arora 
Executive Producer : Rajinder Raja 
Starring : Dev Kharoud, Pooja Verma, Jagjeet Sandhu, Lucky Dhaliwal, Sukhdeep Sukh, Anita Meet, Hardeep Gill & Kuljinder Sidhu 
Story : Mintu Gurusaria 
Screenplay : Inderpal Singh 
Dialouges : Gurpreet Bhullar 
Music : Qaistrax & Laddi Gill 
Lyrics : Veet Baljit & Gill Raunta 
D.O.P : Dharendra Nath Shukla 
Editor : Bharat S Raawat 
Visual Promotion : Hashtag#Studios 
Choreographer : Ritchie Burton 
Singers : Nachattar Gill, Veet Baljit, Shipra Goyal, Angrej Ali.  Himmat Sandhu , Sidhu Moosewala & Bunty Numberdar
Action Director : Singh Is King 
Associate Director: Vinod Kumar 
Chief Ad : Gourav Kumar 
Art Director: Sagar Punjabi 
Post Production : Sanju K Banerjee 
Original Background Score : Salil Amrute (U.K) 
Sound Foley Fx Jitender Singh

Subscribe us on :-
YouTube : http://bit.ly/WhiteHillProduction
Facebook : -
White Hill Music : https://www.facebook.com/whitehillmusic
White Hill Production : https://www.facebook.com/whitehillproduction  
Twitter : https://twitter.com/whitehillproduc
Instagram : https://www.instagram.com/whitehillmusic/
Website : https://www.whitehillproduction.com


Published Year : 2018
Copyright : White Hill Music & Entertainment Private Limited
F-545,1st Floor,Phase -8A Industrial Area,Mohali - 160059",White Hill Music,10,6013429,115049,5684,0,9109,NZ,8/7/2018
2,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,54124101,1495454,94325,0,125305,NZ,8/7/2018
3,OsAU02RiFac,Top 10 Convicts Who Freaked Out After Given A Life Sentence,2018-07-20T20:00:04.000Z,UCBINYCmwE29fBXCpUI8DgTA,"Top 10 Convicts Who Freaked Out After Given A Life Sentence
Subscribe To MostAmazingTop10: http://bit.ly/2Ibyk6i

**Watch Part 2 Here** - 
https://www.youtube.com/watch?v=Paf-iSf2Mr4

Become A Most Amazing Top 10 Member: https://bit.ly/2OgwCmN

There are a lot of criminals who commit horrible and evil crimes. So, when it is time to face their verdicts, a lot of these criminals have different intense reactions to their sentencing. So here are the top 10 convicts who freak out after given a life sentence. 

For Business Inquiries Contact: mostamazingtop10@gmail.com

Check Out Our Recent Videos- 
https://www.youtube.com/watch?v=LWjWEg6PXeI&list=PL532nVurngGurLZQ8vUjfybxIrwZRNGnC

Most Popular Videos- 
https://www.youtube.com/watch?v=ViI45BjBug8&list=PL532nVurngGsDmfoDM3dj-O3hWlkLNCud

FOLLOW US ON SOCIAL MEDIA

Facebook Fan Page- 
https://www.facebook.com/MostAmazingTop10Videos/

Instagram-
http://instagram.com/landonproductions

CHANNEL PRODUCER: 
Landon Dowlatsingh- https://www.instagram.com/landonproductions/

VIDEO EDITED BY:
Lucy McPhee @LucyMcPhee

PRODUCED BY: 
Liam Collens

POST PRODUCTION:
Theresa Morozovitch",MostAmazingTop10,27,12536113,85766,35642,0,27490,NZ,8/7/2018
4,nMM4l3cjd4w,MYSTERY WHEEL OF SLIME GLOVES CHALLENGE!!!,2018-08-04T11:00:08.000Z,UChLN0bJgq6d15OK2HVB4YTg,"Karina and Ronald use gloves to make slime, and spin the mystery wheel to pick their slime ingredients from gloves!!! Watch how they snip gloves to get their slime ingredients and then mix all ingredients to make their slime! Vote below who made a better slime, was it Karina, or Ronald??? 

SIS vs Bro instagram @ karina_vs_ronald
Karina has a new instagram @ kurzawa_karina
Ronald's new instagram @ ronaldkurzawa

OUR MERCH: https://www.sisvsbro.com
Facebook: https://www.facebook.com/karinavsronald/",SIS vs BRO,24,7988631,75290,11931,0,57106,NZ,8/7/2018
5,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,136103993,2731197,365473,0,309902,NZ,8/7/2018
6,xLCn88bfW1o,VENOM - Official Trailer 2 (HD),2018-07-31T13:00:12.000Z,UCz97F7dMxBNOfGYu3rx8aCw,"The world has enough superheroes. Watch the new #Venom trailer now. 10.5.18.

One of Marvel's most enigmatic, complex and badass characters comes to the big screen, starring Academy Award® nominated actor Tom Hardy as the lethal protector Venom. 

Subscribe to Sony Pictures for exclusive content: http://bit.ly/SonyPicsSubscribe 

Follow VENOM on Social: 
https://www.facebook.com/VenomMovie/ 
https://twitter.com/VenomMovie 
https://www.instagram.com/venommovie/

Cast:
Tom Hardy
Michelle Williams
Riz Ahmed
Scott Haze
Reid Scott",Sony Pictures Entertainment,24,27743978,575241,20726,0,79048,NZ,8/7/2018
7,linB7C5TmCs,25 Tattoo Artists Reveal Their Craziest Client Stories | INKED Talk,2018-07-27T16:15:00.000Z,UC-AqLLFKh8QoCsXaPAg4aRQ,"25 top tattoo artists share their craziest client stories from SWAT team busts to strange tattoos in strange places.

#TattooArtist #MeganMassacre #Storytime

WEBSITE: http://www.inkedmag.com/
FACEBOOK: https://www.facebook.com/inkedmag
TWITTER: https://twitter.com/inkedmag
INSTAGRAM: https://www.instagram.com/inkedmag/",Inked,22,3975446,72567,2014,0,3332,NZ,8/7/2018
8,No8-mBek3rs,All Sports Golf Battle 3 | Dude Perfect,2018-08-06T21:57:09.000Z,UCRijo3ddMTht_IHyNSNXpNQ,"Time for round 3 of the best kind of golf... All Sports Golf!
Special Thanks to Bass Pro Shops for Sponsoring this video!
► Click HERE to check out Big Cedar Golf: http://bit.ly/GolfBigCedar
 
► Click HERE to subscribe to Dude Perfect! http://bit.ly/SubDudePerfect

Music by Citizen Way - Wave Walker
► Click HERE to download: http://dudeperfect.com/WaveWalker

► Click HERE to watch our most recent videos! http://bit.ly/NewestDudePerfectVideos
http://bit.ly/NewestDPVideos

► SHOP our NEW Merchandise! - http://bit.ly/DPStore
►Click HERE to join the exclusive Dude Perfect T-Shirt Club! http://bit.ly/DPTShirtClub

Play our NEW iPhone game!
► PLAY Endless Ducker on iPhone -- http://smarturl.it/EndlessDucker
► PLAY Endless Ducker on Android -- http://smarturl.it/EndlessDucker

► VISIT our NEW STORE - http://bit.ly/DPStore
► JOIN our NEWSLETTER - http://bit.ly/DPNewsletterEndCard
► WATCH our STEREOTYPES - http://bit.ly/StereotypesPlaylist

In between videos we hang out with you guys on Instagram, Snapchat, Twitter, and Facebook so pick your favorite one and hang with us there too!

http://Instagram.com/DudePerfect
http://bit.ly/DudePerfectSnapchat
http://Twitter.com/DudePerfect
http://Facebook.com/DudePerfect

Do you have a GO BIG mindset? 
See for yourself in our book ""Go Big."" 
►http://amzn.to/OYdZ2s

A special thanks to those of you who play our iPhone Games and read our book. You guys are amazing and all the great things you tell us about the game and the book make those projects so worthwhile for us! 

Dude Perfect GAME - http://smarturl.it/DPGameiPhone
Dude Perfect BOOK - ""Go Big"" - http://amzn.to/OYdZ2s

Click here if you want to learn more about Dude Perfect:
http://www.dudeperfect.com/blog-2/

Bonus points if you're still reading this! 
Comment: all sports golf 4 should have the editors in it!!

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it. Noggin. 
- Dude Perfect",Dude Perfect,17,7578068,294390,5189,0,20674,NZ,8/7/2018
9,MT4tGQWKasQ,Pariyan Toh Sohni (Full Video) | Amrit Maan | Latest Punjabi Songs 2018,2018-07-27T05:41:47.000Z,UCjuV-yJ3ceiHI4ixglXxksA,"Song - Pariyaan Toh Sohni 
Singer - Amrit Maan
Lyrics - Amrit Maan
Starring - Amrit Maan & Sim Singh
Featuring - Shivani Bhagwan & Chaya kumar
Music - Ikwinder Singh 
Video - Avex Dhillon
Online Promotions - Gold Media Entertainment
Presentation - AMAR PUWAR & ANDY PUWAR 
Project by - PRABHJINDER GILL & JASVIR THIND 
Label - CROWN RECORD'S
CONTACT INFO: 
JASVIR THIND - 9721000003
WHATSAPP - 0012099003871
EMAIL- CROWNRECORDSUSA@GMAIL.COM

CALLER TUNE CODES:
PARIYAAN TOH SOHNI:

AIRTEL DIRECT DIAL: 5432116560574

DOCOMO GSM DIRECT DIAL: 54321110572895

DOCOMO CDMA SMS TO 543211 : SET 10572895

VODAFONE DIRECT DAIL: 5678910572895

BSNL EAST / SOUTH SMS TO 56700 : BT 10572895

BSNL NORTH / WEST SMS TO 56700: BT 7138992

AIRCEL SMS TO 53000: DT 7138992",Crown Records,10,18061651,204220,12746,0,11273,NZ,8/7/2018
