,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,0uvIc4u475s,"Дима Билан & Polina - Пьяная любовь (премьера клипа, 2018)",2018-08-03T16:38:54.000Z,UCrnxeDn1Biodm9jO8yAyj3g,"В РОЛЯХ:
Дима Билан
Polina
 
А ТАКЖЕ:
Юлия Ауг
Лилия Абрамова
Лолита Милявская
Наталья Королёва
Александр Гудков
Мария Миногарова
Анастасия Ивлеева
Ольга Ефремова
Эдгар и Аскольд Запашные
Тигр Рики
Михаил Орлов
Елена Блиновская с сыновьями 

Производство: VERSUS PICTURES
Креативные продюсеры: 
Александр Гудков, Даша Чаруша, Екатерина Кононенко
Режиссер-постановщик: Даша Чаруша
Оператор-постановщик: Mekill Youdiev
Оператор: Сергей Канчер 
Продюсеры: Екатерина Кононенко, Рубен Адамян

Купить трек в iTunes - https://apple.co/2sKoL8P",bilanofficial,10,456616,22560,1577,0,1927,RU,8/3/2018
1,W_cn-oRZMco,Вот бы не допсутить ошибку!,2018-08-03T16:43:28.000Z,UC8M5YVWQan_3Elm-URehz9w,"Сегодня мы поговорим об текстовых ошибках, которые лучше бы и не случались.

Реши любую проблему с YouDo 
android http://bit.ly/2my6Ez9 
ios http://bit.ly/2mFi58x

Материалы:

Гугл:
http://graphics.stanford.edu/~dk/google_name_origin.html
https://skillcrush.com/2013/11/12/horribly-google-called-google/



Маринер 1:
https://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=MARIN1
https://www.wired.com/2009/07/dayintech-0722/


Сара Гослинг:
http://www.dailymail.co.uk/news/article-2246889/Sarah-Gosling-murder-Police-spelling-mistake-left-Ian-Hope-kill-partner-domestic-row.html
https://www.bbc.co.uk/news/uk-england-tyne-20691300

Монетка:
https://www.nytimes.com/2013/10/12/world/europe/coins-celebrating-pope-misspell-name-above-all-names.html
https://goo.gl/u4Mxok
https://www.independent.co.uk/news/world/vatican-misspells-jesus-on-pope-francis-commemorative-coins-8873629.html

Японская фирма:
https://www.theguardian.com/business/2005/dec/09/japan.internationalnews1

Группа ВК https://vk.com/utopia_show 
Поддержи наш проект:
https://vk.com/app5727453_-96007970
ВК https://vk.com/topatella
Инстаграм https://www.instagram.com/topatella

Production Music courtesy of Epidemic Sound!",Utopia Show,28,416634,67412,552,0,4414,RU,8/3/2018
2,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,19559691,1257702,34654,0,136720,RU,8/3/2018
3,H8domBm_ZwU,"Кто ты, крымский узник Кремля?",2018-08-03T14:12:17.000Z,UCIp1KqtkG_Q9YtHbVikKXDA,Или почему вокруг так много тупых,Ольга Шарий,23,106530,9323,639,0,1538,RU,8/3/2018
4,0Lzqrn72F7k,This is Хорошо - КАК БОРОТЬСЯ С ЖАРОЙ #667,2018-08-03T04:00:01.000Z,UCPT9_sNLoBLjH1uea7zpVIA,"Кстати, эти супер наушники Samsung Gear IconX 2018 вы можете получить в подарок при покупке Samsung Galaxy S9|S9+. Успей до 9 сентября! Подробнее:
https://bit.ly/2KntUJy

📣 Видео и “И это хорошо!” слать сюда: http://thisishorosho.ru/prislat
📣 По вопросам сотрудничества: business@machinegunmedia.com

◆Официальный сайт: http://thisishorosho.ru
◆Telegram: https://t.me/tixchannel
◆ВК: http://vk.com/thisishorosho
◆Twitter: http://www.twitter.com/thisishorosho
◆ Instagram: https://www.instagram.com/thisishoroshoofficial/
◆Facebook: http://fb.com/thisishorosho
◆Twitch: https://twitch.tv/frustream

Выпуск #667

🎥 Видео из обзора: 

Девочка и турник
https://vk.com/video-129440544_456240719

КАК БОРОТЬСЯ С ЖАРОЙ!
https://www.liveleak.com/view?t=k0gyY_1532648550 
https://www.liveleak.com/view?t=CYVh4_1532720385 
https://www.jukinmedia.com/licensing/view/996221  

Мартышка и велосипед
https://www.liveleak.com/view?t=MZXs_1532679666 

Музыка взята c
http://www.audiomicro.com/royalty-free-music
http://jinglepunks.com
https://player.epidemicsound.com/
Дополнительные звуки взяты с http://www.freesound.org",This is Хорошо,24,385845,25271,2559,0,2611,RU,8/3/2018
5,M6zebmNeWhA,"Короче говоря, знакомство с мамой",2018-08-03T13:10:02.000Z,UCovLyuOCfHLOPP8Jwc3aZoA,"Мы в Telegram ► https://t.me/room_factory
Мы в Twitter ► https://twitter.com/room_factory
Официальная страница ► https://vk.com/roomfactory
Официальная страница в FB ► https://www.facebook.com/rooomfactory
Наш инстаграм ► https://instagram.com/room.factory

Сотрудничество ► room-factory@mail.ru

Vine video ► https://vk.com/vinevinevine

Другие соц.сети:
Максим Старосвитский ► http://instagram.com/starosvitskiy / vk.com/starosvitskiy
Миша Шевчук ► https://vk.com/id8668733 / instagram.com/shevchuk_misha/
Ксения ( оператор ) ► https://vk.com/id12108072
https://www.instagram.com/kenyabakalo/
Настя ► https://vk.com/stacey.parker
https://www.instagram.com/nastencha/
Ваня ► https://vk.com/popluzhnyi 
https://www.instagram.com/popluzhnyi/



На нашем канале представлено множество интересных проектов, таких как ""Фразы"", ""Че с шоу?"", ""Что делать?"" и конечно же культовый сериал ""Короче говоря"", идею которого мы позаимствовали у не менее популярного французского сериала ""Bref"".
В скором времени у нас появится свой блог, где можно будет посмотреть как проходят съемки, как пишутся сценарии, различные обзоры, летсплеи и т.д.
Если вам нравится наше творчество, не забывайте ставить пальцы вверх и подписываться на наш канал. 
Ответы на ваши вопросы можно получить здесь https://vk.com/roomfactory


С любовью, Room Factory.",Room Factory,23,305003,23644,468,0,1003,RU,8/3/2018
6,f0HFyYiBlis,"КОРОЧЕ ГОВОРЯ, Элджей - 360°",2018-08-03T07:00:05.000Z,UCigD2HFmQuMoth3V_RLVBog,"🔥Играть и ставить тут - http://1winyc.xyz/

КОРОЧЕ ГОВОРЯ, Элджей - 360°

Короче говоря, я стал самураем и пошел крушить своих врагов!! Но на моем пути встал узкоглазый злодей, который похитил мою женщину! Что было дальше? Смотрите сами...

ПОСМОТРИТЕ ТАКЖЕ:

КЛИП:https://youtu.be/FIC4S812FgA


КОРОЧЕ ГОВОРЯ, Я ПОСМОТРЕЛ УЖАСТИК:https://youtu.be/-DmXBhvEEOk

КОРОЧЕ ГОВОРЯ, НАШЁЛ ТРУП:https://youtu.be/VQVwkpM688g

ВСЕМ ПРИВЕТ! меня зовут Эван и я снимаю видео в формате КОРОЧЕ ГОВОРЯ . Я снимаю формат #корочеговоря, который вы могли видеть на каналах - Room factory, Тим Тим, OneTwo и Mak 
🔥Я ВК:https://vk.com/id137861815
🔥МОЙ ИНСТ:https://www.instagram.com/_pikachy0170_/
🔥СОТРУДНИЧЕСТВО:evanmcfly17@gmail.com",EVAN,23,108054,4164,2690,0,707,RU,8/3/2018
7,JPdneEjceCY,Лев Против - нарвались в день ВДВ!,2018-08-03T10:19:07.000Z,UCWUi0SCvgAGNJyS3Jmfibow,"Подпишись на канал - http://www.youtube.com/user/bodymaniaa
1ХБЕТ - http://bit.ly/2GPDiG5
Инст Валеры - https://www.instagram.com/valeriypak_/
Канал 1xbet -  https://goo.gl/pz6TmJ
Лев Против - нарвались в день ВДВ!",Body Mania,17,417964,7099,3415,0,1336,RU,8/3/2018
8,p33s1lnIt3k,Хачу Невесту - Амиран Сардаров. Шестая серия. Финал.,2018-08-02T15:05:47.000Z,UCnbxcA3kZ_uUYIBHNvxpDQw,"6 сентября, в Олимпийском, концерт «7 Жизней». 
Билеты тут 👉🏽  https://goo.gl/Z7gNmE 

--------------------
Создание Влогов. Вирусных Роликов. Пиар Артистов. Продвижение Услуг.
http://lionsmedia.ru

--------------------
Ссылки на соц сети:

Инста: http://instagram.com/amiran495
Моя страница: https://vk.com/amirans
Группа: https://vk.com/dnevnikxacha
Перископ: https://www.periscope.tv/Amiran121/
Твич канал: http://www.twitch.tv/amiran335
------
Треки предоставлены VSP Group
Production Music courtesy of Epidemic Sound",ДНЕВНИК ХАЧА,22,1709157,49310,58912,0,21377,RU,8/3/2018
9,oVAzfqPFeHw,ЧТО?! ЗАСМЕЯЛИСЬ ИЛИ УЛЫБНУЛИСЬ ? - Проиграли ! ) ) ),2018-08-03T12:00:09.000Z,UCteZmon2UC21GgOl02aU2rg,"Спонсор канала 1xbet: http://bit.ly/2u9tbca 
Канал 1xbet: https://goo.gl/pz6TmJ
►Подписаться на канал:https://www.youtube.com/user/MrVengur/featured
►Подпишись на меня в VK:http://vk.com/kbiryukov2000
►Группа в ВК:https://vk.com/mema4gotopshow

*Если вам понравился ролик, то ставьте лайк и делитесь этим 
    видео со своими друзьями , именно так наш канал будет 
          развиваться благодаря вам :*",TheBrun,23,328045,17164,1187,0,2299,RU,8/3/2018
