,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,AwOK-_dF19w,EATING MY DIAMOND PLAY BUTTON!!,2018-08-07T14:59:20.000Z,UCjwmbv6NE4mOh8Z8VhPUx1Q,"I ate my Diamond Play Button 3 different ways! 

SUBSCRIBE ► https://www.youtube.com/subscription_center?add_user=rosannapansino

MAKING THE MOLD VIDEO ► https://www.youtube.com/watch?v=dFaqRG8dhhY
--------------------------------------------------------------------------
BUY: 
 **NEW Cookbook**: http://www.BakingAllYearRound.com
BAKING LINE: https://www.wilton.com/Ro
NERDY NUMMIES COOKBOOK: http://www.NerdyNummiesCookbook.com
--------------------------------------------------------------------------
ADD ME ON:
Facebook: http://www.facebook.com/rosannapansino
Twitter: http://www.twitter.com/RosannaPansino
Instagram: http://instagram.com/rosannapansino
Snapchat: rosannapansino
Website: http://www.RosannaPansino.com
--------------------------------------------------------------------------
I hope you enjoy today's #vlog! What other #food should I make in my #silicone Diamond Play Button Mold?
xoxo Ro",Rosanna Pansino,26,760256,40985,1843,0,9903,US,8/7/2018
1,No8-mBek3rs,All Sports Golf Battle 3 | Dude Perfect,2018-08-06T21:57:09.000Z,UCRijo3ddMTht_IHyNSNXpNQ,"Time for round 3 of the best kind of golf... All Sports Golf!
Special Thanks to Bass Pro Shops for Sponsoring this video!
► Click HERE to check out Big Cedar Golf: http://bit.ly/GolfBigCedar
 
► Click HERE to subscribe to Dude Perfect! http://bit.ly/SubDudePerfect

Music by Citizen Way - Wave Walker
► Click HERE to download: http://dudeperfect.com/WaveWalker

► Click HERE to watch our most recent videos! http://bit.ly/NewestDudePerfectVideos
http://bit.ly/NewestDPVideos

► SHOP our NEW Merchandise! - http://bit.ly/DPStore
►Click HERE to join the exclusive Dude Perfect T-Shirt Club! http://bit.ly/DPTShirtClub

Play our NEW iPhone game!
► PLAY Endless Ducker on iPhone -- http://smarturl.it/EndlessDucker
► PLAY Endless Ducker on Android -- http://smarturl.it/EndlessDucker

► VISIT our NEW STORE - http://bit.ly/DPStore
► JOIN our NEWSLETTER - http://bit.ly/DPNewsletterEndCard
► WATCH our STEREOTYPES - http://bit.ly/StereotypesPlaylist

In between videos we hang out with you guys on Instagram, Snapchat, Twitter, and Facebook so pick your favorite one and hang with us there too!

http://Instagram.com/DudePerfect
http://bit.ly/DudePerfectSnapchat
http://Twitter.com/DudePerfect
http://Facebook.com/DudePerfect

Do you have a GO BIG mindset? 
See for yourself in our book ""Go Big."" 
►http://amzn.to/OYdZ2s

A special thanks to those of you who play our iPhone Games and read our book. You guys are amazing and all the great things you tell us about the game and the book make those projects so worthwhile for us! 

Dude Perfect GAME - http://smarturl.it/DPGameiPhone
Dude Perfect BOOK - ""Go Big"" - http://amzn.to/OYdZ2s

Click here if you want to learn more about Dude Perfect:
http://www.dudeperfect.com/blog-2/

Bonus points if you're still reading this! 
Comment: all sports golf 4 should have the editors in it!!

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it. Noggin. 
- Dude Perfect",Dude Perfect,17,7578068,294382,5188,0,20674,US,8/7/2018
2,QppRgOxZuSU,Keanu Reeves Watches His 1980s Coca-Cola Commercial,2018-08-07T08:35:01.000Z,UCJ0uqCI0Vqr2Rrt1HseGirg,"James asks Keanu Reeves about his 1980s Coca-Cola commercial and learns that Keanu went rather method, shaving his legs for the big role, and James surprises Keanu by rolling the clip.

More Late Late Show:
Subscribe: http://bit.ly/CordenYouTube
Watch Full Episodes: http://bit.ly/1ENyPw4
Facebook: http://on.fb.me/19PIHLC
Twitter: http://bit.ly/1Iv0q6k
Instagram: http://bit.ly/latelategram

Watch The Late Late Show with James Corden weeknights at 12:35 AM ET/11:35 PM CT. Only on CBS.

Get new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B

---
Each week night, THE LATE LATE SHOW with JAMES CORDEN throws the ultimate late night after party with a mix of celebrity guests, edgy musical acts, games and sketches. Corden differentiates his show by offering viewers a peek behind-the-scenes into the green room, bringing all of his guests out at once and lending his musical and acting talents to various sketches. Additionally, bandleader Reggie Watts and the house band provide original, improvised music throughout the show. Since Corden took the reigns as host in March 2015, he has quickly become known for generating buzzworthy viral videos, such as Carpool Karaoke.""",The Late Late Show with James Corden,24,340730,7435,145,0,698,US,8/7/2018
3,0VM02XNrJwI,Stephen A.: Warriors have nothing to worry about with Lakers | First Take | ESPN,2018-08-07T16:32:39.000Z,UCiWLfSweyRNmLpgEHekhoAg,"Stephen A. Smith and Max Kellerman react to Golden State Warriors star Stephen Curry saying facing Los Angeles Lakers “should be fun.” 

✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC
✔ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV

ESPN on Social Media:
► Follow on Twitter: http://www.twitter.com/espn
► Like on Facebook: http://www.facebook.com/espn
► Follow on Instagram: http://www.instagram.com/espn

Visit ESPN on YouTube to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, NHL, MLB, NBA, College Football, NCAA Basketball, soccer and more. 

More on ESPN.com: http://www.espn.com",ESPN,17,379913,3921,381,0,2186,US,8/7/2018
4,AFJPFfnzZ7w,"[MV] 이달의 소녀 (LOONA) ""favOriTe""",2018-08-07T09:00:00.000Z,UCOJplhB0wGQWv9OuRmMT-4g,"[MV] 이달의 소녀 (LOOΠΔ) ""favOriTe""

LOOΠΔ was designed to be at its maximum potential when LOOΠΔ 1/3, LOOΠΔ / ODD EYE CIRCLE, LOOΠΔ / yyxy, and YeoJin combine.

At its maximum power for the first time, LOOΠΔ's lead single 'favOriTe' declares the signature sound of LOOΠΔ at its complete form.

#이달의소녀 #LOONA #MV #BlockBerry #BlockBerryCreative

More about LOOΠΔ/

iTunes : https://itunes.apple.com/us/album/favorite-single/1423049627
Amazon Music : https://www.amazon.com/dp/B07G8481NM/

LOOΠΔ Official : http://www.loonatheworld.com
LOOΠΔ Instagram : https://www.instagram.com/loonatheworld/
LOOΠΔ Twitter : https://twitter.com/loonatheworld
LOOΠΔ Facebook : https://www.facebook.com/loonatheworld/
LOOΠΔ Official Korean Fan Cafe : http://cafe.daum.net/loonatheworld

Copyrights 2018 ⓒ BlockBerryCreative. All Rights Reserved.",loonatheworld,24,1084467,136936,5048,0,30322,US,8/7/2018
5,cIxzmr9sid4,NBA 2K19 - Take the Crown,2018-08-07T15:06:40.000Z,UCYAJjqIukwm4r3GHEpJDhVw,"To be the best, you have to take down the king. Watch the first official footage of NBA 2K19, featuring music from hip-hop artist Jay Rock. Pre Order now: www.nba.2k.com/2k19/buy/",NBA 2K,17,215840,8096,776,0,1948,US,8/7/2018
6,T3bKoti8ygI,Liza Koshy Answers the Web's Most Searched Questions | WIRED,2018-08-06T16:00:49.000Z,UCftwRNsjfRo08xYE31tkiyw,"Liza Koshy takes the WIRED Autocomplete Interview and answers the internet's most searched questions about herself. Did Liza Koshy get tattoos? Is Liza Koshy vegan? How does Liza do her eyebrows? Everything you ever wanted to know about Liza Koshy is answered right here! Maybe!

You can catch Liza now in all eight episodes of her new original scripted comedy 'Liza On Demand' on YouTube Premium and as the host of 'Double Dare' on Nickelodeon!

Still haven’t subscribed to WIRED on YouTube? ►► http://wrd.cm/15fP7B7 


ABOUT WIRED
WIRED is where tomorrow is realized. Through thought-provoking stories and videos, WIRED explores the future of business, innovation, and culture.

Liza Koshy Answers the Web's Most Searched Questions | WIRED",WIRED,22,3490565,187027,6874,0,9871,US,8/7/2018
7,c0RLD4gJnIs,Jimmy Kimmel Interviews Bachelorette Becca & Fiancé Garrett,2018-08-07T04:38:41.000Z,UCa6vGFO9ty8v5KZJXQxdhaw,"The Bachelorette Becca Kufrin and her new fiancé Garrett Yrigoyen talk about their engagement, her break up with Blake, and they reveal things they've learned about each other in the last few months.

Mark Hamill is Jealous of Harrison Ford’s Star Wars Memorabilia https://youtu.be/5zbrndS1Deg 
 
SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe
 
Watch Mean Tweets: http://bit.ly/KimmelMT10
 
Connect with Jimmy Kimmel Live Online:
 
Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel on FACEBOOK: http://bit.ly/KimmelFB
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow @JimmyKimmel on TWITTER: http://bit.ly/KimmelTW
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram
 
About Jimmy Kimmel Live:
 
Jimmy Kimmel serves as host and executive producer of Emmy-winning ""Jimmy Kimmel Live,"" ABC's late-night talk show.

""Jimmy Kimmel Live"" is well known for its huge viral video successes with 5.6 billion views on YouTube alone.
Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.
Now in its sixteenth season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.

Jimmy Kimmel Interviews Bachelorette Becca & Fiancé Garrett
https://youtu.be/c0RLD4gJnIs",Jimmy Kimmel Live,24,303150,2324,293,0,502,US,8/7/2018
8,WSPdP0iUZaQ,Stranger Things' Finn Wolfhard Has His Own Vinyl Album,2018-08-07T10:00:05.000Z,UC8-Th83bH_thdKZDJCrn88g,"Finn Wolfhard talks about his Vancouver rock band, Calpurnia, and Jimmy adds to his growing vinyl collection with a special addition.

Subscribe NOW to The Tonight Show Starring Jimmy Fallon: http://bit.ly/1nwT1aN

Watch The Tonight Show Starring Jimmy Fallon Weeknights 11:35/10:35c
Get more Jimmy Fallon: 
Follow Jimmy: http://Twitter.com/JimmyFallon
Like Jimmy: https://Facebook.com/JimmyFallon

Get more The Tonight Show Starring Jimmy Fallon: 
Follow The Tonight Show: http://Twitter.com/FallonTonight
Like The Tonight Show: https://Facebook.com/FallonTonight
The Tonight Show Tumblr: http://fallontonight.tumblr.com/

Get more NBC: 
NBC YouTube: http://bit.ly/1dM1qBH
Like NBC: http://Facebook.com/NBC
Follow NBC: http://Twitter.com/NBC
NBC Tumblr: http://nbctv.tumblr.com/
NBC Google+: https://plus.google.com/+NBC/posts

The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous games, and, of course, Jimmy's Thank You Notes and hashtags! You'll also find behind the scenes videos and other great web exclusives.

Stranger Things' Finn Wolfhard Has His Own Vinyl Album
http://www.youtube.com/fallontonight

#FallonTonight
#FinnWolfhard
#JimmyFallon",The Tonight Show Starring Jimmy Fallon,23,125788,6783,66,0,541,US,8/7/2018
9,VYWf5YqFx48,Man On Cruise Finds Dog On Deserted Island and Rescues Her | The Dodo,2018-08-06T20:00:00.000Z,UCINb0wqPz-A0dV9nARjJlOQ,"Man On Cruise Finds Dog Stranded On Deserted Island | This guy was on a cruise when he saw a dog stranded on a deserted island and knew he had to save her. To help David and Negrita support more shelters, you can supply Play For Strays with an item from their Amazon Wishlist: https://thedo.do/plays. Follow them on Facebook for updates on their travels:  https://www.facebook.com/PlayforStrays/. 

Love Animals? Subscribe: http://thedo.do/2tv6Ocd

Follow The Dodo:
Tweet with us on Twitter: https://thedo.do/2Jast1M
Howl with us on Musical.ly: https://thedo.do/2qFkbGT
Take a peek at our Snapchat: http://thedo.do/2gkVhsz
¿Hablas español?: https://thedo.do/2Hcg24s
Love our Instagram: http://thedo.do/2agAEce
Like us on Facebook: http://thedo.do/1dJ9lmn
Read more on our site: http://thedo.do/KWDoNt

For the love of animals. Pass it on.
#thedodo #animals #dog #cat #kitten #puppy",The Dodo,15,474122,29697,207,0,2452,US,8/7/2018
