,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,lgEk3Niie1E,GRiNGO x 6IX9INE - ZKITTLEZ |GIGI| (PROD.GOLDFINGER) [Official Music Video],2018-08-02T18:30:27.000Z,UCxIc_NmsGMv4AsTo-mV4Hdg,"► ""SKITTLEZ"" Kaufen & Streamen: https://slsmusic.lnk.to/Gringo_6ix9ine_Zkittlez
► Spotify: https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

Abonniert den Kanal um nichts zu verpassen und folgt uns auf:  

Folgt Gringo: 
► https://facebook.com/44Gringo 
► http://instagram.com/44gringo
► https://twitter.com/GRiNGO030
► https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

6IX9INE:
► https://www.instagram.com/6ix9ine

Folgt SLS Music: 
► http://instagram.com/sls030
► https://twitter.com/SLSMUSIC1

Goldfinger:
► http://instagram.com/goldfinger030 
► https://www.facebook.com/Goldfinger030/

► Musicprod.: SLS
► Recording Studio: @truebusyness Studios Berlin (Saschabusy)
► Master: Volker IDR Gebhardt
► Video: www.fati.tv
► Regie: SLS & MOMO.CH
► Creative Directors & Videoproduktion: Nader Hijazi von 5BROTHERS: https://www.instagram.com/5ivebrothers & 
Allan Anders: https://www.instagram.com/alld1fferent
► Drohnen Operator: Traviez The Director
► Kamera Assistenten: @mircorosik,@dieserbobby
► VideoFX: mdepict/@themmg & www.fati.tv
► Cover: mdepict / @themmg
► SLS 3D Animation: @Sinedgfx

Dank an: 5BROTHERS,SOF BERLIN,ADIDAS,WEGA PERFORMANCE,CLEANORADDICTED,UND AN GANZ NEUKÖLLN BERLIN...

ANFRAGEN, BOOKING, PRESSE: slsmusic@outlook.de

SLS © 2018",SLS MUSIC,10,2219124,147546,7317,0,13486,AT,8/4/2018
1,qKvCP_3xCIE,Capital Bra feat. Juju - Melodien (prod. The Cratez),2018-08-02T22:00:06.000Z,UCMHWpfahk3Kt8Us28Jg51nw,"►Bushido Channel abonnieren:  http://ytb.li/Bushido
►""Melodien"" streamen: http://capitalbra.fty.li/Melodien
►""Mythos"" vorbestellen:  http://bushido.fty.li/Mythos
►Capital Bra Social Media: http://capitalbra.fty.li/social
►Juju Social Media: http://juju.fty.li/social

Hier das Video zur neuen Single von Capital Bra und Juju - Melodien!
Teilt das Video, kommentiert es und gebt einen Daumen hoch. Um nichts zu verpassen, checkt http://www.kingbushido.tv und Bushidos YouTube-Kanal, den ihr hier abonnieren könnt: http://ytb.li/Bushido

Folgt, liked und besucht Bushido, Samra & Capital Bra außerdem in allen gängigen Sozialen Netzwerken:

► Bushido:
http://bushido.fty.li/social

► Samra:
http://samra.fty.li/social

► Capital Bra:
http://capitalbra.fty.li/social

Wenn euch das Video gefallen hat, gebt einen Daumen hoch dafür, teilt es mit euren Freunden und schreibt eure Meinung in die Kommentare.",BUSHIDO,10,4189177,279080,20578,0,29718,AT,8/4/2018
2,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,30900176,1710366,53254,0,170704,AT,8/4/2018
3,TxnJoF9qmkA,Leon Machère - Copacabana 🌴☀️ (Official Video),2018-07-27T10:01:43.000Z,UCk-ERvn9_tUjg7e8Bn921gA,"Song überall erhältlich!
Spotify: http://goo.gl/Lgzc31
iTunes, Google Play, Amazon: http://hyperurl.co/ro4pwl

Booking: business@st4rsmedia.com

Music produced by Stard Ova 
http://www.instagram.com/stard_ova
Co-Produced by Kaluma

Leon Instagram:  https://instagram.com/LeonMachere
Snapchat:             Leonmachere01
Facebook:            https://fb.com/LeonMachere1


Wenn euch das Video gefallen hat, gebt einen Daumen hoch dafür und Teilt es gerne mit euren Freunden. 
Ich würde mich über Eure Meinung in den Kommis freuen.  
Für mehr einfach abonnieren, Danke! 
https://www.youtube.com/LeonMachere",Leon Machère,10,3233709,163700,53014,0,35712,AT,8/4/2018
4,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,42921276,1394791,85590,0,118750,AT,8/4/2018
5,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,116043472,2557094,339023,0,293404,AT,8/4/2018
6,LpSVy2IdmGE,SEVERINA feat. JALA BRAT - M.A.G.I.J.A. (OFFICIAL VIDEO),2018-08-02T09:55:14.000Z,UC_vH8DvvkrMB3D69NBdjLnQ,"☆ Subscribe Severina YouTube channel ► https://goo.gl/QNLWsB ↩︎


➤ Instagram: https://instagram.com/severina

➤ Facebook: https://facebook.com/severina/

➤ Twitter: https://twitter.com/severina____

➤ Site: http://www.severina.com

➤ Shop: *soon*
--------------------

➤Download:

iTunes: *soon*

Google play: https://goo.gl/77n5t5

Amazon: *soon*


➤Listen:

Deezer: https://goo.gl/AXMNDj

Tidal: https://goo.gl/cqTH2z

Spotify: https://goo.gl/fn4QWU
--------------------

SEVERINA feat. JALA BRAT - MAGIJA

➣Glazba: Jala brat, Buba Corelli
➣Tekst: Jala brat, Buba Corelli
➣Aranžman: RimDa
➣Mix & Mastering: KC Blaze


DIRECTOR & CHOREOGRAPHER
Anže Škrube

DIRECTOR OF PHOTOGRAPHY
Miloš Srdić

EDITOR 
Colby Cote

PRODUCTION COMPANY
Supermarket Production 

PRODUCER
Ven Jemersic

CO-PRODUCER
Maestro Creatives 

ASSISTANT DIRECTOR
Nina Tratnik

ASSISTANT CHOREOGRAPHER
Armel Ngungunanga

PRODUCTION ASSISTANT
Polona Natlačen

ASSISTANT EDITOR
Jared Barrel

CAMERA ASSISTANT
Luka Podobnikar

GAFFER/GRIP
Luka Stopar

2nd CAMERA OPERATOR
Boško Timotijević

STEADY CAMERA OPERATOR
Aljoša Korenčan

SET DESIGN
Luka Slavic

COSTUME DESIGN FOR SEVERINA
Petar Trbović

MAKE UP & HAIR FOR SEVERINA
Dajana Pajkić
Martin Posavec

COSTUME DESIGN 
Erik Maj Potočnik 
Matjaž Plošinjak 


COSTUME DESIGN ASSISTANTS 
Maja Lempl Nukič
Urban Haber


MAKE UP 
Tanja Vojnovic for MUD 

MAKE UP ASSISTANTS
Zoja Prokopovic
Kristina Klemenčič
Katja Duh
Tanita Seifert

STUDIO & TECH
Studio Arkadena

COLOR & VFX
Scissor Films 

_____


DANCERS

Jordan Likiyo
Mamadou Bathily
Marko Stamenkovic
Miha Furlan
Armel Ngungunanga
Johnny Vongratsavai
Maria Laura Savio
Martina Vuletić
Tina Walme
Jeannette Gonzalez
Leja Mesec
Eva Mauricio
Tjaša Leban 
Reya Rosalie 

MODELS
Patricija Bernjak for IMMORTAL
Gašper Gmajner
Martina Vuletić

SPECIAL GUEST
Simon Bandog for SRCE ZA BULLE
--------------------

TEKST:

Gledam, k'o da sam sama
Do znanja mu dajem
Da smo jedno k'o mrak i tama
I da sam na sve spremna

A ja bi' da se napijem 
'ajde samo sipaj mali
Na vratu mu Cartier
Iza leđa vandali

On, ne nije naivan, naime sve je gluma
Vrelina Kaira, skrenut ću s uma
Tijelo bi savila kao ni jedna druga
Tebi za ljubav i kraljica i sluga


ref.
I nije da se boji ali nema kontrole
Da odoli kad obline sakrijem pod tole (*pantalone)
Ma koga to folira, on je komiran
I sve emocije donira samo da ne bole

A to mora da je magija bebo
A to mora da je magija bebo
Magija bebo


Otvori prozor na kant(e)
Na tebi se sve topi kao na lavi santa
Koga ne bi opilo, ubilo kao blunt
Tvoja pozadina malo reci interesantna

A ti nikad skulirana naa naa
Pun gas kao da  si tjunirana naa naa

A ti nikad skulirana naa naa
Pun gas kao da  si tjunirana naa naa

I hajde reci gdje’š stim očima zelenim k'o lovor
U noći blještim i dalje nisam dobar sa zorom
Radi me prestiž radim joj ono što ne bi mor'o
K'o da je fetiš ti skinem novi model Diorov

Leti visoko a njen novi moto je YOLO 
pete visoke svaki novi model Manolov 
Ouu baby it's okay we ballin' like Tony Manolo 
We be ballin'

ref.
I nije da se boji al nema kontrola
Da odoli kad obline sakrijem pod tole
Ma koga folira, on je komiran
I sve emocije donira samo da ne bole

A to mora da je magija bebo
A to mora da je magija bebo
Magija bebo

A ja bi' da se napijem 
'ajde samo sipaj mali
Na vratu mu Cartier
Iza leđa vandali

Ja bi' da se napijem, napijem, napijem
Ja bi' da se napijem, napijem, napijem
 
------------------

Zabranjeno je svako kopiranje video i/ili audio snimaka i postavljanje na druge kanale! 
Copying, re-uploading and illegally distributing this copyrighted work is strictly prohibited! ©",Severina,10,1755580,47928,4440,0,3802,AT,8/4/2018
7,lq20YQh0hjg,Andreas Gabalier verhaftet bei Polizeikontrolle | Verstehen Sie Spaß?,2018-07-28T10:00:05.000Z,UCCpJyQTVvVU_qw92UpOaNRw,"Andreas Gabalier wird  bei einer Fahrzeugkontrolle gestoppt und bekommt mächtig Ärger mit der Polizei. Da helfen auch seine Flirtversuche mit der hübschen Polizistin nichts.

► Abonniere uns hier: http://www.bit.ly/vsspass

Dies ist der offizielle Kanal zur Sendung ""Verstehen Sie Spaß?"".
Hier findet ihr alle Clips der vergangenen Sendungen und alle brandaktuellen Videos unserer neusten Shows. Auf dem Programm sind zahlreiche Filme mit der versteckten Kamera, darunter Streiche, bei denen auch Prominente die eine oder andere Überraschung erleben dürften, und natürlich Interviews mit unseren Star-Gästen! Schaut doch einfach rein:
""Der hat's verdient"" -Videos // Interviews mit unseren Lockvögeln und Opfern // Streiche mit Euch auf der Straße oder unseren Promis.

Folgt uns:
Facebook: http://www.facebook.com/vsspass
Instagram: https://www.instagram.com/vsspass/
Twitter: http://www.twitter.com/vsspass
Homepage: http://www.verstehen-sie-spass.de

Für Volksrocknroller Andreas Gabalier sind Polizisten eigentlich nie ein Problem, so charmant, wie er ist. Aber diese Fahrzeugkontrolle in Tirol hat es in sich - keine Papiere, keine Gnade. Vor allem nicht, als die Tochter vom Polizisten kein gutes Haar an Andreas lässt und ein neugieriger Paparazzo mit der Polizei gemeinsame Sache macht. Wie Andreas da wohl wieder herauskommt? Oder klicken am Ende sogar die Handschellen, weil der Sänger verhaftet wird?",Verstehen Sie Spaß?,24,804640,15717,886,0,961,AT,8/4/2018
8,OQfLvlZGYFM,David Guetta ft Anne-Marie - Don't Leave Me Alone (Lyric Video),2018-07-26T16:00:21.000Z,UC1l7wYrva1qCH-wgqcHaaRg,"BUY/LISTEN: https://guetta.co/dontleavemealone
🔔 Subscribe to be notified for new videos ➡️ http://bit.ly/GuettaYouTube 🔔 
⚠️ Vote David Guetta # 1 on DJ Mag TOP 100 DJ : http://bit.ly/GuettaMag2018

Director: Michael Robertson
Production: Toon53 Productions
(P) & (C) 2018 What A Music Ltd, Under Exclusive Licence to Parlophone/Warner Music France, a Warner Music Group Company

David Guetta feat Anne-Marie - Don’t Leave Me Alone
(David Guetta, Noonie Bao, Linus Wiklund, Sarah Aarons)
Produced by David Guetta & Lotus IV
Additional production by Timofey Reznikov & Albert Harvey (GLOWINTHEDARK)
Mixed & mastered by Serban Ghenea at MixStar Studios, Virginia Beach, VA
Engineered by John Hanes
All Instruments and Programming by Lotus IV, David Guetta, Timofey Reznikov & Albert Harvey
Backing vocals by Noonie Bao & Sarah Aarons
Publishers: JackBack Publishing Ltd, admin by Write Here Music (SACEM) and Shapiro Bernstein (ASCAP); EMI Blackwood Music Inc. (BMI) o/b/o EMI Music Publishing Scandinavia AB (STIM); Lurpi Songs AB, admin by Songs of Kobalt Music Publishing (AMRA); Sony/ATV Music Publishing Allegro (AUS) P/L
Anne-Marie appears courtesy of Major Toms/Asylum Records UK, a division of Warner Music UK Limited
(P) & (C) 2018 What A Music Ltd, Under Exclusive Licence to Parlophone/Warner Music France, a Warner Music Group Company

Follow David Guetta:
http://www.davidguetta.com
http://facebook.com/DavidGuetta
http://www.twitter.com/DavidGuetta
http://www.instagram.com/davidguetta",David Guetta,10,8253400,224549,5567,0,4951,AT,8/4/2018
9,AAYtH9aLBZo,... Jetzt wird's ernst. DISS gegen .. ? 😈,2018-08-01T11:00:00.000Z,UCpZ_DI-ZugwMzXcqccaTVsg,"SONNTAG - 05.08.2018
13 UHR
DΛGI B. - DISS",Dagi Bee,26,1190395,40843,17512,0,6758,AT,8/4/2018
