,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,lgEk3Niie1E,GRiNGO x 6IX9INE - ZKITTLEZ |GIGI| (PROD.GOLDFINGER) [Official Music Video],2018-08-02T18:30:27.000Z,UCxIc_NmsGMv4AsTo-mV4Hdg,"► ""SKITTLEZ"" Kaufen & Streamen: https://slsmusic.lnk.to/Gringo_6ix9ine_Zkittlez
► Spotify: https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

Abonniert den Kanal um nichts zu verpassen und folgt uns auf:  

Folgt Gringo: 
► https://facebook.com/44Gringo 
► http://instagram.com/44gringo
► https://twitter.com/GRiNGO030
► https://open.spotify.com/user/ais1egq5y4oldtv0nteu83xpi/playlist/67zaXBEXMmVocHdmwK8YsP?si=daWXFByMTR653v7p37gysw

6IX9INE:
► https://www.instagram.com/6ix9ine

Folgt SLS Music: 
► http://instagram.com/sls030
► https://twitter.com/SLSMUSIC1

Goldfinger:
► http://instagram.com/goldfinger030 
► https://www.facebook.com/Goldfinger030/

► Musicprod.: SLS
► Recording Studio: @truebusyness Studios Berlin (Saschabusy)
► Master: Volker IDR Gebhardt
► Video: www.fati.tv
► Regie: SLS & MOMO.CH
► Creative Directors & Videoproduktion: Nader Hijazi von 5BROTHERS: https://www.instagram.com/5ivebrothers & 
Allan Anders: https://www.instagram.com/alld1fferent
► Drohnen Operator: Traviez The Director
► Kamera Assistenten: @mircorosik,@dieserbobby
► VideoFX: mdepict/@themmg & www.fati.tv
► Cover: mdepict / @themmg
► SLS 3D Animation: @Sinedgfx

Dank an: 5BROTHERS,SOF BERLIN,ADIDAS,WEGA PERFORMANCE,CLEANORADDICTED,UND AN GANZ NEUKÖLLN BERLIN...

ANFRAGEN, BOOKING, PRESSE: slsmusic@outlook.de

SLS © 2018",SLS MUSIC,10,1475851,120540,4676,0,10785,CH,8/3/2018
1,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,19557705,1257356,34644,0,136632,CH,8/3/2018
2,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,109475074,2494202,329408,0,286585,CH,8/3/2018
3,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,39451443,1361322,82651,0,116588,CH,8/3/2018
4,6JmrZDZGVH0,Rim'K - Air Max ft. Ninho,2018-07-25T14:00:01.000Z,UCmfHNhKwopCTBX53Ud3kwLw,"Rim’K, nouveau single ‘’Air Max’’ feat. Ninho, disponible ici : http://rimk.lnk.to/AirMax 

Album « MUTANT » sortie le 21 septembre 2018

Album Fantôme toujours disponible : http://rimk.lnk.to/FantomeAlbum 

Shop : https://rimshop.fr/ 

Retrouvez Rim’K sur: 
Facebook: https://www.facebook.com/rimkofficiel 
Twitter: https://twitter.com/rimkofficiel 
Instagram: https://instagram.com/rimkofficiel",RimKVEVO,10,8741955,127612,5534,0,4293,CH,8/3/2018
5,qKvCP_3xCIE,Capital Bra feat. Juju - Melodien (prod. The Cratez),2018-08-02T22:00:06.000Z,UCMHWpfahk3Kt8Us28Jg51nw,"►Bushido Channel abonnieren:  http://ytb.li/Bushido
►""Melodien"" streamen: http://capitalbra.fty.li/Melodien
►""Mythos"" vorbestellen:  http://bushido.fty.li/Mythos
►Capital Bra Social Media: http://capitalbra.fty.li/social
►Juju Social Media: http://juju.fty.li/social

Hier das Video zur neuen Single von Capital Bra und Juju - Melodien!
Teilt das Video, kommentiert es und gebt einen Daumen hoch. Um nichts zu verpassen, checkt http://www.kingbushido.tv und Bushidos YouTube-Kanal, den ihr hier abonnieren könnt: http://ytb.li/Bushido

Folgt, liked und besucht Bushido, Samra & Capital Bra außerdem in allen gängigen Sozialen Netzwerken:

► Bushido:
http://bushido.fty.li/social

► Samra:
http://samra.fty.li/social

► Capital Bra:
http://capitalbra.fty.li/social

Wenn euch das Video gefallen hat, gebt einen Daumen hoch dafür, teilt es mit euren Freunden und schreibt eure Meinung in die Kommentare.",BUSHIDO,10,2903712,242216,17486,0,26348,CH,8/3/2018
6,4sLMo9YJpDQ,"POUR COMBIEN TU... ? (ft. Vodk, Mastu, Neoxi)",2018-08-02T17:00:00.000Z,UCgvqvBoSHB1ctlyyhoHrGwQ,"Pour combien tu... ? TÉLÉCHARGEZ LE JEU ! :
SUR ANDROID : https://bit.ly/pour-combien-android
SUR iOS : https://bit.ly/pour-combien-ios

DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays",Amixem,23,1419313,105337,1770,0,4340,CH,8/3/2018
7,qJZy8zy0Uy0,Moha La Squale - Luna,2018-07-29T16:00:08.000Z,UCVkQ-P3Oh2cH7SYX104U8OQ,"1er album ""Bendero"" disponible ici : https://mohalasquale.lnk.to/benderoAY
-
Écoute tous les titres de Moha La Squale ici : https://mohalasquale.lnk.to/playlistAY
-
Abonne-toi à la chaine: https://WMF.lnk.to/MohaAY
-
Facebook: https://www.facebook.com/mohalasquale 
Instagram: https://www.instagram.com/mohalasquale 
Snapchat 👻 : mohalasquale",Moha La Squale,10,3857197,126343,4589,0,4893,CH,8/3/2018
8,1DhA69K3fZ4,"Shakira, Maluma - Clandestino (Official Video)",2018-07-27T13:00:00.000Z,UCGnjeahCJW1AF34HBmQTJ-Q,"Disfruta de nuestro nuevo Video Oficial! ""Clandestino""

Enjoy our new Official Video! ""Clandestino""

Deja tu comentario!
Leave your comment!


Clandestino:

iTunes: http://smarturl.it/ClandestinoiT 
Apple Music: http://smarturl.it/ClandestinoA  
Spotify: http://smarturl.it/ClandestinoS 
Amazon Music: http://smarturl.it/ClandestinoAm 
Google Play: http://smarturl.it/ClandestinoGP 
¡Elige tu plataforma de preferencia!: https://SML.lnk.to/Clandestino 

Shakira: 
http://www.shakira.com 
Facebook: http://www.facebook.com/shakira 
Twitter: http://www.twitter.com/shakira 
Instagram: http://www.instagram.com/shakira

Maluma: 
http://www.malumamusik.com 
Facebook: http://www.facebook.com/MALUMAMUSIK 
Twitter: http://www.twitter.com/maluma 
Instagram: http://www.instagram.com/malumaoficial 
YouTube: http://www.youtube.com/user/MalumaVEVO


Official Music Video by Shakira & Maluma ""Clandestino"" (C) 2018 Sony Music Entertainment US Latin LLC",shakiraVEVO,10,27471990,511677,32498,0,36362,CH,8/3/2018
9,xLCn88bfW1o,VENOM - Official Trailer 2 (HD),2018-07-31T13:00:12.000Z,UCz97F7dMxBNOfGYu3rx8aCw,"The world has enough superheroes. Watch the new #Venom trailer now. 10.5.18.

One of Marvel's most enigmatic, complex and badass characters comes to the big screen, starring Academy Award® nominated actor Tom Hardy as the lethal protector Venom. 

Subscribe to Sony Pictures for exclusive content: http://bit.ly/SonyPicsSubscribe 

Follow VENOM on Social: 
https://www.facebook.com/VenomMovie/ 
https://twitter.com/VenomMovie 
https://www.instagram.com/venommovie/

Cast:
Tom Hardy
Michelle Williams
Riz Ahmed
Scott Haze
Reid Scott",Sony Pictures Entertainment,24,23578739,539486,18569,0,74104,CH,8/3/2018
