,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,MgeaN_zvjbM,KAN SØSTRE SPILLE FODBOLD?,2018-08-03T08:00:01.000Z,UC0fYrApbPm4VQPHnkJqVSfg,"I dag har jeg søstrene Dahl med. Hvor gode er de til fodbold?
►Rebecca YouTube: https://www.youtube.com/user/imbec11
►Josefine YouTube: https://bit.ly/2yNeprS
►Snapchat: Brianmengel
►Instagram: https://www.instagram.com/brianbrizze/
►YouTube: https://www.youtube.com/user/BrianMengel
►Facebook: https://www.facebook.com/brianmengelbrizze/",Brian Mengel Brizze,17,70741,3192,59,0,189,DK,8/4/2018
1,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,30900176,1710400,53257,0,170709,DK,8/4/2018
2,kxloC1MKTpg,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo",2018-07-27T17:00:03.000Z,UCrFB54bqp8sda4udJyNswlA,"""No Brainer"" available at http://smarturl.it/NoBrainerDJK

DJ Khaled online: 
https://twitter.com/djkhaled
https://www.instagram.com/djkhaled/
https://www.facebook.com/officialdjkhaled/

(C) 2018 Epic Records, a division of Sony Music Entertainment",DJKhaledVEVO,10,42921276,1394797,85590,0,118750,DK,8/4/2018
3,7UAWbPp6S_4,Albert Dyrlund - Venner For Livet [Official Video],2018-08-03T12:03:03.000Z,UCznHpvvkhi2QxAJnMRU-0jg,"Husk at sætte sangen på jeres playlister på Spotify:  https://albertdyrlund.lnk.to/VennerForLivet


►INSTAGRAM: AlbertDyrlund
►SNAPCHAT: AlbertDyr

Kontakt: 
►MAIL: Albertbusiness@splay.tv
►FACEBOOK: https://www.facebook.com/albert.dyrlundjensen

Mest efterspurgte spørgsmål:

Hvor gammel er du? 
- 19 år, har fødselsdag d. 10/10

Lever du af YouTube?
- Ja jeg laver Youtube på fuldtid. Så ville blive mega glad hvis du ville tjekke nogle af mine videoer ud! 

Hvilket kamera bruger du? 
- Sony a6500",Albert Dyrlund,24,83995,3051,751,0,629,DK,8/4/2018
4,linB7C5TmCs,25 Tattoo Artists Reveal Their Craziest Client Stories | INKED Talk,2018-07-27T16:15:00.000Z,UC-AqLLFKh8QoCsXaPAg4aRQ,"25 top tattoo artists share their craziest client stories from SWAT team busts to strange tattoos in strange places.

#TattooArtist #MeganMassacre #Storytime

WEBSITE: http://www.inkedmag.com/
FACEBOOK: https://www.facebook.com/inkedmag
TWITTER: https://twitter.com/inkedmag
INSTAGRAM: https://www.instagram.com/inkedmag/",Inked,22,3466109,65566,1710,0,3010,DK,8/4/2018
5,DqOeauWX2jU,NOOB vs PRO vs HACKER in Slither.io,2018-07-25T14:35:50.000Z,UC_qVvdPdMIZDEc6zdj06ilA,"If you enjoyed my video please Comment, Smash that Like button, Subscribe and Share. I Love You All.

Twitter : https://twitter.com/SmashYoutube2

Facebook : https://www.facebook.com/Smash-140676209608870/

Instagram : https://www.instagram.com/smashhere/

Voice from 0:10 to 0:19 and from 0:28 to 0:46 is taken from ""SLITHER.IO LOGIC (Cartoon Animation)"" https://www.youtube.com/watch?v=9TDgcTtFaNc
Also from: https://www.youtube.com/channel/UCcBDDGP59a8SCzYLA_lCkuw

Songs:
Kevin MacLeod - Investigations
Kevin MacLeod - In the Hall of the Mountain King
Kevin MacLeod - Run Amok

KUURO - Possession [Monstercat Release]
https://www.youtube.com/watch?v=01_aV8b-B_s

[Trap] - Pegboard Nerds - BADBOI [Monstercat FREE Release]
https://www.youtube.com/watch?v=v372aagNItc

Dirtyphonics & Bassnectar - Watch Out (feat. Ragga Twins) [Monstercat Release]
https://www.youtube.com/watch?v=xmnt0GZmorg

Goblins from Mars - King Taco
https://www.youtube.com/watch?v=PtbYI8bC3Rk",Smash,20,8491445,188436,17391,0,8119,DK,8/4/2018
6,q1TPazkaAZw,Hvem skal være med i Klassen? | Del 3 | Ultra,2018-07-30T04:00:01.000Z,UCKE8HAIVrpixOsQsAqQ_PZQ,"Hvis du kunne lide videoen, så giv den meget gerne et like. Det hjælper os rigtig meget! :)

Du kan abonnere på Ultras YouTube-kanal ved at trykke her: http://www.youtube.com/channel/UCKE8HAIVrpixOsQsAqQ_PZQ?sub_confirmation=1

Her på kanalen kan du finde en helt masse videoer, klip og bidder fra Ultra, men husk at du altid kan kigge forbi www.dr.dk/ultra/tv og se en masse af programmerne i fuld længde! 

Husk at tale pænt. Profilen her modereres efter DRs regler for god opførsel på DRs sociale profiler. Du kan læse dem her: http://www.dr.dk/om-dr/regler-god-opfoersel-paa-drs-sociale-profiler.",DR Ultra,24,128752,1029,86,0,66,DK,8/4/2018
7,OsAU02RiFac,Top 10 Convicts Who Freaked Out After Given A Life Sentence,2018-07-20T20:00:04.000Z,UCBINYCmwE29fBXCpUI8DgTA,"Top 10 Convicts Who Freaked Out After Given A Life Sentence
Subscribe To MostAmazingTop10: http://bit.ly/2Ibyk6i

There are a lot of criminals who commit horrible and evil crimes. So, when it is time to face their verdicts, a lot of these criminals have different intense reactions to their sentencing. So here are the top 10 convicts who freak out after given a life sentence. 

*NEW* MOST AMAZING INSTAGRAM- 
https://www.instagram.com/mostamazingofficial/

Most Amazing Top 10 Merch:
https://shop.bbtv.com/collections/most-amazing

For Business Inquiries Contact: mostamazingtop10@gmail.com

Check Out Our Recent Videos- 
https://www.youtube.com/watch?v=LWjWEg6PXeI&list=PL532nVurngGurLZQ8vUjfybxIrwZRNGnC

Most Popular Videos- 
https://www.youtube.com/watch?v=ViI45BjBug8&list=PL532nVurngGsDmfoDM3dj-O3hWlkLNCud

FOLLOW US ON SOCIAL MEDIA

Facebook Fan Page- 
https://www.facebook.com/MostAmazingTop10Videos/

Instagram-
http://instagram.com/landonproductions

CHANNEL PRODUCER: 
Landon Dowlatsingh- https://www.instagram.com/landonproductions/

VIDEO EDITED BY:
Lucy McPhee @LucyMcPhee

PRODUCED BY: 
Liam Collens

POST PRODUCTION:
Theresa Morozovitch",MostAmazingTop10,27,7149247,62428,18863,0,18121,DK,8/4/2018
8,xLCn88bfW1o,VENOM - Official Trailer 2 (HD),2018-07-31T13:00:12.000Z,UCz97F7dMxBNOfGYu3rx8aCw,"The world has enough superheroes. Watch the new #Venom trailer now. 10.5.18.

One of Marvel's most enigmatic, complex and badass characters comes to the big screen, starring Academy Award® nominated actor Tom Hardy as the lethal protector Venom. 

Subscribe to Sony Pictures for exclusive content: http://bit.ly/SonyPicsSubscribe 

Follow VENOM on Social: 
https://www.facebook.com/VenomMovie/ 
https://twitter.com/VenomMovie 
https://www.instagram.com/venommovie/

Cast:
Tom Hardy
Michelle Williams
Riz Ahmed
Scott Haze
Reid Scott",Sony Pictures Entertainment,24,25055503,553922,19369,0,75984,DK,8/4/2018
9,V_MXGdSBbAI,"6ix9ine, Nicki Minaj, Murda Beatz - “FEFE” (Official Music Video)",2018-07-22T19:23:55.000Z,UCF6jRAgCbSanHolKt0Vt6Qw,"6ix9ine, Nicki Minaj and Murda Beatz - FEFE (Official Music Video)
Stream: https://6ix9ine.lnk.to/FEFE

Directed by TrifeDrew & William Asher of Figure Eight Creative Group 
Also Directed by 6ix9ine
Instagram: @Trifedrew & @William_Asher

STREAM FEFE: https://6ix9ine.lnk.to/fefe

Nicki Minaj appears courtesy of Young Money / Cash Money Records. Murda Beatz appears courtesy of Interscope Records.

Engineered by Big Juice & Wizard Lee Mastered by Wizard Lee",Tekashi 6ix9ine,10,116043472,2557104,339025,0,293404,DK,8/4/2018
