,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,DRS_PpOrUZ4,Drake - In My Feelings,2018-08-03T01:00:00.000Z,UCQznUf1SjfDqx65hX3zRDiA,"In My Feelings (Official Video)
‘Scorpion’ Available Here: https://drake.lnk.to/ScorpionYD

A FILM BY
KARENA EVANS

A POPP ROK PRODUCTION

EXECUTIVE PRODUCERS
DIRECTOR X
TAJ CRITCHLOW
FULIANE PETIKYAN

HEAD OF PRODUCTION
ADAM PALMER

PRODUCER
AUTUMN HYMES

COORDINATOR - POPP ROK
DEAN ROSEN

STARRING
DRAKE
PHYLICIA RASHAD
LA LA ANTHONY
SHIGGY
CAPITO & MARLEY

DIRECTOR OF PHOTOGRAPHY
SANTIAGO GONZALEZ

EDITOR
KAT WEBBER

CHOREOGRAPHER & MOVEMENT COACH
TANISHA SCOTT

COLOURIST - ALTER EGO
CLINTON HOMUTH

SOUND DESIGN & MIXING - APOLLO STUDIOS
ETHAN MYERS

2ND UNIT DOP
JORDAN ORAM

1ST AD
EVRARD SALOMON
JAMAR HAWKINS

2ND AD
CLYDE GOINS
BEN COLLINGSWORTH

LOCATIONS MANAGER
JULIANA ZANON
BARBARA BREVES

PRODUCTION SUPERVISOR
KENIA GUTIERREZ

PRODUCTION COORDINATOR
COLLIER MEYER

CASTING - BOK CREATIVE
TAREK & CHAD

LOGISTICS MANAGER
CHRISTOPHER “BROKER” FAGON

A CAM - 1ST AC
RILEY KEATON
GABBY VELASCO
PAOLO ARRIOLA

A CAM - 2ND AC
ADRIENNE DURAZO
TAYLOR PERRY

B CAM OPERATOR
CHRISTIAN SCHULTZ
MICHEL APPLEBAUM

B CAM - 1ST AC
LISA LENGYEL
ADAM LIPSCOMB

B CAM - 2ND AC
HAI LE
SUPER 8MM
KARENA EVANS
KAT WEBBER

VTR
CHRIS GAMBLE

DIT
STUART HAMMOND
PAUL RAHFIELD

SOUND
BJ LEHN

BOOM OPERATOR
BRIAN MARATEA

GAFFER
JIM COVERT

BEST BOY ELECTRIC
TRAVIS BARNHART

ELECTRIC
MASON MCGUIRE
TIM JONES
RICHARD LANDRY
REMOTE HEAD
DOUG PRUSS
CRANE TECHNICIAN
RICHARD HOOVER
DANIEL WAGHORNE

GRIP
COY URSIN
MARCUS VARNADORE

PRODUCTION DESIGNER
JOHN RICHOUX

ART DIRECTOR
JONATHAN CAPPEL

SET DECORATOR
LEAH BYCHURCH

LEADMAN
TONY ZIEGLER

KEY GRIP
CALVIN URSIN JR,

BEST BOY GRIP
MIKE BONNETT

DRAKE’S STYLIST
MELLANY SANCHEZ

DRAKE’S GROOMING
LUISA DURAN

ASSISTANT CHOREOGRAPHER
JAZZ JOHNSON-ZUCCONI

ASSISTANT PRODUCTION SUPERVISOR
IAN MENZIES
RACHEL SIGUR

ASSISTANT EDITOR
ANNA CATLEY

ASSISTANT COLOURIST
KEVIN WU

WARDROBE STYLIST
KASEY BAZIL
BRYON HAVAR

WARDROBE ASSISTANT
TIERRA PATTERSON
BRANDON WASHINGTON
LAKEISHA SHIELDS
HARLAN ANTHONY

HMU
DAVID VALESQUEZ
ROKAEL’S LIZAMA
RAY DODSON
ROBERT SARGSYAN
RENE RAMOS

HMU ASSISTANT
NOELIA RODRIGUEZ

GENIE
JOSE RIVERA

DANCERS
SORAYA LUNDY
CHRISTINA DE LA CRUZ
KENDRA JAE BRACY
TANESHA “KSYN” CASON
LATOYA WEBLEY
CHRISTINA KIM DAVIS
CIERRA NICHOLS
MARIAH HILLIARD
ROBERT WILSON
JEREMIAH HAYNES
RON MYLES
MARCUS TAYLOR
SATCHEL JOHNSON
LAUREN BLESS JONES
KOBE JONES
ASHLEY STEVENSON
DAVID RAYFORD
IMAN MARSHALL
STEPHEN DUY PHAM
DAMIAN GORDON
GIANNI REID
GABRIELLE SLACK
POLANCO JONES JR
RONNIE DENTS II
TROY PAYNE
SHANGOBUNMI DUROTIMI
NAILAH SMITH

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

Music video by Drake performing In My Feelings. © 2018 Young Money Entertainment/Cash Money Records

http://vevo.ly/pu5gFd",DrakeVEVO,10,19557705,1257462,34646,0,136696,FR,8/3/2018
1,4sLMo9YJpDQ,"POUR COMBIEN TU... ? (ft. Vodk, Mastu, Neoxi)",2018-08-02T17:00:00.000Z,UCgvqvBoSHB1ctlyyhoHrGwQ,"Pour combien tu... ? TÉLÉCHARGEZ LE JEU ! :
SUR ANDROID : https://bit.ly/pour-combien-android
SUR iOS : https://bit.ly/pour-combien-ios

DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays",Amixem,23,1419313,105337,1770,0,4340,FR,8/3/2018
2,2RdVnRoW2d8,RK - 24 Carats,2018-08-03T16:00:00.000Z,UCI52wnSYTIq4MtV7_5X-stw,"RK - 24 Carats 💎

Morceau disponible en streaming : https://rk.lnk.to/24Carats

Réalisation : William Thomas 
Produit par : 3.5.7 MUSIC
Prod by : Dayzer Beat

Retrouvez RK sur :
Facebook : Rk_officiel 
Instagram : rkofficiel_77
Twitter : @Rk_Officiel77

ABONNEZ - VOUS A LA CHAINE POUR LES PROCHAINES EXCLUS DE MON PREMIER PROJET QUI ARRIVE CET AUTOMNE !

https://www.youtube.com/channel/UCI52wnSYTIq4MtV7_5X-stw",RK OFFICIEL,10,228464,23486,407,0,2113,FR,8/3/2018
3,5RwmIUVB3jU,La curieuse vidéo de Booba avant la bagarre - ZAPPING ACTU DU 03/08/2018,2018-08-03T14:00:01.000Z,UCGxU0geTBrKh4VpbXFGF_jg,"Abonnez-vous ici : https://www.youtube.com/channel/UCru8dCR1C-I9W2wIZw7ZlIA?sub_confirmation=1

L'avocat du rappeur français Kaaris a évoqué ce vendredi sur notre antenne l'existence d'une nouvelle vidéo, filmée par une fan de Kaaris juste avant la bagarre qui a eu lieu mercredi entre Booba et Kaaris à l'aéroport d'Orly. Sa défense a déclaré qu'elle allait fournir aux juges cette vidéo Snapchat qui tendrait à laisser envisager que Booba avait prémédité des violences contre Kaaris.

Diffusées sur notre antenne, ces images que des fans de Kaaris ont envoyées ce vendredi matin au rappeur et à son avocat montrent  Booba en train de déclarer à une fan: ""C'est la garde à vue qui m'attend"".",Ça Zap !,24,269595,1170,349,0,486,FR,8/3/2018
4,Jq7JfjKuCpk,TRÔNE DES FROGZ S2E2 : LE JUGEMENT,2018-08-03T16:00:03.000Z,UCJruTcTs7Gn2Tk7YC-ENeHQ,"Les Frogz sont une des nombreuses familles de nobles qui souhaitent atteindre le trône de fer, mais ce qui les différencie des autres c'est… qu'ils sont vraiment très nuls.  
 
""Le trône des Frogz"" est une série parodique de "" Game of thrones "" filmée à la manière d'un Mocumentaire (faux documentaire parodique comme "" Parks and recréations "" ou "" The Office ""). 

--------------------------

AIME-NOUS : ""http://www.facebook.com/goldenmoustache ""
Notre Twitter : ""http://www.twitter.com/goldenmoustache"" 
Notre YouTube : ""http://www.youtube.com/goldenmoustachevideo"" 
Notre Dailymotion : ""http://www.dailymotion.com/GoldenMoustache"" 
Notre Instagram : ""http://www.instagram.com/goldenmoustacheoff""
Notre Snapchat : ""http://www.snapchat.com/add/goldenmousnap""

--------------------------

Scénario et dialogues : Yacine Belhousse, avec la participation de François Descraques
Réalisation : Yacine Belhousse et David Tabourier 

Avec :
Baptiste Lecaplain 
Aude Gogny-Goubert 
Dedo 
Nicolas Berno 

Thomas VDB
Julien Josselin 
Antoine Schoumsky
Bérangère Krief
Julien Schmidt 
Stephen Cafiero 
Marine Baousson 
Emilie Hamm
Justine Le Pottier 
Jonathan Cardonnel 
Aurélien Préveaux 
Fabien Houssaye 

Figurants :
Eric Grosset, Basile Théoleyre, Baptiste Gobert, Sigfrido Rivera, Johann Garcia, Sophie-Marie Larrouy, Sandra Dupoux, Laurène Arnoux, Paloma Felix, Philippe Pasquini, Edouard Lamoitier, Thomas Grunewald, Sébastien Brumaud 


Production : Raphaël Rocher, Adrien Labastire 
Produit par Pierre-Louis Arnal 
Image : David Tabourier 
1ère assistante réalisateur : Julie Gobiet 
Scripte : Louise Albon
Ingénieur du son : Florent Simon 
Assistante son : Solange Barnezet
Régisseur : Vincent Krauze 
Assistant régie adjoint : Gaspard Choron 
Aide plateau : Milo Djurovic
 Accessoiriste : Dork Alayan 
Costumiers : Marion Moules, Matthieu Camblor 
Habilleuse : Mathilde Perrussel 
Maquilleuse : Marjolaine Vialle 
Electriciens : Richard Valentini, Mathieu Morhain
Machinistes : Xavier Schanen, Colin Guerre 
Rippeurs : Teo Maidon, Maxime Fourmond, Kader Seghiri, Emmanuel Moutier
Chauffeur : Miodrag Ivovic 
Direction des productions : Henri Debeurme 
Production exécutive : Bastien de Roberts, Christelle Delmas 
Direction de production : Jérémy Bidaud 
Chargée de production : Anna Dessuant 
Administration de production : Djamila Rahou, Sylvain Simeone
Assistante de production : Evelyne Quesnel
Stagiaire production : Maxime Pontois 
Direction de la création : Benjamin Ferel 

Musique originale : Julien Bellanger 
Musique préexistante : A-Music Audionetwork 

Assistant de post-production : Boris Bonnaure 
Montage : Fabrice Caudron, Rémy Argaud 
Assistant montage : Guillaume Namur, Clément Marouzé 
Etalonnage : Florian Jarry 
Truquage : Moddmaker, Antoine Behaeghel 
Graphisme : Fugu Productions 
Mixage : La Sonderie 
Laboratoire : Ln&Cie 

Technique : Eliote, Dcaudiovisuel, Puzzle Vidéo, Ciné Lumières Paris, Logifilm, TSF, France Cars, Le Vestiaire, Maratier, Gusto Dei, CTN Groupe, Rubini&Associés, Shutterstock.co

Producteurs délégués : Empreinte et Golden Moustache - GM6 
Adrien Labastire et Pierre-Louis Arnal - Laurent Avucci et Astrid Bordeloup-Hauschild
Pour Comédie +, Dailymotion et Télé Loisirs 

Avec le soutien du Centre National de la Cinématographie et de l'Image Animée (Web Co-sip)

Remerciements :
Erick Meurice, Charlotte Peuchot, Iris Rossiquet, Paul Faivren, Luis Lagren, Camille Maucler, Elise Phelip, Thomas Reneux, Emilie Aubert, Ismail Amraoui, Ghislain Costa Gliola, Fabien Jargeais, Audrey Joubert, Alexandre Tourkia, Steeve Fremont, Bastien Bouland, Lionel André, Antoine Belorgey, Bertrand Davasse, Bruno Muschio, Raphaël Descraques, Damien Maric, Valentin Vincent, Stefan Carlod, Le Studio Théâtre de Stains, Tom Hunaut, François-David et Jonathan Cardonnel pour leur chorégraphie à l'épée 

Equipe Golden Moustache 
Responsable de Golden Moustache : Younes Nemiche
Directeur artistique : Anis Rhali
Directeur des Productions : Jérémy Bidaud 
Responsable de Production : Charlotte Thomas 
Administrateurs de Production : Christophe Genre
Chargée de Post-Production : Chloé Pischedda
Stagiaire post-production : Laura Figueiredo

Vignette : Alexandre Breton 


©GM6 - GOLDEN MOUSTACHE / Août 2018",Golden Moustache,23,169446,13300,67,0,435,FR,8/3/2018
5,olud34U7O4U,Les images de la bagarre entre Booba et Kaaris à Orly,2018-08-02T07:40:00.000Z,UC1ObaaFz4XHVPN2T5IFsU4w,"Les extraits de deux vidéos diffusées sur Twitter montrent l'extrême violence de l'affrontement entre Booba et Kaaris, mercredi 1er août, dans l'aéroport d'Orly. Leur bagarre a entraîné des légers retards de vols, la fermeture temporaire d'un hall, ainsi que des dégradations dans une boutique duty free. Interpellés, les deux rappeurs se trouvaient toujours en garde à vue ce jeudi matin.",L'Obs,25,258827,1034,393,0,1055,FR,8/3/2018
6,y89Vq-X53fA,SOUS CONTRÔLE,2018-08-03T10:00:10.000Z,UCGfys_ojj4e-oN0adNX6siw,"Suis moi sur Instagram : https://www.instagram.com/leperave/
Twitter : https://twitter.com/leperave
Facebook : https://www.facebook.com/leperave/

Merci à EA Games d'avoir sponsorisé cette vidéo
Pour jouer aux Sims 4 Saisons : http://x.ea.com/48930

Réalisation -  Garence Sanders
Directrice de Production - Camille Selosse
Chargé de Production - Maxime Pontois
Chef Opérateur du son - Kevin Gomes Dos Santos
Montage - Eliott Doyle
Effets spéciaux - Antoine Behaeghel (Mood Maker)
Stagiaire de production - Valentine Atanazio
Maquilleuse - Emilie Bak
Régisseur - Antonin Davit

Déferlement d'amour sur Mcfly & Carlito, mes deux guests sûrs. L'emoji coeur.
https://www.youtube.com/channel/UCDPK_MTu3uTUFJXRVcTJcEw",Le Pérave,23,170484,16705,331,0,593,FR,8/3/2018
7,Qz8BmU8NPJk,Bagarre entre Booba et Kaaris: ce qu'il s'est passé à l'aéroport d'Orly,2018-08-01T16:05:21.000Z,UCXwDLMDV86ldKoFVc_g8P0g,Une violente bagarre entre les rappeurs Booba et Kaaris dans le hall 1 de l'aéroport d'Orly a entraîné de nombreux retards de vols.,BFMTV,25,759606,5747,905,0,2618,FR,8/3/2018
8,3N-oXtp7Xns,LPDV#174 LE FILET À MENTON,2018-08-03T16:00:00.000Z,UCJ_ws2NVb4WMov2edZ6HCiw,"HAUTE DEFINISSEZ MOI ET LISEZ LA BARRE Y A PAS QUE DU CODE PROMO DEDANS!

SI TOI AUSSI TU PENSES QUE C'EST NAZE ABONNE TOI 

BONJOUR BONJOUR!
Aujourd'hui on se retrouve pour une vidéo où on va tester un produit plus que chelou! 
Alors utile ou pas? 

VOS COMMENTAIRES/
Cette vidéo est une vidéo pré filmé je suis actuellement en vacances sur les routes américaines! 
Je ne pourrai donc pas être présente dans les commentaires! 
Mais on se retrouve très vite à mon retour.


L' OBJET  /
Trouvé sur amazon.com

CEUX QUI NE M'AIMENT PAS?
Vous étiez plus de j'en sais rien! 
Je suis en vacance en road trip bébé donc pas le temps de voir si tu m'aimes ou pas! 
Love & baaaaam

LES BAMEURS/
Comme vous savez je suis en vacances donc je n'ai pas pu regardé tous vos commentaires! 
Mais je suis sure que vous avez explosé les pouces rouges! 
Baaam & love

LES PETITS PLUS DE LA VIDEO :
MON MAKEUP/
Yeux: Nada juste du recourbage de cils
Mon teint : Blush doll face TARTE et bronzer butter bronze PHYSICIAN FORMULA
Mes lèvres : Baume à lèvres BADGER'S
Mon haut : Chemise aeropostale 2017 (taille M)
Mon vernis : birthday suit SALLY HANSEN 
Bijoux : Alliance Princess PANDORA
Collier coeur cadeau d'anniversaire de Néo
Boucles d'oreille anneaux 6mm or et puce oreille or
Petits coeur cream de la marque J&CO Jewelry
https://jcojewellery.com
Montre : Montre APPLE WATCH edition 2 rose gold 
Musique : Epidemic sound

JE SUIS AUSSI SUR LES RESEAUX SOCIAUX /
VENEZ ON EST PLEIN!

LE PETIT NOUVEAU /
SNAPCHAT : eimadolly ( oui c'est super original)
Si tu veux suivre le neo : theneousa

MON FAVORIS /
INSTAGRAM: http://instagram.com/eimadolly

CELUI QUI TE REND ACCRO /
PINTEREST : https://fr.pinterest.com/Eimadolly/

CELUI QUE TU AS... PARCE QUE TOUT LE MONDE A /
TWITTER: https://twitter.com/eimadolly

TU VEUX BOSSER AVEC MOI PARCE QUE T'ES UN PRO /
eima.d@hotmail.fr
UNIQUEMENT LES PROS JE NE REPONDRAI PAS AUX AUTRES MESSAGES.",Eimadolly,26,50235,3263,99,0,284,FR,8/3/2018
9,d-JBBNg8YKs,Travis Scott - SICKO MODE (Audio),2018-08-03T04:01:00.000Z,UClRx3MMyYUyqOxyEqA5F2nQ,"ASTROWORLD available at  http://smarturl.it/ASTROWORLD 

Travis Scott online: 
https://twitter.com/trvisXX 
https://www.instagram.com/travisscott/ 
https://soundcloud.com/travisscott-2 
https://www.facebook.com/travisscottlaflame 
https://travisscott.com/ 

(C) 2018 Epic Records, a division of Sony Music Entertainment

http://vevo.ly/qaYjdY",TravisScottVEVO,10,2531698,119071,3131,0,8866,FR,8/3/2018
