,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,h-sGM1oV0n8,【神回】語彙力最強の3歳児が録音した音声だけでピザ注文するとこうなるｗｗｗｗｗｗｗ,2018-08-05T10:16:11.000Z,UCPyNsNSTUtywkekbDdCA_8Q,"チャンネル登録切実にお願い致します。

事案パーカー、ビッグバンパーカーなどのグッズはこちら↓
https://uuum.skiyaki.net/hanao-channel/item/latest?category_id=1


◆はなおチャンネル→https://www.youtube.com/channel/UCPyNsNSTUtywkekbDdCA_8Q

◆サブチャンネルはこっち
https://www.youtube.com/channel/UCYeEDmOpvEtnKM6KSSqC4UA

ツイッターフォローお願いします(^^)
◆はなおのtwitter→@hanao87_0 
URLはココ→https://twitter.com/hanao87_0




↓↓オススメ動画↓↓



・大学生が本気出して地球何周したか計算してみた。
https://youtu.be/j7yoAzQ1PuA

・ヲタクはリア充サークルに入れるのか？
https://youtu.be/vukzlL1yKPY



・周りの全員が突然意味不明な言語で話しはじめたらどう反応するかドッキリ！
https://youtu.be/lCSsXsOQAfI

・赤ちゃんに微分教えてみた
https://youtu.be/bKvJ8FSQzRs


★でんがん、はなお愛用のオハエリスメンテンTシャツ・パーカーはこちらから！
◆https://www.ttrinity.jp/shop/hanao/


どうもおはえりすめんてんはなおです！
オールジャンル系Youtuber。基本的にはやってみた系、受験系、ドッキリあたりがメインですが料理動画、実況動画にもそろそろ挑戦したい今日この頃。。
特に受験を頑張ってきた身として受験生の応援には力を入れてます！全国の高校、大学受験生の皆さんにはぜひチェックしていただきたいです＼(^o^)／



チャンネル登録者1000000人突破!!      したいです。",はなお,22,391221,42691,605,0,4965,JP,8/5/2018
1,DgL2cBwfQ7s,FULL | U23 VIỆT NAM vs U23 OMAN | GIẢI BÓNG ĐÁ QUỐC TẾ U23 CUP VINAPHONE | VFF Channel,2018-08-05T15:13:48.000Z,UCndcERoL9eG-XNljgUk1Gag,"VFF Channel | TRỰC TIẾP | U23 VIỆT NAM vs U23 OMAN | GIẢI BÓNG ĐÁ QUỐC TẾ U23 CUP VINAPHONE | VFF Channel

* Đơn vị chủ quản: Liên đoàn Bóng đá Việt Nam  - VFF
* Link truy cập: https://www.youtube.com/VFFChannel
* Email: liendoanbongdavff@gmail.com",VFF Channel,17,2145653,11982,845,0,486,JP,8/5/2018
2,J9lxaiDqKZQ,【心霊】霊媒師が認める本当に怖い心霊スポットで映った。,2018-08-05T10:00:02.000Z,UCibEhpu5HP45-w7Bq1ZIulw,"間違いなく雰囲気・気配・起こる現象すべてにおいて過去最恐でした。
今まであった心霊現象の一部も動画にまとめたのでご覧ください。

二代目のチャンネルもよろしく！
☆Fischer's-セカンダリ-
■https://goo.gl/QgBhjD

☆チャンネル登録よろしくね！
■https://goo.gl/lSy9St

☆Ｔシャツ、パーカーなどのフィッシャーズグッズはこちら！
ワンポイントパーカー&トレーナー
■http://bit.ly/2pdgURz
定番のロゴパーカー＆Tシャツ
■https://uuum.skiyaki.net/fischers

☆リーダー、シルクロードのツイッター
■https://twitter.com/RytoSle2
↓フィッシャーズ公式アカウントは下へ↓

①霊視したらやはり憑いていた。
https://www.youtube.com/watch?v=yoifqJm8C8Q&t=205s

②やばい音がなる心霊スポット
https://www.youtube.com/watch?v=XD-u62CjB5Q&t=290s

【Fischer's-フィッシャーズ-】
出来そうで出来なさそう、くだらない事、好きなことをする…。
中学三年の頃、「楽しい」を動画にすることから始まった７人の思い出系ネットパフォーマー軍団です。
メンバーは7人[シルクロード] [ンダホ] [ダーマ] [ザカオ] [ぺけたん] [モトキ] [マサイ] 
―ウェブサイト・メンバー紹介
■http://fischers.web.fc2.com/

【Twitter】
―アップロード通知用アカウント
■https://twitter.com/FischersHome
―短編紹介用アカウント
■https://twitter.com/FischersMovies

【Facebook】
―アップロード通知+共有
■https://www.facebook.com/FischersHome

【Instagram】
―写真やその他の共有
■https://www.instagram.com/fischershome

【再生リスト】
―すべて表示(西暦別もあります)
■https://goo.gl/fB9HYY
―アップロード順
■https://goo.gl/TuFZ4W
―再生数順
■https://goo.gl/pw3hyy

【再生リスト(シリーズ)】
―Silk Room -シルクの部屋-
■https://goo.gl/JNiym6
―完全にオススメ動画
■https://goo.gl/Bjllqb
―鬼畜ドッキリ系
■https://goo.gl/RhWQcm
―大乱闘シリーズ
■https://goo.gl/zFt9WE
―都市伝説・心霊・ホラー！？
■https://goo.gl/M5HmGy
―スポーツ関連 Sports how to...etc
■https://goo.gl/2JNfRB

【再生リスト(その他)】
―コラボ動画
■https://goo.gl/3eNJiq
―タイアップ
■https://goo.gl/58E180
―ボンボンTVとその他
■https://goo.gl/EL8h0X
―ライブ配信
■https://goo.gl/wHPHxC

【音源・効果音使用元】様
―DOVA-SYNDROME
■http://dova-s.jp/
―効果音ラボ
■http://soundeffect-lab.info/
―甘茶の音楽工房
■http://amachamusic.chagasi.com/
―魔王魂
■http://maoudamashii.jokersounds.com/
―Epidemic Sound
■ http://www.epidemicsound.com

【一部の動画・静止画素材提供元】 
PIXTA

※動画によって使用していない場合がございます。

【お問い合わせ先について】
※1 業界の皆様・ご依頼の方々・その他ご相談がある方は、UUUMウェブサイトにある「サービス」からお願い致します。
※2 YouTubeメッセージ機能は、フィッシャーズでは利用していません。ご理解いただけると幸いです。

【サービスに関するお問い合わせ（UUUM）】
http://www.uuum.co.jp/",Fischer's-フィッシャーズ-,24,974437,30413,872,0,9854,JP,8/5/2018
3,aNtDFhGZdi4,辛さ20倍で悶絶？ゲーセンの親父たちと激辛早食いリレー対決！！！,2018-08-05T10:21:28.000Z,UCaminwG9MTO4sLYeC3s6udA,"アイビスの超お得なサービスの詳細はこちらの動画で！
https://www.youtube.com/watch?v=XyeGJmKbfTw

2ndチャンネルはこちら（グループ感強め）
https://www.youtube.com/channel/UCvc33FeURfaIN5M8x9wGVjQ

★チャンネル登録はこちら
https://www.youtube.com/channel/UCaminwG9MTO4sLYeC3s6udA?sub_confirmation=1

★ファンクラブできました！
https://yukichi.fc.vaz.tokyo

★ヒカルのゲーム実況チャンネル
https://www.youtube.com/user/kinnpatuhikaru

★ヒカルのTwitter
https://twitter.com/kinnpatuhikaru

★ヒカルまえす名人3人の共有Twitterはこちら
https://twitter.com/hikaru2nd1031

★ヒカルのインスタグラム
https://www.instagram.com/tadanokarisuma/

・VAZ公式HP
http://vaz.tokyo/",ヒカル（Hikaru）,24,263596,0,0,0,0,JP,8/5/2018
4,WuaugG1ROSw,『左に進むだけのゲーム』が閲覧注意レベルの恐怖だった,2018-08-05T08:00:01.000Z,UCPVr7clenPjpD7WNsSI3UBQ,"つぐのひ 閉ざされた未来 を実況プレイ　
チャンネル登録よろしくどうぞ！⇒　http://goo.gl/OZrD3u　
【コメント＆高評価頂けると嬉しいです】

つぐのひ⇒https://youtu.be/NcWTCAocHz0

◆レトルトツイッター⇒https://twitter.com/retokani
◆ニコニコでも活動中⇒http://www.nicovideo.jp/user/14930070
◆ニコニコチャンネル⇒http://ch.nicovideo.jp/retort

★スマホ＆短編集 再生リスト⇒http://qq1q.biz/o4XG
★実況part1集   再生リスト⇒http://qq1q.biz/o4Xo",レトルト,20,149847,4114,124,0,1133,JP,8/5/2018
5,mAepyxKJGMQ,【大食い】究極の晩ご飯 総重量約5.0㎏～鰆のおにぎり茶漬け＆究極のお味噌汁～,2018-08-04T11:00:02.000Z,UC1-4AnMxkLXLNL3-7UJ4KTQ,"ついに実現した夢のコラボ！
こんなに緊張したのもこんなに笑ったのも初めてっていうくら本当に楽しいコラボ撮影でした(#^^#)

↓(前編)かねこさんの動画↓
https://youtu.be/Io0lYeDU7Yk

今回、分量とかもとくにないので
こちらの概要欄の詳しいレシピはお休みさせていただきます(#^^#)

動画の中でどういった感じで作っているのかご確認いただければ幸いです(^^)

これまではファンとしてかねこさんの動画を見ていただけの僕が今回こうして僭越ながらコラボできたのも
ずっとこのチャンネルを見てくださった皆さんのおかげです！
いつも本当にありがとうございます(´；ω；`)

皆さんのおかげでかねこさんとお会いしたことで
僕自身の甘さであったり弱さであったり色んなことに気づかされました。
多くの刺激をうけて今回の愛知遠征から帰ってまいりましたので
今回の経験を無駄にすることなく心機一転精進してまいります！

今後とも応援していただければ大変嬉しいです！
まだまだ暑い日が続きますのでくれぐれもお身体は壊されぬよう水分補給、室内温度の管理されてくださいね(#^^#)

それでは本日も動画をご視聴いただきありがとうございます！


★盛り付け時の音楽★
楽曲制作：ヌビア(@nubiahistoria)


本日もご視聴いただきありがとうございました(#^^#)
TV、イベント出演その他仕事のご依頼は
 『(株)キューブエンターテイメント　マネジメント事業部』 まで
『アドレス』
info@cube-entertainment.co.jp
『リンク』
http://www.cube-entertainment.co.jp/

↓↓お手紙・その他全てのお荷物はこちらまでお願い致します!!↓↓
『宛先』
(株)キューブエンターテイメントマネジメント事業部　谷崎宛
『住所』
〒810-0001
福岡市中央区天神5-7-3福岡天神北ビル7階",/谷やん谷崎鷹人,24,538366,12337,749,0,1897,JP,8/5/2018
6,f9wZ7i0klhg,世界一面白い挨拶,2018-08-05T12:30:01.000Z,UC1uHbAbleaXjfegbmFV9TVQ,"ウマヅラビデオのセカンドチャンネル『ウマヅラのワキ毛チャンネル』へようこそ！！ちょっとでも面白いと思ったらチャンネル登録よろしく！！
☆メインチャンネル☆
https://t.co/siJxf6pTu5",ウマヅラのワキ毛チャンネル,23,35676,2927,45,0,720,JP,8/5/2018
7,uuDsG5GpB5U,富士山の湧き水で大量発生した『川魚』をスプーンで釣りまくる！,2018-08-05T11:48:50.000Z,UCaak9sggUeIBPOd8iK_BXcQ,"丸見え！楽しい！

☆セカンドチャンネル⇒https://www.youtube.com/channel/UCEAvwlv0ZtJrSsgaA2CewOw

☆ファンサイト
https://fanicon.net/fancommunities/51

☆Twitter⇒https://twitter.com/Kneko__

☆インスタグラム⇒https://www.instagram.com/kimagure.cook/?hl=ja

☆オリジナルグッズ⇒https://kiii.theshop.jp/

☆プレゼント、お手紙などの宛先はこちら
153-0042
東京都目黒区青葉台3-6-28
住友不動産青葉台タワー2F
「きまぐれクック」宛


☆お仕事の依頼等⇒kimagure_cook@kiii.co.jp 



☆https://www.youtube.com/channel/UCwJ0csCsSiievLHk3K0_IVw
こちらの『にしやんFishingClub』でも【かねこ】として出演しております！­­コチラもよろしくお願いします！

☆音源：http://dova-s.jp/",きまぐれクック,24,243852,3116,224,0,887,JP,8/5/2018
8,fZXyNyNfWQs,【北海道】ストップと言うまでイクラを盛り続けてくれるお店で爆食い！【はちきょう】,2018-08-05T10:00:23.000Z,UC-km1012mEUQQLGxggmrazw,"これぞ北海道と堪能した！って感じになれるお店！！

☆海味 はちきょう 別亭 おやじ 様
https://tabelog.com/hokkaido/A0101/A010103/1020854/

☆チャンネル登録おねがいします
http://www.youtube.com/user/haijimovie

☆はいじぃの【LINEスタンプ】
https://store.line.me/stickershop/product/1004770/ja

☆はいじぃのセカンドチャンネル
https://www.youtube.com/user/haijigame

■facebook　https://www.facebook.com/tomotake.haijima
■Twitter　   hai_g
■Instagram  hai_g
■ブログ http://blogs.yahoo.co.jp/haijima_blog

☆楽曲提供
【Asylum audio】さま
http://asylum-audio.com

ご視聴ありがとうございます！
はいじぃと申します。

体当たり企画やゆるゆるロケや、
この動画がみなさんの毎日の息抜きになればと思っています。

目指せチャンネル登録60万人！

#飯テロ #はいじぃ",はいじぃ迷作劇場,19,102635,1558,243,0,404,JP,8/5/2018
9,U-zdERKh18w,【緊急事態】遂に警察沙汰に…日韓カップルYouTuber、脅迫事件…【ゆりみん】,2018-08-04T13:54:45.000Z,UCgOfjIl0I_oG7VxIoaKaRsw,"急展開…遂に逃亡…

【今までの流れ】
深夜に大喧嘩で号泣…不倫相手も登場
https://www.youtube.com/watch?v=ULWVkP3k1qg
↓
ゆりにゃ遂に保護…直接本人と電話し引退発表…
https://www.youtube.com/watch?v=K3Xi8201ZqM

【チャンネル登録はこちら】
http://www.youtube.com/channel/UCgOfjIl0I_oG7VxIoaKaRsw?sub_confirmation=1

【サブチャンネル登録はこちら】
https://www.youtube.com/channel/UCPHChzs3MP7X5BXa1eBaz0g?sub_confirmation=1

【ツイッター　気軽にフォローしてね☆】
https://twitter.com/korekore19

【インスタグラム】
https://www.instagram.com/korekoretan/

-----------------------------
陰キャYouTuberコレコレです！
・主に生放送をメインに活動しています。
・可愛い女と炎上中のYouTuberには飛び付きます。
・あと勢いで入ったはじめしゃちょーファンクラブの解約方法が分からない…
-----------------------------

女子高生のスマホ検索履歴を見せてもらった結果やばすぎるｗｗ
https://www.youtube.com/watch?v=wn9GHjxzPuM

架空請求業者にわざと騙されコンビニまで振り込みに行ってみた
https://www.youtube.com/watch?v=H30MEuL1EFE&t=4s

タバコポイ捨て注意シリーズ
https://www.youtube.com/playlist?list=PLI94cgSdrxnbuI7wBQqBkRmbd17P-D_6h

音楽：魔王魂
効果音素材：ポケットサウンド",コレコレチャンネル KoreTube,24,925643,20735,1294,0,5770,JP,8/5/2018
