,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,7JUalc5gH7k,세상 모든 괴물들을 조종하는 지하조직,2018-08-03T07:30:00.000Z,UCBHXCaw_W6sxfgAB7rC-BYw,"영화 [캐빈인더우즈] 스토리텔링 리뷰영상입니다.
스포일러 및 결말이 포함된 영상이니 시청하실 때 주의해주시길 바랍니다.
감사합니다.

#영화 #캐빈인더우즈",소개해주는 남자,1,758473,4290,455,0,1368,KR,8/4/2018
1,rnC49MLIbUY,"도박중독 성형중독 ""아이셋 버겁다"" 폭풍오열... 치료 시급해 보이는 슈의 정신 상태",2018-08-03T05:13:52.000Z,UC3J4Xfo5S2dz4OyymYC_AoQ,단순히 도박문제가 아니어 보이는 슈의 환경...,활력소TV,24,1291271,2160,1122,0,2774,KR,8/4/2018
2,EECNAAf7XrY,학교 쉬는시간에 꼭 있는 친구 유형 6가지 ㅋㅋㅋㅋㅋ,2018-08-04T02:00:00.000Z,UCmzMtXrJgfCqA0rfhz8_P4A,"난 쉬는시간에 다음시간 숙제하거나 다른반 가는 형 ㅋㅋㅋ
개념유형은 뭔뎈ㅋㅋㅋㅋㅋㅋㅋ


월/목/토를 웃소와 함께! ▶ https://goo.gl/UnQQTU

[웃소 업로드 일정]
매주 월요일 / 목요일 / 토요일 여섯시에 여러분 폰 안으로 찾아갑니다~ 알람설정 꾹!

[웃소는?!]
웃소 채널은 함께 공감할 수 있는 유형별 공감 영상, 보드게임을 비롯한 다양한 게임 및 챌린지 등 함께 모여 왁자지껄 떠들며 즐기는 모든 웃음을 영상으로 담습니다! 뚜루뚯뚯 뚜뚜뚜루루~ 우~웃소!

[웃소 멤버들과 멤버들 유튜브 채널]
고탱 : http://youtube.com/gotengvideo
디투 : http://youtube.com/d2monstar
선바 : http://youtube.com/sunbaaking
성희 : https://goo.gl/adkpRd
우디 : http://www.youtube.com/SuperHDzzz
태훈: http://youtube.com/c/고태후니
해리 : https://www.instagram.com/blanc_seul/

웃소 Wootso
홈페이지 http://wootso.com
페이스북 http://facebook.com/wootsoteam
인스타그램 http://instagram.com/wootso",웃소 Wootso,23,373491,8665,176,0,5015,KR,8/4/2018
3,l5-3vOESkK8,과거에 제가 폭행했다고 주장하는 여자분을만나서 이야기해봤습니다..(슈인싸),2018-08-03T12:00:09.000Z,UCd4HNaFOZOkyipCoaoP9PvQ,"광고 문의 이메일: hwanshop93@naver.com
인스타: https://www.instagram.com/2_djae/    팔로우는 맞팔!
페이스북: https://www.facebook.com/leedjs2  팔로우는 친추검!
구독과 좋아요부탁드립니다!!
구독(알람 받아보실수있습니다)",이환,22,731645,0,0,0,8187,KR,8/4/2018
4,dXnBw6THJfU,"BRITISH PRIEST Reacts to ""GOD IS A WOMAN"" by Ariana Grande",2018-08-03T11:28:34.000Z,UCOgGAfSUy5LvEyVS_LF5kdw,"Father Chris sits down and watches the ""God is a woman"" music video by Ariana Grande 😳🙄

크리스 신부님이 아리아나 그란데의 ""하느님은 여자다"" 뮤직비디오를 보시게 됩니다...! 😳🙄


Written and Directed by Josh and Ollie
Producer/Editor: Grace Park
Producer/Editor/Translator: Hyemin Lim
Technical Director/Editor: Mike Kim
Editor/Translator: Sejun Lee",JOLLY,23,439240,12615,3255,0,6463,KR,8/4/2018
5,Iqq_LRKcw9s,🍜대한민국에서 가장 인기있는 라면은?? 🔥고민폭발 라면월드컵,2018-08-03T09:37:25.000Z,UChQ-VMvdGrYZxviQVMTJOHg,"----------------------------------------­­-----------
- 도티의 사생활 인스타 팔로우: https://goo.gl/gbwHli
- 구독하기 링크클릭!!: http://goo.gl/WwJshS
- 공식 팬카페 바로가기: http://cafe.ddotty.com
- 샌드박스 스토어 바로가기: https://goo.gl/zQGkvh
----------------------------------------­­-----------

* With Sandbox Network *

＊라면 월드컵 - 도티가 제일 좋아하는 라면은?

▶구독하기 & 영상 좋아요 버튼을 꼭꼭 눌러주세요 :D

▷게임 하러가기 : [http://www.piku.co.kr/w/1g7aqr]

----------------------------------------­­-----------
Hello Everyone!
Welcome to DDotty’s channel and just call me “DDotty”!
I’m recording and editing many gameplay videos by myself & my team,
like Minecraft, Clash Royale and other mobile games that I love to play.
Please have fun with my videos and if you like, subscribe my channel.
Every day is so special because of you and me!
Thank you!
----------------------------------------­­-----------
COPYRIGHT ⓒ 2018 DDOTTY ALL RIGHTS RESERVED.
----------------------------------------­­-----------",도티 TV,20,332689,9738,808,0,7053,KR,8/4/2018
6,JcI-ltoa1wg,이재명 부인 김혜경씨 “친형 이재명 정신병원 강제입원” 발언 추정 통화 녹취파일 공개,2018-08-04T01:17:36.000Z,UChRnJ6XdAANkCOJfmWSASgQ,"[법률방송뉴스] 이재명 경기도지사의 부인인 김혜경씨와 강제입원 의혹의 피해자로 알려진 이재선씨의 딸과의 통화로 보이는 음석 녹취파일이 공개됐다.

4일 SNS 상에는 김혜경씨와 조카의 통화 음성이라는 내용의 한 영상이 급속도로 확산되고 있다.",tv law,25,123201,704,122,0,926,KR,8/4/2018
7,CuCx-C_f69w,처음으로 생수샤워 완전 너무 더웠던 어제😭,2018-08-03T09:56:26.000Z,UCnXuSso6ypX2NVrl8_2TwfQ,,쌈바홍,22,131344,1312,61,0,385,KR,8/4/2018
8,6nJBp7sCVCE,무정자증인데 2명의 여자가 임신한 역대급 반전 ㄷㄷㄷ,2018-08-03T07:26:15.000Z,UCVrjcxLYqzqPHiSgofU5KTw,"진짜 대박 반전이네요

2편 후기 보기 http://pf.kakao.com/_nCrqC

본 영상은 제보후 수정 및 편집 작업이 이루어집니다",그 톡이 알고싶다,24,746706,3428,909,0,1904,KR,8/4/2018
9,x_d3CfGf_-Q,"""백두산 천지가 끓어오른다""..화산 폭발의 조짐 첫 공개 / SBS / 보이스V",2018-08-04T00:04:58.000Z,UCkinYTS9IHqOEwR1Sze2JTw,"사망자 159명, 실종자 256명. 지난 6월 푸에고 화산 폭발로 과테말라는 아비규환이 됐습니다.

화산재와 연기가 1만 미터 높이까지 솟구쳤고 뜨거운 용암이 흘러내리면서 주민 3천 2백여 명이 대피했습니다. 산을 타고 내려오는 시뻘건 용암은 재난 영화 속 장면과 다를 것이 없습니다.

영화에서만 볼 줄 알았던 화산 폭발이 우리 눈앞에서 일어난다면 어떨까요?

■ '살아 숨 쉬는 활화산' 백두산 천지에서는 무슨 일이 일어나고 있나?

실제로 한반도에는 아직 활동력이 있고 앞으로 폭발할 가능성이 있는 이른바 활화산이 남아 있습니다. 한반도에 살아 숨 쉬는 화산 중 전문가들이 가장 주목하는 활화산은 바로 백두산입니다.

최대 깊이 380m로 세계에서 가장 깊은 화산 호수인 백두산 천지. 천지의 수면은 한없이 고요하고 평화롭지만 물속의 상황은 좀 다릅니다.

지난 8월 첫날 백두산 천지의 또 다른 모습이 담긴 영상이 공개됐습니다. 중국이 물속 수십 미터 깊이까지 들어가 탐사작업을 하고 그 결과를 처음으로 공개한 건데요. 고요한 수면과 달리 천지의 물속에서는 수많은 공기 방울이 올라오고 있었습니다.

바위틈 구석구석에서도 하얀 기포가 뿜어져 나옵니다. 사실 이 공기 방울은 마그마 가스의 주성분인 이산화탄소입니다. 백두산이 지하에 활동하는 마그마를 갖고 있는 활화산이라는 증거이기도 하죠.

■ 2002년부터 들썩이는 백두산…수년간 계속된 화산 폭발의 조짐들

백두산이 폭발한 것은 지금부터 1072년 전인 946년입니다. 그때 생긴 구덩이에 물이 고여 호수가 된 것이 백두산 천지인데요.

지난 2016년에는 백두산 폭발이 유사 이래 가장 강한 화산 폭발이었다는 연구 결과가 발표됐습니다. 그전까지는 1815년 인도네시아 탐보라 화산 폭발이 가장 강력한 것으로 알려졌는데 이때보다 더 많은 황 가스가 백두산 폭발 당시 분출된 것으로 밝혀졌기 때문입니다.

그런데 2000년대 들어 백두산에 심상치 않은 움직임이 나타났습니다. 2002년부터 2009년까지 12cm 정도 융기했다가 가라앉은 백두산이 2015년 다시 들썩이기 시작했습니다.

섭씨 60도를 오르내리던 백두산 천지 주변 온천의 온도는 2015년 83도까지 오르며 뜨거워졌고 온천에서 채취한 화산 가스의 헬륨 농도는 일반 대기의 7배에 달했습니다. 여기에 크고 작은 지진까지 잇따르면서 전문가들은 백두산 분화 가능성을 제기해왔습니다.

■ 시뮬레이션했더니 끔찍한 결과가?…백두산이 폭발하면 위력은?

만약 백두산이 다시 폭발한다면 어떤 일이 일어나게 될까요? 946년 첫 폭발 당시 백두산의 화산재가 일본 홋카이도 지역에 5cm 넘게 쌓였다는 기록이 있습니다.

그 당시의 절반 정도 양의 황이 분출되는 상황을 시뮬레이션 해봤더니 하늘을 뒤덮은 화산 분출물로 인해 석 달 만에 북반구 평균기온은 0.5도까지 낮아졌습니다. 평균기온의 0.5도 하락은 굉장히 큰 기후변화를 의미합니다.

천여 년 전과 같은 규모로 폭발한다고 가정하면 그 결과는 더 끔찍합니다. 반경 60km 이내 지역은 순식간에 용암과 화산재에 파묻혀 쑥대밭이 되고 폭발 후 8시간이면 울릉도와 독도까지 화산재가 흩날리게 됩니다. 백두산 천지 아래에 있던 고밀도 이산화탄소가 대규모로 분출하면 인근 반경 50km 일대의 주민은 질식사 등 큰 피해를 입을 수도 있습니다.

실제로, 1986년 8월 21일 아프리카 카메룬에 위치한 칼데라호인 '니오스' 호수에서, 하룻밤 사이에 1700명이 사망하고 인근 동물이 모두 폐사하는 일이 있었습니다. 호수 밑에 있던 이산화탄소가 공기 중으로 방출되면서 반경 25km의 사람과 동물이 이산화탄소 중독으로 목숨을 잃은 겁니다.

화산 폭발의 조짐만으로는 폭발 여부, 폭발 시기를 단정할 수 없습니다. 하지만 그렇다고 해서 한 귀로 듣고 흘릴 문제는 아니라는 게 전문가들의 지적입니다.

수년간 발견된 화산 폭발의 조짐들. 어쩌면 백두산 폭발은 '설(說)'이 아닌 '현실'로 다가오고 있는지도 모릅니다.

※ SBS 뉴스의 오디오 특화 콘텐츠 '보이스'가 '보이스 V'라는 이름의 비디오 콘텐츠로 새롭게 단장해 여러분들을 찾아갑니다. 당신이 원하는 뉴스, 당신을 위한 비디오 콘텐츠. SBS 보이스 V.

(SBS 보이스 V)

#보이스V

▶ SBS NEWS 유튜브 채널 구독하기 : https://n.sbs.co.kr/youtube 

▶대한민국 뉴스리더 SBS◀ 
홈페이지: https://news.sbs.co.kr 
페이스북: https://www.facebook.com/sbs8news 
트위터: https://www.twitter.com/sbs8news",SBS 뉴스,25,341839,1922,183,0,2000,KR,8/4/2018
