,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,PTq4ABNXr1w,[BadComedian] - Фото на память (РУССКИЙ ПУНКТ НАЗНАЧЕНИЯ),2018-08-04T18:00:04.000Z,UC6cqazSR6CnVMClY0bJI0Lg,"Обзор русской версии фильма ПУНКТ НАЗНАЧЕНИЯ, фильм Фото на память
ПОДДЕРЖАТЬ СОЗДАНИЕ ОБЗОРОВ - http://TheBadComedian.ru/
========================
Группа ВК - http://vk.com/badcomedian 
Фан-сайт - http://badcomedian.su/
Страница FB - https://www.facebook.com/thebadcomedian
Твиттер - http://twitter.com/EvgenComedian
Инстаграм - http://instagram.com/evgenbad
===========================
Обзоры пишутся на камеру: 
SONY A7M3 
 https://www.sony.ru/electronics/interchangeable-lens-cameras/ilce-7m3-body-kit?cid=pr-eu-10345 

Используются объективы:
FE 12-24mm F4 G (https://www.sony.ru/electronics/obiektivy/sel1224g?cid=pr-eu-10345 )
 FE 100mm F2.8 STF GM OSS 
(https://www.sony.ru/electronics/cyber-shot-compact-cameras/dsc-rx100m5?cid=pr-eu-10346)
и старый добрый FE 4/24-70 (https://www.sony.ru/electronics/obiektivy/sel2470z?cid=pr-eu-10345)",BadComedian,23,830324,130605,717,0,9202,RU,8/4/2018
1,WujKJpxaUHk,Макс Корж - Горы по колено,2018-08-04T11:48:27.000Z,UCfE8WkiUqQZ_NLI-JOkGtFA,"Оператор: Андрей Светлов / https://vk.com/andrew_wander
Instagram Макса - http://instagram.com/MAXKORZHmus
Личная страница ВК - http://vk.com/maxkorzh_official
Паблик ВК - https://vk.com/maxkorzh
Слушать альбом ""Малый повзрослел ч.2"" в Apple Music: https://apple.co/2KqRy88
Слушать альбом в BOOM: https://vk.cc/8llTXA",respectproduct,10,663546,75823,1541,0,3911,RU,8/4/2018
2,nfXu1EulfT8,КАК ЖИВЁТ КОТ GUCCI. Врата Мории в квартире.,2018-08-04T11:00:06.000Z,UCLQTgW5IpinVwpkr3BA9GxQ,"https://ks-sculptor.ru/ - мастерская изобразительного искусства.

АФОНЯ В СОЦ. СЕТЯХ:
✔ Инстаграм - http://instagram.com/afonyatv
✔ Вк - http://vk.com/afonyatv

Реклама и сотрудничество: info@afonya.tv",Афоня TV,23,716230,76371,2856,0,4925,RU,8/4/2018
3,LPTfC-GF0CM,ЧТО ВНУТРИ ГИРОСКУТЕРА?,2018-08-04T14:47:50.000Z,UCU_yU4xGT9hrVFo6euH8LLw,"Наушники Samsung Gear IconX 2018 вы можете получить в подарок при покупке Samsung Galaxy S9|S9+ до 9 сентября!  http://bit.ly/2OJoQmo

Сотрудничество - slivkivideos@gmail.com
Instagram - https://www.instagram.com/slivki_kuki/
Группа - https://vk.com/slivkishow

music: epidemicsounds.com",SlivkiShow,24,1501701,121687,2678,0,9821,RU,8/4/2018
4,0uvIc4u475s,"Дима Билан & Polina - Пьяная любовь (премьера клипа, 2018)",2018-08-03T16:38:54.000Z,UCrnxeDn1Biodm9jO8yAyj3g,"В РОЛЯХ:
Дима Билан
Polina
 
А ТАКЖЕ:
Юлия Ауг
Лилия Абрамова
Лолита Милявская
Наталья Королёва
Александр Гудков
Мария Миногарова
Анастасия Ивлеева
Ольга Ефремова
Эдгар и Аскольд Запашные
Тигр Рики
Михаил Орлов
Елена Блиновская с сыновьями 

Производство: VERSUS PICTURES
Креативные продюсеры: 
Александр Гудков, Даша Чаруша, Екатерина Кононенко
Режиссер-постановщик: Даша Чаруша
Оператор-постановщик: Mekill Youdiev
Оператор: Сергей Канчер 
Продюсеры: Екатерина Кононенко, Рубен Адамян

Купить трек в iTunes - https://apple.co/2sKoL8P",bilanofficial,10,2382140,94009,8729,0,6778,RU,8/4/2018
5,2g7Nrdwq0Ig,Братья Ингуши на похоронах Юсупа Темерханова,2018-08-04T12:48:34.000Z,UCj5j1Lh0PietX1JNNwdrk3A,,Vip Чечня,22,78419,1590,789,0,1236,RU,8/4/2018
6,eWZR45Ipz04,НЕ ЗАПУСКАЙТЕ ЭТОТ УРОВЕНЬ! СЛОЖНОСТЬ ЭКСПЕРТ! COFFI VS PSY - GANGNAM STYLE В VR ШЛЕМЕ В BEAT SABER,2018-08-04T13:44:14.000Z,UCpDzpaUTbIkdjkCZ9pmfMrA,"Сегодня я играю в BeatSaber с помощью шлема виртуальной реальности! Первый раз в своей жизни я решил поиграть в VR и после первой же секунды игры я понял, что это очень круто! Игра, которую мы сегодня запустили - очень сложная! Моя задача заключается в том, что с помощью двух контролеров, которые находятся у меня в руке, я должен отбивать бит треков, которые мне включают! Порой нужно делать такое, что просто не успеваешь понять, что тебе нужно делать и как это сделать! Надеюсь вам понравится видос! Всем приятного просмотра, погнали! 
 
► Мой второй канал:  https://goo.gl/1F5rZk

● Мой канал:
   http://www.youtube.com/user/CoffiChannel

● Alex Fox ( Спасибо за VR ) 
https://www.youtube.com/user/FoX86823
https://www.instagram.com/alexfox1441/

 ● Мой ВК:
   http://vk.com/ocoffi

● Группа ВК:
   http://vk.com/coffiofficial

● Мой Инстаграм:
https://www.instagram.com/2coffi",Coffi Channel,20,255541,19979,456,0,2641,RU,8/4/2018
7,99d2vUc81gk,Чемпионат России по вольной борьбе - 2018. День 3. Ковёр А,2018-08-04T22:15:35.000Z,UCTTaVyLMrDW-Q-tdnOaHK1A,"Чемпионат России по вольной борьбе - 2018.
Волейбольный центр, г. Одинцово, Московская обл.
3-5 августа.",WrestRusRu,17,667861,1161,156,0,23,RU,8/4/2018
8,S_ZuV9hRHBg,Выживание 24 часа на берегу Черного моря Ловлю мидий Строю шалаш,2018-08-04T08:16:02.000Z,UCBHwWYrgvBfJi8Je5zNGJJQ,"Друзья! Всем спасибо кто ставит лайк и пишет красивые комментарии, мне очень приятно. Извиняйте что не всем поставлю также лай и сердечко, так как ночь не спал, хочу о дохнуть чтоб на вечер пойти еще что то интересное по снимать",Vitalik Ignatyuk,22,238659,12562,1003,0,3316,RU,8/4/2018
9,mYWFz2oy7dI,Юсуп Темерханов дакъ ц1а кхечи -Дала геч дойла,2018-08-04T14:59:36.000Z,UC0DKtNgQVSMWVGI6HJ7E_FQ,,GUNO,22,75044,1414,215,0,369,RU,8/4/2018
10,s1KMFwA4zSI,"Весь чеченский народ, соседние регионы провожают Юсупа Темерханова в последний путь #гелдаган #тезет",2018-08-04T15:58:40.000Z,UC0Bas6FNSz8JN-Xsz0rVnFw,,KavkazTube Channel,29,47155,856,177,0,268,RU,8/4/2018
11,Vdqh8lZFl7o,УРОНИТ ЛИ УДАРНАЯ ВОЛНА ОТ ПЕТАРДЫ ХОТЬ ОДНУ БУТЫЛКУ КОКА-КОЛЫ?,2018-08-04T01:36:59.000Z,UCSF6ewY9LS8GnbphwvnZpUg,"Сегодня мы решили провести несколько интересных по нашему мнению экспериментов с петардами, но эти эксперименты отличаются от всех типичных опытов с петардами, здесь вас ждут не просто уничтожение чего либо. В этом видео мы решили проверить то, на что вообще способны петарды, например попытались уронить бутылку при помощи ударной волны. Какой результат? - узнаете в видео!
Надеюсь вам понравится, если это так - ставь лайк и подписывайся на канал!

Также мои социальные сети : 
•Моя страница в Вк - https://vk.com/n1maks 
•Моя страница в Instagram - https://www.instagram.com/mamixofficial 
•Артем в Вк - https://vk.com/arrprih
•Артем в Instagram - https://www.instagram.com/prih_art",It's Mamix,22,565776,28527,1227,0,2667,RU,8/4/2018
12,laZTFcPEFgo,Я ПОЗВОНИЛА МОМО. НИКОГДА НЕ ЗВОНИ МОМО ПО WhatsApp,2018-08-04T09:43:58.000Z,UCf9iZMkNmNJ8n0qw8mPbNGg,"Я ПОЗВОНИЛА МОМО. НИКОГДА НЕ ЗВОНИ МОМО ПО WhatsApp

МОЙ INSTAGRAM:
http://instagram.com/kievskayaalexandra

РЕКЛАМА И СОТРУДНИЧЕСТВО:
kievskaya@wildjam.ru",Александра Киевская,22,374457,31789,1685,0,3959,RU,8/4/2018
13,tIRQs36z0Lo,КАК РЕАГИРУЮТ НА СКОРУЮ ПОМОЩЬ В РАЗНЫХ СТРАНАХ,2018-08-04T07:05:52.000Z,UCRW3VLiVep5Ud4Ovhj2eUyA,"TechZone ► https://goo.gl/ULy98R

Ни для кого не секрет, что профессия врача – одна из самых сложных, важных и нужных в мире. И пока одни медики заботятся о нашем здоровье в стенах больниц, другие, как настоящие команды супергероев, спешат на помощь по улицам больших городов. Но, к сожалению, работники «скорой помощи» вынуждены бороться не только с болезнями своих пациентов, но и с дорожным трафиком. В сегодняшнем видео мы собрали для вас несколько примеров того, как водители в разных странах реагируют на появление «скорой». Конечно, каждый из этих роликов вполне может быть единичным случаем, но на них все равно стоит взглянуть

◓МН в ВК►https://vk.com/club60235938
◓РЕКЛАМА►https://vk.com/club60235938?w=page-60235938_49750911

◓Поддержать канал можно задонатив на эти кошельки:
ЯД►41001762198241
ВМ►R114977267226",Мастерская Настроения,24,358989,13053,1221,0,2012,RU,8/4/2018
