,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,fiV2VzqPakw,Toàn Cảnh Cô Dâu Khóc Ngất Tiễn Đưa Chồng Vụ xe rước dâu gặp nạn 13 người mất,2018-08-01T15:35:27.000Z,UCT0Fp1ql04J_wK6QW8IrAuQ,"Toàn Cảnh Cô Dâu Khóc Ngất Tiễn Đưa Chồng Vụ xe rước dâu gặp nạn 13 người mất

Đăng Kí Kênh:https://www.youtube.com/channel/UCT0Fp1ql04J_wK6QW8IrAuQ?sub_confirmation=1

Chào Mừng Các Bạn Quý Đạo Hữu Đã Đến Với Kênh Tâm Linh Phật Pháp 24h, Hãy lắng tâm nghe các bài tụng kinh , niệm phật
Nghe Lời Phật Dạy Mỗi Đêm Ngủ Rất Ngon May Mắn Liên Tiếp thuận lợi vô cùng
Một số âm thanh hình ảnh trong video đã được lấy từ chùa Hoằng Pháp
Chúng tôi thật lòng cảm ơn Chùa Hoằng Pháp đã tạo điều kiện cho chúng tôi sử dụng tư liệu của nhà chùa vì vậy chúng tôi mới có thể thực hiện Kênh này . Mong các Thầy sức khỏe để tiếp tục truyền giáo đạo lý Phật Pháp tới mọi người . A Di Đà Phật.
*** Có Thể Bạn Quan Tâm :
Tất Cả Mọi Đau Khổ Tan Biến Nếu Có Duyên Nghe Hết Được Video
Dù Tin Phật Hay Không Tin Phật Nghe Chỉ 1 Lần Nghe Thấy An Vui Hạnh Phúc Vô Cùng❤
-Nghe Hết Kinh Cầu An Cứu Khổ Cứu Nạn Tiêu Chừ Nghiệp Chướng sẽ Thấy Linh Nghiệm Vô Cùng😱😱😱
-Nghe Lời Phật Dạy Mỗi Đêm Ngủ Rất Ngon May Mắn Liên Tiếp thuận lợi vô cùng
-Mùng 1 Ngày Rằm Nghe Kinh Này May Mắn Tài Lộc Cả Tháng Mọi Việc Hanh Thông
-❤Gia Đình Bạn Được An Lạc Hạnh Phúc Gặp Nhiều May Mắn Nếu Có Duyên Nghe Lời Phật Dạy
---*Hãy đăng ký ngay Tâm Linh Phật Pháp 24h để theo dõi Video mới nhất:
*Chúc Quí vị và Các bạn sẽ có những trải nghiệm thế giới tâm linh huyền bí tuyệt vời cùng với ""Tâm Linh Phật Pháp 24h"". Xin cảm ơn

Mọi thắc mắc xin liên hệ:hieutran2512@gmail.com xin đừng report tội nghiệp em còn mẹ già và con thơ
Facebook:https://www.facebook.com/groups/359830547844223/
GooGle++:https://plus.google.com/u/0/",Tâm Linh Phật Pháp 24h,22,4222118,9098,3080,0,1871,VN,8/4/2018
1,V0zOaaCDTXI,Highlight U23 Việt Nam - U23 Palestine || Những Giây Phút Cảm Xúc Quay Trở Lại,2018-08-03T14:45:34.000Z,UCdke2kTidiq9JO56ClXgZGA,"Nhấn đăng ký để ủng hộ mình nhé..!

Kênh tài trợ video: https://goo.gl/ixZmYa

#DuyCông #DuyCôngChannel",Duy Công,10,1208045,3718,508,0,1515,VN,8/4/2018
2,oB6LYECsdcU,FULL | U23 VIỆT NAM vs U23 PALESTINE | GIẢI BÓNG ĐÁ QUỐC TẾ U23 CUP VINAPHONE | VFF Channel,2018-08-03T15:20:25.000Z,UCndcERoL9eG-XNljgUk1Gag,"VFF Channel | FULL | U23 VIỆT NAM vs U23 PALESTINE | GIẢI BÓNG ĐÁ QUỐC TẾ U23 CUP VINAPHONE | VFF Channel

* Đơn vị chủ quản: Liên đoàn Bóng đá Việt Nam  - VFF
* Link truy cập: https://www.youtube.com/VFFChannel
* Email: liendoanbongdavff@gmail.com",VFF Channel,17,1745925,10146,819,0,681,VN,8/4/2018
3,bFhQL130aYQ,"Hello | Đàm Vĩnh Hưng x Binz | Hương Giang, Trấn Thành, Thánh Catwalk Sinon, Hữu Vi | Official MV",2018-08-01T12:30:01.000Z,UCCokp1i9n_aue7zTjGoBJRQ,"Bài hát: Hello 
Ca sỹ: Đàm Vĩnh Hưng x Binz
Khách mời: Hương Giang, Trấn Thành, Thánh Catwalk Sinon, Hữu Vi, Lương Bằng Quang, Tuyền Mập, Chi Mập
#hello #damvinhhung #binz
---------------------------
Directed by: Đinh Hà Uyên Thư
Producer & Creative Director: Lâm Thành Kim
Music composer: Lương Bằng Quang
Recording studio: Q.Studio
Dance crew: Bước Nhảy
Executive producer: Lương Minh Hồng
Project supervisor: An Nguyễn
DOP: Tùng Bùi
1st AD: Lê Hoàng Phương
Camera Operator: Mr. Blue
Focus puller: Duy VK
Unit production manager: Mr. Blue
Production designer: Do Ba Ty Team
Assistants Production: Min Trần
Editor: BR.
Post Production & Colorist: Mr. Blue
BTS Photo - Video: Rickson - Minh Vương - D.A Nguyễn
Camera equipment: Cinelight
Stabilizers & Gimbals & Drone equipment: Thông Kiều
Assistants Production Manager: Tiet Tee - D.A Nguyễn - Mr Ân
Special effects: Ngô Quốc Duy
Stylist: Lê Minh Ngọc
Stylist Assistant: Nguyễn Đức Quân - Phùng Ngọc Thu - Tô Trịnh Bá Lộc - Nhiên Hạo - Diệu Vĩ - Nhân - Bình Trần
Designer: Lý Giám Tiền - Chung Thanh Phong - Lâm Giang Khang
Accessories: Lovisa - Floral Punk
Costume: Dolce & Gabbana - Versace - Kenzo - Dsquared2 - Trendiano - DVSK - Zara - Massimo Dutti
Makeup & Hair: Quang Nguyễn Team
Shoes: Christian Louboutin
PR Manager: Nguyễn Ngọc Thanh Dân
Photographer: Khoa Nguyễn - Hải Nguyễn - Thành Phạm
Graphic designer: Việt Nguyễn

Video produced by Blue Production Team
----------------------------
Để cập nhật thông tin chi tiết của ca sĩ Đàm Vĩnh Hưng & công ty Giải Trí Tiếng Hát Việt vui lòng xem tại:
Website: http://www.damvinhhung.ws
Youtube: http://www.youtube.com/user/DamVinhHungPOPS
Fanpage Đàm Vĩnh Hưng: https://www.facebook.com/dvhfanpage
Facebook Công ty giải trí tiếng hát việt:  https://www.facebook.com/mrdampf
Fanpage Công ty giải trí tiếng hát việt: https://www.facebook.com/CongTyGiaiTriTiengHatViet
Email: info@tienghatviet.vn

#damvinhhung#binz#tranthanh#hello#nhactre#musicvideo",Đàm Vĩnh Hưng,10,3437220,62553,3096,0,7542,VN,8/4/2018
4,AuTZ2sDwp9o,"Giọng ải giọng ai 3 |Tập 1 full: Trấn Thành, Trường Giang phát hoảng trước độ ""lầy"" của Hòa Minzy",2018-07-28T13:22:18.000Z,UCA3GtNtuKvcj6VrwZ5Gpx9g,"#giongaigiongaimua3 #giongaigiongaimua3tap1 #tranthanh
^^
Giọng ải giọng ai mùa 3 tập 1 Trấn Thành, Trường Giang, Hòa Minzy, Erik liên tục ""dìm"" Anh Đức khiến anh chàng nhiều lần cảm thấy lạc lõng.

Giọng ải giọng ai mùa 3 - gameshow ca nhạc hot nhất hiện nay đã quay trở lại thật sôi nổi và náo nhiệt với sự hội tụ của dàn sao cực khủng trong showbiz Việt.

Giọng ải giọng ai mùa 3 với sự thay đổi mới hơn, lạ hơn, ""lầy lội"" hơn hứa hẹn sẽ mang đến những tràng cười ""bung nóc"".

Đón xem chương trình vào lúc 19:30 tối thứ Bảy hàng tuần trên HTV7, bắt đầu từ 28/07/2018.

Theo dõi Fanpage: https://www.facebook.com/giongaigiongai/
Instagram: https://www.instagram.com/giongaigiongaiofficial/

giọng ải giọng ai mùa 3, giong ai giong ai mua 3",DIEN QUAN Entertainment / Giải Trí,24,8956444,63900,5785,0,14783,VN,8/4/2018
5,iD0C7N4NdXA,Tiết lộ mới nhất từ tài xế container trong TN xe 16 chỗ đón dâu,2018-07-31T03:59:50.000Z,UCt184zdaqw13SGGnz2cv_2A,"“Đang chạy với tốc độ chậm, bất ngờ tôi thấy xe khách 16 chỗ chạy với tốc độ cao, đang chạy vào làn đường xe tôi đang chạy. Chưa kịp phản ứng gì, xe khách đã chạy đến gần xe tôi.",Thời Sự Online,22,2760657,3247,1037,0,912,VN,8/4/2018
6,HkBPetn-sUk,Những hình ảnh cuối cùng của chiếc xe rước dâu chở 13 người xấu số,2018-07-31T02:04:24.000Z,UCIW9cGgoRuGJnky3K3tbzNg,"Đối chiếu từ hình ảnh camera và những thông tin từ gia đình nạn nhân có thể thấy, tài xế Lê Ngọc Cường đã di chuyển liên tục từ bắc vào nam và từ nam ra bắc. 

Đăng kí theo dõi kênh để xem những tin tức mới nhất: 

https://goo.gl/EU2TN2

Tin tức báo Thanh Niên - Đọc tin mới online - tin nhanh - tin 24h - thời sự
Kênh YouTube chính thức của Báo Thanh Niên. Đăng kí theo dõi kênh để xem những tin tức mới nhất: 

https://goo.gl/EU2TN2

Website: http://thanhnien.vn/
Fanpage: https://www.facebook.com/thanhnien

Youtube Channel: https://goo.gl/EU2TN2

268 - 270 Nguyễn Đình Chiểu, Phường 6, Q.3, TP HCM 
ĐT: (+84.8) 39302302 
Fax: (+84.8) 39309939 
Email: tnmedia@thanhnien.vn",Báo Thanh Niên,25,3844459,7286,1012,0,1193,VN,8/4/2018
7,yoApS76L2kg,"LÚC ĐI HỌC BỊ BẠN BÈ COI THƯỜNG, 10 NĂM SAU GẶP LẠI VÀ CÁI KẾT QUÁ BẤT NGỜ | TẬP 2",2018-07-30T02:00:04.000Z,UCzLr0-nMvZ2Mc3XgA_2b6hw,"►ĐĂNG KÝ KÊNH để không bỏ lỡ video hay nhé:
GÃY Fun: https://bit.ly/gaytubevn
GÃY TV   : https://bit.ly/gaytvchannel
GÃY FAN : https://bit.ly/gaytvfan
► Có 200K khi Đăng Ký tại Vietwb.com
► Tất cả clip chỉ mang tính chất giải trí, không khuyến khích làm theo, không gây kích động thù hằn, phân biệt sắc tộc.
► Chúc mọi người vui vẻ! Cảm ơn
► Tài trợ quảng cáo hợp tác vui lòng liên hệ: gaytvads@gmail.com
► 有任何版权问题请提前跟我联系，我会删除。谢谢 ( gaytvads@gmail.com )
► If there are any copyright issuues  with any video posted here, I will remove them.Please contact my email (gaytvads@gmail.com)",Gãy TV,24,2268961,8776,2363,0,1493,VN,8/4/2018
8,CbaDNQcI8dA,"Xem tàu cá hiện đại, thu triệu đô mỗi chuyến, chế biến cá ngay trên tàu",2018-07-28T08:45:01.000Z,UCwvVlfz8Xg_o49ji_r5pdDQ,"Copyright issue? Send me a message and we'll get it resolved ASAP. https://www.youtube.com/channel/UCwvVlfz8Xg_o49ji_r5pdDQ/about
Xin hãy đăng ký kênh ủng hộ chúng tôi để cập nhật những clip mới nhất, Cảm ơn các bạn đã xem!
Do not forget to subscribe to channels to get updated with the latest clip, Thank you for watching!",TCTV,19,5333855,8249,2696,0,704,VN,8/4/2018
9,fdI4tpTJH_I,Nhanh Như Chớp | Tập 17 Full: Lê Giang Dẫn Hồng Phất Nữ Diệu Nhi Cướp Vai MC Của Trường Giang,2018-07-28T14:43:00.000Z,UCFMEYTv6N64hIL9FlQ_hxBw,"HTV Nhanh Như Chớp | Tập 17 Full: Lê Giang Dẫn Hồng Phất Nữ Diệu Nhi Cướp Vai MC Của Trường Giang 

Xem thêm tại: https://youtu.be/fdI4tpTJH_I

#TruongGiang #HariWon #NhanhNhuChop #LeGiang #HuuTin #X-Pro #LaThanh #DIeuNhi #HongPhatNu #LamKhanhChi #HoangMeo

Lần đầu tiên tại Việt Nam gameshow truyền hình thực tế, về những câu đố độc nhất câu trả lời chỉ có một nhưng nó còn phụ thuộc vào tâm trạng 2 MC #Trường_Giang và #HariWon. Khán giả sẽ được thưởng thức những tình huống chưa bao giờ xuất hiện, những câu trả lời độc đáo.

Với lối dẫn dắt duyên dáng chắc chắn Trường Giang và HariWon sẽ đem lại cho người xem những màn tung hứng ""đỉnh cao""

⏩ Click xem ngay, show HAY mỗi ngày: http://bit.ly/showhotmoingay

Nhấn subcribe để xem tiếp những video tuyệt vời khác: 

✥ Subscribe: http://bit.ly/dtpsubs

✥ Website: www.dongtay.com",ĐÔNG TÂY PROMOTION OFFICIAL,24,6841776,21951,3569,0,5689,VN,8/4/2018
