video_id,trending_date,title,channel_title,category_id,category_name,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,Country,likes_prop,dislikes_prop,like_ratio
--728h8mnDY,2017-12-07,Rösti - YouCook,YouCook Cuisine,26, Howto & Style,2017-12-05T16:30:00.000Z,39535,2573,51,269,False,False,False,FR,0.9805640243902439,0.019435975609756097,50.450980392156865
-1446KeS7aA,2017-12-23,Servietten falten Weihnachten: Schneeflocken basteln mit Papier-Servietten - DIY Origami Deko,Basteln mit Papier,26, Howto & Style,2017-12-22T10:30:01.000Z,12603,304,13,16,False,False,False,DE,0.9589905362776026,0.04100946372239748,23.384615384615383
-2lXJX54cPU,2017-12-19,Schönen 3. Advent,eKartenwelt.de,26, Howto & Style,2017-12-17T06:20:04.000Z,27361,0,0,0,True,True,False,DE,,,
-77ZOJ7sjpY,2017-12-14,PARTY LOOKBOOK : TENUES DE SOIREE (SPECIAL FÊTES),Mimi Ar,26, Howto & Style,2017-12-13T17:34:46.000Z,12665,909,34,95,False,False,False,FR,0.9639448568398727,0.036055143160127257,26.735294117647058
-7uBsC4maVA,2017-12-17,DIY NOEL 🎄┋  JE TEST 3 DIY PINTEREST 🎅 - DECO FACILES ou PAS français,By Isnata,26, Howto & Style,2017-12-16T15:29:46.000Z,15587,1131,23,131,False,False,False,FR,0.9800693240901213,0.01993067590987868,49.17391304347826
-A_XQW360wc,2017-12-11,Masha Birthday Cake / Geburtstagstorte / Mascha und der Bär/ Маша и медведь,Sallys Welt,26, Howto & Style,2017-12-10T09:41:03.000Z,83709,3287,101,400,False,False,False,DE,0.9701889020070839,0.029811097992916175,32.54455445544554
-CqiTME15Ms,2017-11-26,3 DIY À OFFRIR SUPER FACILES ! avec The Doll Beauty et Perfect Honesty,Rose Carpet,26, Howto & Style,2017-11-25T10:00:09.000Z,173355,11518,228,437,False,False,False,FR,0.9805891367273966,0.01941086327260344,50.51754385964912
-JzB-IP_hok,2017-12-03,Coupez un oignon en 4 tranches et répartissez-les dans votre maison. La raison ? - France 365,FRANCE 365,26, Howto & Style,2017-12-02T15:12:53.000Z,6430,88,13,2,False,False,False,FR,0.8712871287128713,0.12871287128712872,6.769230769230769
-OFyzARkKbw,2017-12-04,شوفو تحضيرات عيد ميلادي 🎂 شحال فعمري ؟؟ فتح الهدايا 🎁 أفكار بسيطة لعيد الميلاد لا تفوتكم !!,Malak World - عالم ملاك,26, Howto & Style,2017-12-03T09:00:01.000Z,86184,6984,208,3768,False,False,False,FR,0.9710789766407119,0.028921023359288096,33.57692307692308
-PugqHo4n3w,2017-12-09,Vergrabe ein Ei im Boden deines Gartens - Was ein paar Tage später passiert wird dich überraschen!,Gesundheitsblatt,26, Howto & Style,2017-12-08T19:30:01.000Z,10789,768,14,29,False,False,False,DE,0.9820971867007673,0.017902813299232736,54.857142857142854
-Wwv_5QBwfs,2017-11-20,Tasty 101: How To Cook Perfect Chicken Breast Every Time,Tasty,26, Howto & Style,2017-11-19T16:00:18.000Z,144002,6047,77,446,False,False,False,CA,0.9874265186152841,0.012573481384715871,78.53246753246754
-b2C0M8afgg,2017-11-21,à tous les gens meurtris,ELO,26, Howto & Style,2017-11-20T16:56:48.000Z,13486,2839,13,207,False,False,False,FR,0.9954417952314165,0.00455820476858345,218.3846153846154
-cukFZbuj8g,2017-12-16,DIY: beleuchtetes Silvester-Dekoschild für 2018 [How to] Deko Kitchen,Deko Kitchen – Schöne Deko selber machen | Esther Straub,26, Howto & Style,2017-12-15T14:16:55.000Z,5500,212,16,19,False,False,False,DE,0.9298245614035088,0.07017543859649122,13.25
-ew7iObcQiU,2017-12-04,20 IDÉES BRILLANTES QUI TE RENDRONT LA VIE PLUS FACILE,BRICO SYMPA,26, Howto & Style,2017-12-03T15:00:01.000Z,4230,129,2,18,False,False,False,FR,0.9847328244274809,0.015267175572519083,64.5
-guI-Q8jYH0,2018-01-03,4 Astuces avec Préservatif VOUS DEVRIEZ SAVOIR,Mr. Henry,26, Howto & Style,2018-01-02T16:00:00.000Z,2663,21,6,0,False,False,False,FR,0.7777777777777778,0.2222222222222222,3.5
-m0IHGq1OKs,2017-12-20,La recette facile de Tarte Tatin aux pommes caramélisées,Hervé Cuisine,26, Howto & Style,2017-12-19T07:30:02.000Z,12414,1104,19,89,False,False,False,FR,0.9830810329474622,0.016918967052537846,58.10526315789474
-pyLfpYxmAk,2017-12-30,Guten Rutsch / Silvestergrüße,eKartenwelt.de,26, Howto & Style,2017-12-29T05:30:55.000Z,10262,0,0,0,True,True,False,DE,,,
-sWdRXuRh0E,2017-12-17,FUITE DE DOCUMENT! Comment la POLICE NATIONALE  va-t-elle CONTROLER LES DRONES en 2018?,Alex Cipriani Travel,26, Howto & Style,2017-12-16T09:00:00.000Z,5415,324,19,151,False,False,False,FR,0.9446064139941691,0.05539358600583091,17.05263157894737
-tjucPZlcgc,2018-01-05,F&F Active | #whatsstoppingyou,F&F Clothing,26, Howto & Style,2018-01-01T11:34:32.000Z,2414,5,43,9,False,False,False,GB,0.10416666666666667,0.8958333333333334,0.11627906976744186
-tqKJE4v-nE,2017-12-17,Chocolate Bark - Holiday Gift Idea - Food Wishes,Food Wishes,26, Howto & Style,2017-12-16T01:50:41.000Z,98126,4415,45,354,False,False,False,CA,0.9899103139013453,0.010089686098654708,98.11111111111111
03RQLmDNIEw,2017-12-05,Flying Home For Christmas | Vlogmas Days 1 & 2,Tanya Burr,26, Howto & Style,2017-12-03T15:00:01.000Z,243420,10374,292,387,False,False,False,CA,0.9726232889555597,0.027376711044440276,35.52739726027397
03RQLmDNIEw,2017-12-11,Flying Home For Christmas | Vlogmas Days 1 & 2,Tanya Burr,26, Howto & Style,2017-12-03T15:00:01.000Z,330158,12536,388,292,False,False,False,GB,0.9699783348808418,0.030021665119158155,32.30927835051546
03gu7d9DDOk,2018-01-03,DIY Barbie Doll Hairstyles 👸👧 Barbie Hair Transformations,Hairstyle Tutorials,26, Howto & Style,2018-01-02T16:41:52.000Z,54940,760,45,66,False,False,False,FR,0.9440993788819876,0.055900621118012424,16.88888888888889
0ANDjPQPS_Q,2017-11-27,♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,Pixielocks,26, Howto & Style,2017-11-15T15:17:28.000Z,28869,3110,90,454,False,False,False,GB,0.971875,0.028125,34.55555555555556
0ANDjPQPS_Q,2017-11-20,♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,Pixielocks,26, Howto & Style,2017-11-15T15:17:28.000Z,27408,2993,87,516,False,False,False,USA,0.9717532467532467,0.028246753246753246,34.40229885057471
0EGndnteM-E,2017-12-03,Zentralstaubsaugeranlage - was ist das? | Sally baut #8,Sallys Welt,26, Howto & Style,2017-12-02T08:18:27.000Z,131939,4314,288,574,False,False,False,DE,0.9374185136897001,0.06258148631029987,14.979166666666666
0Fo5rISAJAw,2017-11-22,25 INGENIOUS NEW USES FOR SPONGES AND TOWELS,5-Minute Crafts,26, Howto & Style,2017-11-21T08:30:01.000Z,897452,7957,634,660,False,False,False,CA,0.9262018391339775,0.07379816086602259,12.550473186119874
0GooTyuPiGY,2017-12-01,جنسية زوجي؟؟ ❤❤ أخيييرا شريت العجانا دوزو معيا يوم طويييل ومتعب روتيني يوم التسوق...,Malak World - عالم ملاك,26, Howto & Style,2017-11-30T08:31:05.000Z,86818,6164,313,1140,False,False,False,FR,0.9516751582522773,0.04832484174772271,19.69329073482428
0MUCYFLKxW0,2017-11-26,♡• DONUTS LICORNE | RECETTE KAWAII •♡,L'atelier de Roxane,26, Howto & Style,2017-11-24T16:00:01.000Z,233420,31847,231,10409,False,False,False,FR,0.9927988029178877,0.007201197082112351,137.86580086580088
0N0gjw4Cwvg,2017-12-24,NEW FENTY BEAUTY MATTEMOISELLE LIPSTICK TRY ON + REVIEW,LustreLux,26, Howto & Style,2017-12-23T21:09:30.000Z,72125,6296,46,554,False,False,False,CA,0.9927467675812046,0.007253232418795333,136.8695652173913
0Rt329xQUjM,2017-11-24,Brad and Sean Evans Make Cast-Iron Pizza | It's Alive | Bon Appétit,Bon Appétit,26, Howto & Style,2017-11-21T16:56:15.000Z,289999,10239,173,1213,False,False,False,CA,0.983384556281214,0.016615443718786017,59.1849710982659
0Rt329xQUjM,2017-11-29,Brad and Sean Evans Make Cast-Iron Pizza | It's Alive | Bon Appétit,Bon Appétit,26, Howto & Style,2017-11-21T16:56:15.000Z,352742,11503,214,1161,False,False,False,USA,0.9817359392335923,0.018264060766407783,53.75233644859813
0TKzJZQc6fI,2017-12-10,Tourtiere - Holiday Meat Pie - Food Wishes,Food Wishes,26, Howto & Style,2017-12-09T00:05:17.000Z,140696,7216,77,1429,False,False,False,CA,0.9894419306184012,0.010558069381598794,93.71428571428571
0Uq8EZzf1xk,2017-12-19,KRANSEKAKE - RECETTE LE MEILLEUR PATISSIER NOEL,Carl is cooking,26, Howto & Style,2017-12-18T15:59:27.000Z,9318,954,6,105,False,False,False,FR,0.99375,0.00625,159.0
0W16_CO6Pxg,2017-12-28,FAVORITE MAKEUP OF 2017! Most Reached for BEST MAKEUP OF THE YEAR,thataylaa,26, Howto & Style,2017-12-28T02:00:01.000Z,40022,4412,29,421,False,False,False,CA,0.9934699392028822,0.006530060797117767,152.13793103448276
0_j08BUANWI,2017-12-02,DIY: Weihnachtsdeko mit trendigen Kreidebildern auf Glasvasen [How to] Deko Kitchen,Deko Kitchen – Schöne Deko selber machen | Esther Straub,26, Howto & Style,2017-12-01T14:05:28.000Z,4884,438,12,17,False,False,False,DE,0.9733333333333334,0.02666666666666667,36.5
0asPIGtVi8A,2017-11-27,Tasty 101: How To Cook Burgers,Tasty,26, Howto & Style,2017-11-26T16:00:10.000Z,169794,5780,164,527,False,False,False,CA,0.9724091520861373,0.02759084791386272,35.24390243902439
0bjPjYYT1l0,2017-12-21,Die besten DIY Last Minute Weihnachtsgeschenke || PULS Reportage,PULS Reportage,26, Howto & Style,2017-12-20T14:00:00.000Z,83783,3678,56,488,False,False,False,DE,0.9850026780931976,0.014997321906802356,65.67857142857143
0dAwMQ3PkYM,2017-12-03,Weirdest Gift Guide EVER!? (Beauty Break),Clevver Style,26, Howto & Style,2017-12-02T16:17:56.000Z,108648,5592,45,432,False,False,False,CA,0.9920170303352848,0.007982969664715274,124.26666666666667
0eKiSao8hwE,2017-11-29,❅ Recette de Bûche de Noël Vanille Coco Citron Vert ❅,JustInCooking,26, Howto & Style,2017-11-28T15:30:00.000Z,6121,624,13,130,False,False,False,FR,0.9795918367346939,0.02040816326530612,48.0
0j534X4VL0w,2017-12-31,💎 ON FAIT DU SAVON PIERRE PRÉCIEUSE 💎 avec Sophie Riche et Lola Dubini,Rose Carpet,26, Howto & Style,2017-12-30T10:00:06.000Z,99667,8873,71,295,False,False,False,FR,0.992061717352415,0.007938282647584973,124.97183098591549
0k5b07aYhuo,2017-12-13,Roastbeef mit Kräuterkruste feat. Knochen (inkl. Rezept zum selber machen) | Mori kocht,Mori,26, Howto & Style,2017-12-12T18:15:22.000Z,18017,1299,15,182,False,False,False,DE,0.9885844748858448,0.01141552511415525,86.6
0loTGMWEZO4,2017-12-15,[NOËL 2017] LA LETTRE AU PÈRE NOËL DE LANA 🎅🏼,NyCyLa,26, Howto & Style,2017-12-14T16:25:24.000Z,13277,873,10,80,False,False,False,FR,0.9886749716874292,0.011325028312570781,87.3
0oUH7dU6TG0,2017-11-22,JE TESTE LES ASTUCES DE MES ABONNÉS #5,Laurette,26, Howto & Style,2017-11-21T16:11:51.000Z,65493,4410,55,2392,False,False,False,FR,0.9876819708846585,0.012318029115341545,80.18181818181819
0oXu0XfXYYE,2017-11-22,Youtube Show & Tell | Tag | Zoella,Zoella,26, Howto & Style,2017-11-19T19:04:13.000Z,1020294,59974,3081,472,False,False,False,GB,0.9511378954880659,0.048862104511934026,19.46575787082116
0sCPuyf8cN0,2018-01-05,17 ASTUCES INCROYABLES QUI VONT IMPRESSIONNER VOS AMIS,Troom Troom FR,26, Howto & Style,2018-01-03T13:00:01.000Z,389573,9134,728,1599,False,False,False,CA,0.9261813019671467,0.07381869803285337,12.546703296703297
0sCPuyf8cN0,2018-01-05,17 ASTUCES INCROYABLES QUI VONT IMPRESSIONNER VOS AMIS,Troom Troom FR,26, Howto & Style,2018-01-03T13:00:01.000Z,389573,9134,728,1599,False,False,False,FR,0.9261813019671467,0.07381869803285337,12.546703296703297
0tGYAiu5bmI,2017-12-26,COMMENT FAIRE UNE PINATA COMESTIBLE - CARL IS COOKING,Carl is cooking,26, Howto & Style,2017-12-25T06:57:18.000Z,7797,736,10,90,False,False,False,FR,0.9865951742627346,0.013404825737265416,73.6
0uCkX5BaMbY,2017-12-20,"Alles, was du für diese Weihnachts Deko brauchst, hast du schon Zuhause. Schnell nachmachen!",Geniale Tricks,26, Howto & Style,2017-12-19T12:00:00.000Z,15134,414,25,17,False,False,False,DE,0.9430523917995444,0.05694760820045558,16.56
0vi_mttP2ZU,2017-12-09,10 TOURS FASCINANTS AVEC DES BALLONs,BRICO SYMPA,26, Howto & Style,2017-12-08T17:48:25.000Z,2667,70,7,13,False,False,False,FR,0.9090909090909091,0.09090909090909091,10.0
0wKlw6fVYJc,2017-12-24,Weihnachtsgrüße,eKartenwelt.de,26, Howto & Style,2017-12-22T07:31:25.000Z,78238,0,0,0,True,True,False,DE,,,
0xg7vpm7AbE,2018-01-01,New Year's Day- Taylor Swift (Cover) by Niki and Gabi,Niki and Gabi,26, Howto & Style,2017-12-31T16:01:58.000Z,441305,36395,1024,2424,False,False,False,CA,0.9726342232555654,0.027365776744434644,35.5419921875
1CpWF8lhsBU,2017-11-26,GÂTEAU CRÉMEUX AUX AMANDES FACILE (CUISINERAPIDE),cuisinerapide,26, Howto & Style,2017-11-25T10:00:01.000Z,11679,1024,17,105,False,False,False,FR,0.983669548511047,0.01633045148895293,60.23529411764706
1EVbrlpK3IA,2017-12-27,Joyeuses Fêtes,Maisons du Monde France,26, Howto & Style,2017-12-21T09:19:31.000Z,48142,94,278,52,False,False,False,FR,0.25268817204301075,0.7473118279569892,0.3381294964028777
1F7b5cKD_RY,2017-12-06,❅ Recette d'Igloos de Noël Coco Framboise ❅,JustInCooking,26, Howto & Style,2017-12-05T15:34:01.000Z,4275,557,3,195,False,False,False,FR,0.9946428571428572,0.005357142857142857,185.66666666666666
1SiKopOt-QM,2017-11-17,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,26, Howto & Style,2017-11-13T16:30:00.000Z,5277237,53089,5521,2524,False,False,False,CA,0.905801057839959,0.09419894216004095,9.615830465495382
1SiKopOt-QM,2017-11-16,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,26, Howto & Style,2017-11-13T16:30:00.000Z,5168203,51975,5286,2538,False,False,False,DE,0.9076858594855137,0.0923141405144863,9.832576617480136
1SiKopOt-QM,2017-11-15,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,26, Howto & Style,2017-11-13T16:30:00.000Z,4752153,48776,4615,2502,False,False,False,FR,0.9135622108595082,0.08643778914049184,10.569014084507042
1X1Nk10QHmU,2017-12-23,RECETTE BISCUIT FACILE ET RAPIDE POUR ATTRAPER LE PERE NOEL,Carl is cooking,26, Howto & Style,2017-12-22T15:59:52.000Z,6452,721,7,88,False,False,False,FR,0.9903846153846154,0.009615384615384616,103.0
1X6Xglin8nM,2017-12-19,5 ASTUCES QUI VONT TE FACILITER LA VIE,Mr.Tom,26, Howto & Style,2017-12-18T16:30:01.000Z,10462,345,31,31,False,False,False,FR,0.9175531914893617,0.08244680851063829,11.129032258064516
1aig3FJwkQs,2017-11-25,ART with PERMANENT MARKERS? - No Undo Possible!,Draw with Jazza,26, Howto & Style,2017-11-24T12:44:18.000Z,353066,25990,103,3402,False,False,False,CA,0.9960525811520331,0.003947418847966888,252.33009708737865
1bSDtlARvPI,2017-12-15,Ultimate Bacon Recipes,Tasty,26, Howto & Style,2017-12-09T23:00:01.000Z,452749,11684,582,1120,False,False,False,USA,0.9525517691178869,0.04744823088211316,20.075601374570446
1d70y9xHdYg,2017-11-25,13 LIFE HACKS DIE DICH ÜBERRASCHEN WERDEN 😳 MIT NAGELLACK | KINDOFROSY,KindOfRosy,26, Howto & Style,2017-11-24T12:00:01.000Z,116845,9679,325,4086,False,False,False,DE,0.9675129948020792,0.03248700519792083,29.78153846153846
1dCqef8Rzi8,2017-12-25,LES QUESTIONS INTERDITES EN ISLAM,Ayman TR.,26, Howto & Style,2017-12-24T06:00:01.000Z,8439,651,16,85,False,False,False,FR,0.9760119940029985,0.0239880059970015,40.6875
1daqzBAe-Co,2017-12-13,12 ЕINFACHE LIFE HACKS MIT HEIßKLEBER,Troom Troom De,26, Howto & Style,2017-12-11T13:00:01.000Z,243631,4532,363,439,False,False,False,DE,0.9258426966292135,0.07415730337078652,12.484848484848484
1dwytOnCfIg,2017-11-16,National Clean Out Your Fridge Day with Matt | Fidel Gastro,Fidel Gastro,26, Howto & Style,2017-11-15T00:25:11.000Z,12940,440,0,12,False,False,False,CA,1.0,0.0,inf
1nn7MT2-NkA,2017-12-01,T'as Pas du Gloss ? #113 : Opération camouflage du teint avec EnjoyPhoenix et Richaard2609,Maybelline New York FR,26, Howto & Style,2017-11-30T16:30:01.000Z,6509,633,13,24,False,False,False,FR,0.9798761609907121,0.020123839009287926,48.69230769230769
1rgKwO83I48,2017-12-08,How To Make Your iPhone Battery Last Longer,HowToBasic,26, Howto & Style,2017-12-06T16:52:24.000Z,714895,59348,1376,6805,False,False,False,CA,0.9773400961728477,0.022659903827152363,43.13081395348837
1rgKwO83I48,2017-12-08,How To Make Your iPhone Battery Last Longer,HowToBasic,26, Howto & Style,2017-12-06T16:52:24.000Z,714895,59348,1376,6805,False,False,False,DE,0.9773400961728477,0.022659903827152363,43.13081395348837
1rgKwO83I48,2017-12-08,How To Make Your iPhone Battery Last Longer,HowToBasic,26, Howto & Style,2017-12-06T16:52:24.000Z,714895,59348,1376,6805,False,False,False,FR,0.9773400961728477,0.022659903827152363,43.13081395348837
1w9tf3vSuVs,2017-12-18,"Chit Chat GRWM | Failure, Disappointment & Holidays",Shameless Maya,26, Howto & Style,2017-12-13T03:02:20.000Z,36476,4271,21,710,False,False,False,USA,0.9951071761416589,0.0048928238583411,203.38095238095238
21jcP-1w4DA,2018-01-05,WHAT I GOT FOR MY BIRTHDAY | Lily Pebbles,Lily Pebbles,26, Howto & Style,2017-12-17T09:30:01.000Z,120676,4101,212,158,False,False,False,GB,0.9508462786923255,0.049153721307674474,19.34433962264151
23pBhtxcO-Y,2017-12-21,MEGA OUTFIT CHALLENGE (Wer ist besser?) | Always Overdressed,Always Overdressed,26, Howto & Style,2017-12-20T15:00:00.000Z,18134,1592,26,138,False,False,False,DE,0.9839307787391842,0.016069221260815822,61.23076923076923
28xGDrEcRwI,2018-01-02,Schaffst du es diese Filme zu erraten?,Generation Sonnenschein,26, Howto & Style,2018-01-01T13:30:00.000Z,6139,419,15,135,False,False,False,DE,0.9654377880184332,0.03456221198156682,27.933333333333334
2AkE49hZfr4,2017-11-14,15 Clear Signs Your Phone Was Hacked,BRIGHT SIDE,26, Howto & Style,2017-11-11T11:00:01.000Z,721270,25232,1401,1750,False,False,False,CA,0.9473960875605452,0.05260391243945481,18.009992862241255
2D23cCemXQA,2017-12-18,"Menu de fête chic et économique: Déco, entrées, plat et dessert/ 13€ par pers",La Cuisine de Lynoucha,26, Howto & Style,2017-12-17T09:25:20.000Z,5887,341,10,68,False,False,False,FR,0.9715099715099715,0.02849002849002849,34.1
2E_HEeOpiEA,2017-12-08,FULL FACE USING 7-ELEVEN MAKEUP!,Manny Mua,26, Howto & Style,2017-12-06T23:01:16.000Z,725531,57536,1057,107565,False,False,False,CA,0.9819603024252044,0.018039697574795625,54.43330179754021
2E_HEeOpiEA,2017-12-13,FULL FACE USING 7-ELEVEN MAKEUP!,Manny Mua,26, Howto & Style,2017-12-06T23:01:16.000Z,1097258,70445,1765,103300,False,False,False,USA,0.9755574020218806,0.024442597978119374,39.91218130311615
